FEEDER,CAPACITY
9A52,6541.3
9A53,8916.5
9A62,7175.8
9A63,9117.2
9A64,6314.3
9B52,0.0
9B53,2654.6
9B54,0.0
9B55,0.0
9B57,9118.8
9B62,0.0
9B63,3785.4
9B64,6031.5
9B65,7791.9
9C20,5468.5
9C22,5390.4
9C23,5057.9
9C24,5436.2
9C25,5500.0
9C27,4562.7
9C28,5500.0
9C29,190.0
9C30,5471.8
9C31,5100.9
9C32,4366.6
9C33,5420.5
9C34,4816.6
9C35,5418.1
9C36,5057.7
9C37,3450.0
9C38,4148.1
9C39,0.0
9C40,3180.0
9C41,4391.7
9C43,5291.5
9C44,0.0
9C45,5494.0
9C46,5153.9
9C47,5190.3
9C48,4788.7
9C49,5480.2
9F51,6295.6
9F52,861.3
9F53,7373.1
9F54,6425.9
9F55,8530.7
9F56,452.3
9F57,1103.1
9F58,3108.0
9F61,11000.0
9F62,7975.0
9F63,0.0
9F64,1254.5
9F65,8011.6
9F66,5307.0
9F67,9031.4
9F68,6841.3
9G20,0.0
9G21,0.0
9G22,4458.2
9G23,0.0
9G24,0.0
9G25,0.0
9G26,0.0
9G27,0.0
9G28,0.0
9G30,0.0
9G31,691.5
9G32,0.0
9G33,3035.4
9G34,0.0
9G35,1661.3
9G36,2106.2
9G37,0.0
9G38,0.0
9G39,1320.0
9H21,4941.6
9H22,0.0
9H23,4783.2
9H24,3503.6
9H25,4390.3
9H26,0.0
9H27,5090.8
9H28,4748.7
9H29,3160.0
9H31,0.0
9H32,4195.0
9H33,2960.9
9H34,902.5
9H35,3016.7
9H36,2540.0
9H37,3689.8
9H38,4501.9
9H39,5231.7
9I20,5016.4
9I21,4207.7
9I22,5119.7
9I23,5052.4
9I24,5255.8
9I25,5277.8
9I26,5500.0
9I27,4871.4
9I28,769.2
9I29,5355.5
9I30,0.0
9I31,5500.0
9I32,3775.0
9I33,4692.7
9I34,4988.5
9I35,4250.4
9I36,4763.0
9I37,5148.7
9I38,49.5
9I39,5202.9
9J11,5005.5
9J12,4725.3
9J13,3355.8
9J14,4899.6
9J15,5048.3
9J21,0.0
9J22,4910.0
9J23,5409.0
9J24,730.0
9J25,5322.5
9J31,3789.8
9J32,5178.8
9J33,4951.3
9J34,3506.3
9J35,4650.3
9K21,5500.0
9K22,5034.9
9K23,4245.6
9K24,5484.4
9K25,4283.7
9K26,5257.7
9K27,5066.6
9K28,4941.2
9K29,5171.9
9K30,4998.6
9K31,3194.2
9K32,3852.1
9K33,4062.9
9K34,5438.0
9K35,3857.5
9K36,5474.9
9K37,5418.1
9K38,4740.0
9K39,4930.6
9K40,5287.4
9L21,0.0
9L22,2314.9
9L23,0.0
9L24,0.0
9L25,303.2
9L27,4737.0
9L28,0.0
9L29,0.0
9L30,3258.8
9L31,3586.0
9L34,1567.6
9L35,0.0
9L36,1434.5
9L37,0.0
9L38,3371.2
9L39,0.0
9L40,0.0
9M20,2240.0
9M21,2410.0
9M22,4460.0
9M23,2080.0
9M24,0.0
9M25,0.0
9M26,4020.8
9M27,2360.0
9M28,0.0
9M29,5500.0
9M30,0.0
9M33,3568.1
9M34,5086.7
9M35,0.0
9M38,0.0
9P10,5456.7
9P11,4754.5
9P12,5351.0
9P13,5210.3
9P14,5500.0
9P15,5395.2
9P16,30.1
9P17,5094.8
9P19,5476.2
9P20,5059.6
9P21,5172.9
9P23,5436.7
9P24,5476.4
9P25,5126.6
9P26,5098.2
9P27,5500.0
9P28,5188.4
9P29,5260.0
IA20,5206.4
IA21,5063.2
IA22,5062.6
IA23,5500.0
IA24,5305.4
IA25,4914.5
IA26,4591.4
IA27,5493.4
IA28,5500.0
IA29,4646.9
IA30,5470.2
IA31,5466.0
IA32,5500.0
IA33,5463.2
IA34,5500.0
IA35,2940.0
IA36,5500.0
IA37,4911.8
IA38,5445.9
IA39,5484.2
IB20,2554.1
IB21,4880.1
IB22,5401.4
IB23,5500.0
IB24,5300.8
IB25,5250.7
IB26,5461.4
IB27,5463.3
IB28,0.0
IB29,4889.3
IB30,4440.8
IB31,4966.8
IB32,5486.4
IB33,5480.4
IB34,5500.0
ID20,3540.0
ID21,3288.2
ID22,5382.1
ID23,0.0
ID24,5500.0
ID25,4951.8
ID26,5131.2
ID27,4674.2
ID28,5012.5
ID29,4956.4
ID30,5004.3
ID31,527.7
IE20,0.0
IE21,0.0
IE22,2382.6
IE23,3052.7
IE24,0.0
IE25,3855.1
IE26,1416.6
IE27,0.0
IE28,4977.8
IE29,0.0
IF20,769.2
IF21,0.0
IF22,1831.8
IF23,2102.5
IF24,4034.8
IF25,3094.2
IF26,739.4
IF27,5156.2
IF28,0.0
IF29,0.0
IF30,0.0
IF31,3470.0
IF32,1400.0
IF34,3471.6
IF35,4569.9
IF36,3268.4
IF37,0.0
IF38,0.0
IF39,823.4
IG30,4967.0
IG31,4660.0
IG32,4895.9
IG33,4330.0
IG34,5209.5
IG35,4723.6
IG36,5212.5
IG37,2470.0
IG38,2640.0
IG39,5039.9
IG40,3877.6
IG41,0.0
IG42,5121.5
IG43,4270.1
IG44,510.0
IG45,4766.8
IG46,5185.0
IG47,1030.0
IG48,3655.3
IG49,5430.5
IH20,5337.4
IH21,1993.9
IH22,5452.1
IH23,5407.9
IH24,5000.3
IH25,5203.2
IH26,5466.5
IH27,3845.8
IH28,5250.3
IH29,4728.6
IH31,5283.0
IH32,5500.0
IH33,4856.2
IH34,5463.9
IH35,4879.6
II20,5355.2
II21,5500.0
