ROWNUM, X, Y, FEEDER
1,191001.601,2670889.548,9A51
2,191224.511,2670373.2689999999,9A52
3,191397.92300000001,2670541.463,9A52
4,191475.641,2670230.6290000002,9A52
5,191686.177,2670898.659,9A53
6,191901.08300000001,2670733.9780000001,9A53
7,191752.14300000001,2670845.9709999999,9A53
8,191506.73499999999,2670775.7880000002,9A53
9,191303.87700000001,2670637.3420000002,9A57
10,191570.42800000001,2670413.2340000002,9A57
11,190990.022,2669831.9759999998,9A58
12,191016.005,2669817.7080000001,9A58
13,193111.038,2672809.2579999999,9A59
14,193895.014,2672884.8360000001,9A59
15,193344.17600000001,2672851.8730000001,9A59
16,192410.66099999999,2671639.5260000001,9A59
17,193073.68599999999,2672087.6940000001,9A59
18,194204.48800000001,2672873.1600000001,9A59
19,193961.32699999999,2672822.7710000002,9A59
20,192876.856,2672366.0430000001,9A59
21,194039.59,2672877.9759999998,9A59
22,192407.027,2672173.452,9A59
23,193840.37400000001,2672754.8119999999,9A59
24,191979.21400000001,2670211.2050000001,9A62
25,191835.788,2669758.8960000002,9A62
26,191787.71299999999,2669797.4759999998,9A62
27,191696.01199999999,2669471.4819999998,9A62
28,191706.75700000001,2669365.0320000001,9A62
29,191804.285,2669282.7910000002,9A62
30,191698.92000000001,2669345.108,9A62
31,191877.723,2669805.04,9A62
32,191800.91699999999,2669574.6660000002,9A62
33,191927.14799999999,2670083.6579999998,9A62
34,191907.58900000001,2670996.3289999999,9A63
35,191748.76500000001,2671039.4070000001,9A63
36,187622.37,2667416.8229999999,9A64
37,187526.497,2667452.4270000001,9A64
38,187110.47099999999,2667190.4709999999,9A64
39,191225.345,2669609.2239999999,9A64
40,190409.88500000001,2669874.585,9A64
41,187522.82500000001,2667793.0070000002,9A64
42,188103.804,2668593.4720000001,9A64
43,188615.46599999999,2669211.2370000002,9A64
44,190605.74900000001,2669737.8840000001,9A64
45,190679.92999999999,2669665.4679999999,9A64
46,190422.50099999999,2669310.1719999998,9A64
47,190210.261,2670062.0750000002,9A64
48,190437.00200000001,2669906.3450000002,9A64
49,187641.16899999999,2667364.463,9A64
50,190525.27100000001,2669795.2200000002,9A64
51,190182.40900000001,2669242.2420000001,9A64
52,188578.69500000001,2669193.281,9A64
53,186185.416,2665926.3139999998,9A64
54,187877.60800000001,2667492.7209999999,9A64
55,191475.34400000001,2669951.5090000001,9A65
56,189697.905,2668748.4750000001,9B52
57,189502.09299999999,2668609.764,9B52
58,191551.416,2669783.531,9B52
59,191379.03599999999,2669604.6860000002,9B52
60,190335.74100000001,2669913.3960000002,9B52
61,189812.546,2669010.8870000001,9B52
62,189599.58199999999,2668999.551,9B52
63,190433.459,2669916.1899999999,9B52
64,190570.272,2669742.8190000001,9B52
65,191291.94899999999,2669347.923,9B52
66,191342.02499999999,2669566.8590000002,9B52
67,191985.49299999999,2672381.7250000001,9B52
68,190231.96900000001,2670007.8480000002,9B52
69,191510.932,2669783.0449999999,9B52
70,190417.25200000001,2669859.662,9B52
71,189766.46900000001,2668777.2459999998,9B52
72,189506.22,2668559.2489999998,9B52
73,191354.77799999999,2669736.409,9B52
74,192365.948,2671045.1660000002,9B53
75,192337.63200000001,2671132.2089999998,9B53
76,192565.56400000001,2671256.5789999999,9B53
77,192823.505,2671419.7910000002,9B53
78,192003.277,2670762.1430000002,9B53
79,192767.59899999999,2671865.5830000001,9B53
80,191896.04000000001,2672227.2220000001,9B53
81,192615.20499999999,2671971.4010000001,9B53
82,192492.799,2672128.4040000001,9B53
83,192522.46299999999,2671007.4029999999,9B53
84,192287.981,2672209.6409999998,9B53
85,193078.598,2672562.1570000001,9B53
86,192631.334,2671199.0150000001,9B53
87,192525.446,2671105.7519999999,9B53
88,192680.56400000001,2672018.4679999999,9B53
89,192699.05300000001,2671920.5299999998,9B53
90,192625.242,2671290.716,9B53
91,191884.15400000001,2672243.5,9B53
92,192556.788,2672074.8399999999,9B53
93,192424.592,2671142.7719999999,9B53
94,193133.277,2671837.571,9B53
95,192460.64799999999,2670931.9640000002,9B53
96,192346.255,2671225.298,9B53
97,192465.008,2671066.8790000002,9B53
98,191738.641,2670609.5279999999,9B53
99,192702.79500000001,2672109.929,9B53
100,191895.59,2670567.5350000001,9B53
101,193360.24100000001,2672642.966,9B53
102,191708.56700000001,2672095.0980000002,9B54
103,192493.89999999999,2671579.2510000002,9B54
104,192993.68700000001,2671702.264,9B54
105,192078.64600000001,2671868.3229999999,9B54
106,192281.60699999999,2671726.2969999998,9B54
107,191738.09299999999,2672038.2519999999,9B54
108,191837.88800000001,2671990.2549999999,9B54
109,191923.62299999999,2671932.102,9B54
110,192366.80799999999,2671685.2740000002,9B54
111,191881.478,2672014.4509999999,9B54
112,192179.38399999999,2671732.7209999999,9B54
113,193076.33600000001,2672001.216,9B54
114,192313.432,2671716.6379999998,9B54
115,192274.13200000001,2671450.3139999998,9B54
116,190576.31700000001,2670191.4819999998,9B55
117,190623.36799999999,2670146.7409999999,9B55
118,190842.34299999999,2669998.5920000002,9B55
119,190790.584,2670028.6850000001,9B55
120,190615.50899999999,2670205.9339999999,9B55
121,190531.77799999999,2670319.8319999999,9B55
122,190333.59299999999,2670356.7110000001,9B55
123,190509.258,2670234.878,9B55
124,190461.791,2670263.352,9B55
125,190297.073,2670371.426,9B55
126,190833.81,2670099.6579999998,9B55
127,193282.261,2672298.5279999999,9B57
128,192998.67499999999,2671748.352,9B57
129,193143.89199999999,2672097.6510000001,9B57
130,193235.717,2672304.2969999998,9B57
131,192773.09700000001,2671922.1209999998,9B57
132,193462.65400000001,2672399.2459999998,9B57
133,193319.361,2672414.926,9B57
134,192848.823,2671741.0610000002,9B57
135,193413.67300000001,2672538.1710000001,9B57
136,192452.97899999999,2672092.3859999999,9B57
137,191966.06599999999,2672672.0860000001,9B57
138,189710.587,2668550.77,9B62
139,189673.80300000001,2668376.6680000001,9B62
140,189676.90100000001,2668399.5989999999,9B62
141,187863.17000000001,2667202.142,9B62
142,188536.12100000001,2666892.6189999999,9B62
143,188060.58100000001,2667119.4419999998,9B62
144,187983.28200000001,2667570.855,9B62
145,189715.88200000001,2668658.2280000001,9B62
146,188566.31299999999,2667142.898,9B62
147,189730.04500000001,2668336.426,9B62
148,189689.85699999999,2668751.2390000001,9B62
149,188306.56,2666954.5499999998,9B62
150,190020.60399999999,2669705.77,9B62
151,191272.595,2669270.753,9B62
152,189782.149,2668875.3879999998,9B62
153,189488.52299999999,2669197.534,9B62
154,188869.50700000001,2668280.5159999998,9B62
155,189906.068,2668710.5630000001,9B62
156,189669.68299999999,2668279.3539999998,9B62
157,189846.00599999999,2668478.1889999998,9B62
158,189463.32699999999,2668370.5430000001,9B62
159,190239.5,2669585.372,9B62
160,189981.774,2668982.0359999998,9B62
161,190148.495,2669577.4759999998,9B62
162,191582.43400000001,2672639.6949999998,9B63
163,191446.652,2671893.5449999999,9B63
164,191943.595,2672515.5350000001,9B63
165,192152.571,2672301.9780000001,9B63
166,191614.802,2671821.406,9B63
167,191890.44099999999,2672539.9139999999,9B63
168,191463.473,2672598.3390000002,9B63
169,192260.53599999999,2672527.625,9B63
