FEEDER,CAPACITY
﻿JA21,5500.0
﻿JA22,5493.7
﻿JA23,5344.8
﻿JA24,5467.9
﻿JA25,3805.2
﻿JA26,5480.2
﻿JA27,5489.4
﻿JA28,4984.2
﻿JA29,5388.5
﻿JA30,5069.7
﻿JA32,600.0
﻿JA33,5268.0
﻿JA34,0.0
﻿JA35,4811.2
﻿JA36,5345.6
﻿JA38,5258.0
﻿JA39,4875.7
﻿JA40,5005.2
﻿JA5A,11000.0
﻿JA5B,10445.0
﻿JA5C,9951.0
﻿JA5D,10975.0
﻿JA5G,9932.6
﻿JA5H,9684.8
﻿JA71,10923.8
﻿JA72,10985.2
﻿JA73,10219.7
﻿JA74,9991.5
﻿JA76,10959.9
﻿JA77,10991.6
﻿JA78,10766.0
﻿JB21,4828.3
﻿JB22,3971.3
﻿JB23,5463.7
﻿JB24,5456.5
﻿JB25,4370.4
﻿JB26,0.0
﻿JB27,4043.6
﻿JB28,5455.9
﻿JB29,5338.9
﻿JB30,5130.1
﻿JB36,5228.9
﻿JB37,5500.0
﻿JB39,5480.2
﻿JB40,5500.0
﻿JC21,4544.8
﻿JC22,4592.1
﻿JC23,4439.0
﻿JC24,0.0
﻿JC25,5423.0
﻿JC26,0.0
﻿JC27,4705.3
﻿JC28,5402.9
﻿JC29,0.0
﻿JC30,0.0
﻿JD21,0.0
﻿JD22,5332.8
﻿JD23,0.0
﻿JD24,5500.0
﻿JD25,4183.0
﻿JD26,4695.4
﻿JD27,0.0
﻿JD28,4628.7
﻿JD29,5426.2
﻿JD30,5190.9
﻿JD31,0.0
﻿JD32,1041.4
﻿JD33,4460.0
﻿JD34,5471.3
﻿JD35,4279.5
﻿JE21,0.0
﻿JE22,2391.5
﻿JE23,0.0
﻿JE24,0.0
﻿JE25,0.0
﻿JE26,0.0
﻿JE27,1121.0
﻿JE28,0.0
﻿JE29,0.0
﻿JE30,0.0
﻿JF21,3853.8
﻿JF22,0.0
﻿JF23,3900.9
﻿JF24,0.0
﻿JF25,0.0
﻿JF26,3816.5
﻿JF27,0.0
﻿JF28,5397.4
﻿JF29,0.0
﻿JF30,5212.6
﻿JF31,5363.4
﻿JF32,2930.0
﻿JF33,0.0
﻿JF34,5500.0
﻿JF35,4543.3
﻿JF36,5140.0
﻿JG21,5465.6
﻿JG22,4921.6
﻿JG23,0.0
﻿JG24,3713.7
﻿JG25,0.0
﻿JG26,5500.0
﻿JG27,3295.6
﻿JG28,0.0
﻿JG29,0.0
﻿JG30,0.0
﻿JG31,0.0
﻿JG32,0.0
﻿JG33,5500.0
﻿JG34,1200.0
﻿JG35,4509.4
﻿JG36,1690.0
﻿JG37,5051.3
﻿JG38,5320.5
﻿JG51,0.0
﻿JG52,998.7
﻿JG53,8990.1
﻿JG61,0.0
﻿JG62,3159.3
﻿JG63,8341.3
﻿JG64,490.0
﻿JG71,6223.7
﻿JG73,0.0
﻿JG74,5653.4
﻿JH21,4541.3
﻿JH22,0.0
﻿JH23,5272.5
﻿JH24,0.0
﻿JH25,5306.8
﻿JH26,0.0
﻿JH27,3942.7
﻿JH28,4581.6
﻿JH29,0.0
﻿JH30,4569.2
﻿JI27,0.0
﻿JI28,0.0
﻿JI29,0.0
﻿JI30,0.0
﻿JI31,0.0
﻿JI32,5500.0
﻿JI33,0.0
﻿JI34,0.0
﻿JI35,0.0
﻿JI36,0.0
﻿JI37,0.0
﻿JI38,0.0
﻿JJ21,5408.4
﻿JJ22,4677.6
﻿JJ23,5500.0
﻿JJ24,5500.0
﻿JJ25,4879.9
﻿JJ31,5383.3
﻿JJ32,5267.7
﻿JJ33,5315.3
﻿JJ34,4968.4
﻿JJ35,5394.2
﻿JJ56,10951.4
﻿JJ57,11000.0
﻿JJ58,9884.9
﻿JJ59,10952.1
﻿JJ60,11000.0
﻿JJ66,10956.2
﻿JJ67,10875.7
﻿JJ68,10980.0
﻿JJ69,10459.2
﻿JJ70,10958.6
﻿JK21,4232.2
﻿JK22,4405.6
﻿JK23,3741.8
﻿JK24,2920.0
﻿JK25,4720.5
﻿JK57,10995.4
﻿JK58,0.0
