ROWNUM, X, Y, FEEDER
1,222238.75399999999,2611793.25,AH31
2,219105.91,2579055.6579999998,B828
3,219312.29500000001,2578671.96,B828
4,217481.03400000001,2576228.9350000001,B828
5,219169.50599999999,2578901.878,B828
6,219196.99100000001,2578648.4380000001,B828
7,254442.321,2730569.4819999998,F311
8,192380.674,2598108.9440000001,JA21
9,192733.41399999999,2598179.9500000002,JA21
10,192509.712,2598110.6919999998,JA21
11,192849.86900000001,2598004.804,JA21
12,192472.041,2598018.7790000001,JA21
13,192353.78,2598084.9589999998,JA21
14,192184.80300000001,2598070.2710000002,JA21
15,192642.32199999999,2598184.088,JA21
16,192318.764,2597854.926,JA21
17,192264.01000000001,2598070,JA21
18,191930.516,2597990.0750000002,JA21
19,192185.24400000001,2597711.0070000002,JA21
20,192643.77100000001,2597729.7790000001,JA21
21,192479.60200000001,2598113.477,JA21
22,192354.37899999999,2597753.8420000002,JA21
23,192783.45300000001,2597747.2620000001,JA21
24,192361.68400000001,2597921.7179999999,JA21
25,192583.33300000001,2598240.0320000001,JA21
26,192268.481,2597868.111,JA21
27,192262.37299999999,2597739.0299999998,JA21
28,192779.277,2598208.8870000001,JA21
29,192763.505,2597995.1570000001,JA21
30,192307.20999999999,2597159.983,JA22
31,192283.55300000001,2597366.6630000002,JA22
32,192390.842,2597240.5090000001,JA22
33,192433.33100000001,2597351.9169999999,JA22
34,192388.68599999999,2597500.1770000001,JA22
35,192448.83600000001,2597538.4909999999,JA22
36,192282.42000000001,2597261.8909999998,JA22
37,192394.49299999999,2597342.6740000001,JA22
38,192404.50899999999,2597571.6030000001,JA22
39,192234.85399999999,2597485.054,JA22
40,192490.32800000001,2597248.3590000002,JA22
41,192264.76300000001,2597554.25,JA22
42,192203.41200000001,2597322.4939999999,JA22
43,192418.853,2597501.9309999999,JA22
44,193598.57699999999,2597247.838,JA23
45,193225.85999999999,2597615.3330000001,JA23
46,193146.69899999999,2597154.7650000001,JA23
47,193128.769,2597569.3319999999,JA23
48,193796.617,2597097.659,JA23
49,193051.617,2597463.7250000001,JA23
50,193001.092,2597234.1490000002,JA23
51,193595.516,2597037.0430000001,JA23
52,193066.905,2597571.6860000002,JA23
53,193136.592,2597249.5819999999,JA23
54,193499.45199999999,2597146.781,JA23
55,193675.071,2597064.6340000001,JA23
56,193006.022,2597257.4920000001,JA23
57,193543.114,2597102.0389999999,JA23
58,193258.36300000001,2597156.7560000001,JA23
59,193245.701,2597207.182,JA23
60,193691.76500000001,2597161.5260000001,JA23
61,192995.655,2597331.3930000002,JA23
62,192864.97200000001,2597166.0040000002,JA23
63,192978.00899999999,2597541.6740000001,JA23
64,193415.22099999999,2597029.872,JA23
65,193338.486,2597170.139,JA23
66,193151.679,2597394.102,JA23
67,193156.94399999999,2597492.0750000002,JA23
68,193244.18700000001,2597558.4640000002,JA23
69,193221.56400000001,2597409.196,JA23
70,193015.73499999999,2597142.5780000002,JA23
71,192999.70000000001,2597479.4640000002,JA23
72,193439.89000000001,2597085.7370000002,JA23
73,193307.23800000001,2597411.8730000001,JA23
74,193155.46799999999,2597609.855,JA23
75,191986.07399999999,2596655.2039999999,JA24
76,192093.92999999999,2595670.8900000001,JA24
77,191907.87599999999,2595428.6200000001,JA24
78,191946.715,2596938.7400000002,JA24
79,192054.69899999999,2596929.8220000002,JA24
80,192032.92800000001,2595530.5040000002,JA24
81,191654.37100000001,2595155.4019999998,JA24
82,192090.44399999999,2596877.111,JA24
83,191808.07800000001,2595221.784,JA24
84,191950.04000000001,2596864.9240000001,JA24
85,192062.69899999999,2595480.2149999999,JA24
86,192007.473,2596779.3300000001,JA24
87,191684.57399999999,2595201.96,JA24
88,191965.921,2595511.8650000002,JA24
89,191984.04999999999,2596769.611,JA24
90,192178.973,2595663.8149999999,JA24
91,191487.37,2595007.9649999999,JA24
92,192107.429,2596829.1899999999,JA24
93,191825.26999999999,2595339.5830000001,JA24
94,191602.29300000001,2595121.02,JA24
95,192105.967,2595516.0950000002,JA24
96,191969.37899999999,2596599.4440000001,JA24
97,192117.389,2596925.4249999998,JA24
98,191710.42199999999,2595210.2919999999,JA24
99,194065.28,2596040.0600000001,JA25
100,194002.46599999999,2596201.04,JA25
101,194211.81200000001,2596341.031,JA25
102,193691.84299999999,2596610.2409999999,JA25
103,194144.45699999999,2596604.4019999998,JA25
104,194053.41200000001,2596134.105,JA25
105,194070.00599999999,2596607.1779999998,JA25
106,193472.89000000001,2596584.4440000001,JA25
107,194258.092,2596272.6490000002,JA25
108,194122.511,2596501.5440000002,JA25
109,193706.12899999999,2596478.9029999999,JA25
110,193724.85000000001,2596843.0049999999,JA25
111,194321.44200000001,2596375.6660000002,JA25
112,194179.23800000001,2596298.827,JA25
113,193989.23800000001,2596020.3330000001,JA25
114,193574.603,2596433.6779999998,JA25
115,193718.55900000001,2596272.7790000001,JA25
116,194014.84899999999,2596318.2779999999,JA25
117,194089.53200000001,2596703.1069999998,JA25
118,193848.89499999999,2596432.318,JA25
119,193519.307,2596559.622,JA25
120,193799.45499999999,2596309.077,JA25
121,193816.10999999999,2596337.2170000002,JA25
122,193604.89300000001,2596366.432,JA25
123,193944.48800000001,2596639.8820000002,JA25
124,194154.334,2596103.7760000001,JA25
125,193577.34599999999,2596280.4989999998,JA25
126,193991.29699999999,2596320.551,JA25
127,193869,2596724.2590000001,JA25
128,193966.75599999999,2596119.165,JA25
129,194012.46900000001,2596535.2230000002,JA25
130,194076.36199999999,2596489.8790000002,JA25
131,193474.152,2596428.2560000001,JA25
132,193748.91,2596721.5269999998,JA25
133,193584.40400000001,2596183.0060000001,JA25
134,193755.10500000001,2596696.7250000001,JA25
135,193827.296,2596624.0419999999,JA25
136,193868.37,2596535.7110000001,JA25
137,193611.09599999999,2596248.4180000001,JA25
138,193979.27799999999,2596545.9270000001,JA25
139,193501.17600000001,2596319.2710000002,JA25
140,193874.06700000001,2596218.5819999999,JA25
141,193949.42800000001,2596444.898,JA25
142,193863.28099999999,2596140.8190000001,JA25
143,193705.22200000001,2596845.943,JA25
144,193765.91800000001,2596523.3840000001,JA25
145,194066.065,2596256.3119999999,JA25
146,194162.981,2596367.642,JA25
147,193649.79199999999,2596447.3280000002,JA25
148,192471.83199999999,2597674.5800000001,JA26
149,192781.516,2597706.8250000002,JA26
150,192380.21400000001,2597662.9479999999,JA26
151,192484.932,2597154.3029999998,JA26
152,192296.87599999999,2597661.7450000001,JA26
153,192320.18599999999,2597034.0210000002,JA26
154,192255.60000000001,2597582.7769999998,JA26
155,192190.658,2597594.389,JA26
156,192376.82399999999,2597600.5789999999,JA26
157,192691.39499999999,2597708.4160000002,JA26
158,192295.13800000001,2597153.2769999998,JA26
159,192555.96400000001,2597691.3670000001,JA26
160,192059.84400000001,2597003.9180000001,JA27
161,191989.97,2597311.4750000001,JA27
162,192176.163,2597051.3509999998,JA27
163,191982.79399999999,2596981.2560000001,JA27
164,192090.01199999999,2597042.7450000001,JA27
165,192006.916,2597073.4369999999,JA27
166,191945.94399999999,2597107.5929999999,JA27
167,192115.128,2597251.9190000002,JA27
168,192018.302,2597298.977,JA27
169,191987.11900000001,2597271.6800000002,JA27
170,191871.93599999999,2597192.9559999998,JA27
171,192130.66899999999,2597101.9010000001,JA27
172,192323.245,2595448.3450000002,JA28
173,191504.12899999999,2594932.344,JA28
174,192524.65599999999,2595532.2629999998,JA28
175,192441.00899999999,2595258.2590000001,JA28
176,192271.209,2595188.415,JA28
