FEEDER,CAPACITY
﻿F201,5022.9
﻿F202,5500.0
﻿F203,5430.0
﻿F204,4699.8
﻿F205,5407.4
﻿F206,5480.4
﻿F211,5500.0
﻿F212,5500.0
﻿F213,5209.7
﻿F214,5480.3
﻿F257,11000.0
﻿F258,11000.0
﻿F259,10521.3
﻿F260,11000.0
﻿F265,11000.0
﻿F266,10949.0
﻿F267,10534.3
﻿F268,11000.0
﻿F269,10703.8
﻿F270,11000.0
﻿F301,5197.8
﻿F302,5500.0
﻿F304,5408.9
﻿F305,5401.6
﻿F311,2280.0
﻿F312,0.0
﻿F313,0.0
﻿F314,1810.0
﻿F315,5347.2
﻿F401,5473.5
﻿F402,5344.0
﻿F403,5500.0
﻿F404,5500.0
﻿F405,5500.0
﻿F406,5471.0
﻿F407,5214.8
﻿F408,5091.7
﻿F409,4912.8
﻿F410,5477.4
﻿F411,5467.9
﻿F412,5473.4
﻿F413,5500.0
﻿F414,0.0
﻿F415,5500.0
﻿F416,5500.0
﻿F417,5371.9
﻿F418,5500.0
﻿F419,5500.0
﻿F420,5500.0
﻿F451,9312.4
﻿F452,10752.5
﻿F453,10500.3
﻿F454,11000.0
﻿F455,11000.0
﻿F456,11000.0
﻿F457,10882.0
﻿F458,11000.0
﻿F501,4138.4
﻿F502,4956.7
﻿F503,5331.8
﻿F506,5494.3
﻿F507,5243.6
﻿F508,5467.4
﻿F567,11000.0
﻿F568,11000.0
﻿F569,11000.0
﻿F570,11000.0
﻿F650,9234.9
﻿F651,10932.8
﻿F652,11000.0
﻿F653,11000.0
﻿F654,11000.0
﻿F655,10976.6
﻿F656,10601.0
﻿F657,10530.4
﻿F658,10655.1
﻿F659,10729.2
﻿F660,10906.4
﻿F661,11000.0
﻿F662,11000.0
﻿F663,10827.2
﻿F664,10010.4
﻿F665,11000.0
﻿F751,10682.6
﻿F752,11000.0
﻿F753,11000.0
﻿F755,11000.0
﻿F757,9669.4
﻿F758,11000.0
﻿F759,11000.0
﻿F75A,11000.0
﻿F75B,10775.7
﻿F75C,11000.0
﻿F75D,10591.5
﻿F760,11000.0
﻿F761,11000.0
﻿F762,10850.4
﻿F763,10837.4
﻿F764,7374.3
﻿F765,9443.9
﻿F766,11000.0
﻿F767,11000.0
﻿F768,11000.0
﻿F769,11000.0
﻿F76A,11000.0
﻿F76C,11000.0
﻿F770,11000.0
﻿F771,10500.2
﻿F772,11000.0
﻿F773,11000.0
﻿F774,11000.0
﻿F775,11000.0
﻿F776,11000.0
﻿F777,11000.0
﻿F778,11000.0
﻿F901,5500.0
﻿F902,5458.3
﻿F903,5500.0
﻿F904,5032.5
﻿F905,2030.0
﻿F906,4984.9
﻿F907,5500.0
﻿F908,5487.9
﻿F910,5500.0
﻿F911,5500.0
﻿F912,5500.0
﻿F913,5500.0
﻿F914,5500.0
﻿F915,5367.3
﻿F916,4784.8
﻿F917,5461.6
﻿F918,5110.7
﻿F919,5349.8
﻿F920,4900.6
﻿F951,10603.2
﻿F952,11000.0
﻿F953,10584.1
﻿F956,11000.0
﻿F957,11000.0
﻿F958,10990.3
﻿FA51,11000.0
﻿FA53,10882.9
﻿FA54,11000.0
﻿FA55,11000.0
﻿FA57,11000.0
﻿FA58,11000.0
﻿FA61,10937.3
﻿FA63,11000.0
﻿FA64,11000.0
﻿FA65,11000.0
﻿FA66,11000.0
﻿FA67,11000.0
﻿FA68,10992.9
﻿FA71,11000.0
﻿FB24,4981.6
﻿FB25,5486.2
﻿FB26,5400.9
﻿FB27,5099.4
﻿FB28,5400.3
﻿FB29,5487.6
﻿FB30,5500.0
﻿FB32,5400.3
﻿FB33,5500.0
﻿FB34,4828.8
﻿FB35,5481.6
﻿FC01,5019.4
﻿FC02,5056.4
﻿FC03,5500.0
﻿FC04,4490.0
﻿FC05,3430.0
﻿FC06,5500.0
﻿FC07,5500.0
﻿FC08,5500.0
﻿FC09,5008.0
﻿FC10,5400.3
﻿FC11,2700.0
﻿FC12,5424.4
﻿FC13,5500.0
﻿FC14,4862.8
﻿FC15,5500.0
﻿FC16,5500.0
﻿FC17,5020.0
﻿FC18,5500.0
﻿FC19,4998.4
﻿FC20,5500.0
﻿FC21,5407.5
﻿FC23,5500.0
﻿FC24,5468.3
﻿FC25,5476.3
﻿FC26,5368.9
﻿FC27,5500.0
﻿FC28,5400.9
﻿FC29,5468.0
﻿FC30,5500.0
﻿FD20,5115.0
﻿FD21,5000.3
﻿FD22,5500.0
﻿FD23,5205.4
﻿FD24,5315.2
﻿FD25,4876.5
﻿FD26,5500.0
﻿FD27,5500.0
﻿FD28,5400.7
﻿FD29,5106.4
﻿FD30,5500.0
﻿FD32,5083.9
﻿FD33,5183.8
﻿FD34,5480.2
﻿FD35,5500.0
﻿FD36,5420.5
﻿FD37,5387.2
﻿FD38,5500.0
﻿FD39,5307.4
﻿FD51,11000.0
﻿FD52,10471.1
﻿FD53,10803.4
﻿FD54,10858.4
﻿FD55,10685.0
﻿FD56,11000.0
﻿FD57,11000.0
﻿FD58,11000.0
﻿FD59,11000.0
﻿FD60,11000.0
﻿FD61,11000.0
﻿FD62,11000.0
﻿FD63,10970.1
﻿FD64,10685.0
﻿FD65,11000.0
﻿FD66,11000.0
﻿FE51,11000.0
﻿FE52,11000.0
﻿FE53,11000.0
﻿FE54,11000.0
﻿FE55,10817.9
﻿FE56,11000.0
﻿FE58,11000.0
﻿FE59,11000.0
﻿FE5A,11000.0
﻿FE5B,11000.0
﻿FE5C,10633.1
﻿FE60,11000.0
﻿FE61,10476.7
﻿FE62,10795.1
﻿FE63,11000.0
﻿FE65,11000.0
﻿FE66,11000.0
﻿FE67,11000.0
﻿FE68,11000.0
﻿FE69,11000.0
﻿FE6A,11000.0
﻿FE6B,11000.0
﻿FE6C,11000.0
﻿FE6D,11000.0
﻿FE71,11000.0
﻿FE72,11000.0
﻿FE73,11000.0
﻿FE74,11000.0
﻿FF21,5424.4
﻿FF22,5500.0
﻿FF23,5500.0
﻿FF24,5500.0
﻿FF25,5486.0
﻿FF26,5500.0
﻿FF27,5500.0
﻿FF28,5115.4
﻿FF29,3854.2
﻿FF30,4520.3
﻿FF31,5500.0
﻿FF32,5268.3
﻿FF33,5500.0
﻿FF34,5155.2
﻿FF35,4701.7
﻿FG33,5500.0
﻿FG34,5500.0
﻿FG35,5266.2
﻿FG36,5500.0
﻿FG37,5314.5
﻿FG38,5400.3
﻿FG39,5500.0
﻿FG40,5500.0
﻿FG41,5266.2
﻿FG42,5500.0
﻿FG43,5500.0
﻿FG44,5425.9
﻿FG50,10855.0
﻿FG51,10932.0
﻿FG53,11000.0
﻿FG54,11000.0
﻿FG55,11000.0
﻿FG62,10855.0
﻿FG63,11000.0
﻿FG65,11000.0
﻿FG67,11000.0
﻿FG68,11000.0
﻿FG70,11000.0
﻿FG73,11000.0
﻿FG74,11000.0
﻿FH51,11000.0
﻿FH52,11000.0
﻿FH53,10898.5
﻿FH54,11000.0
﻿FH55,11000.0
﻿FH56,10440.8
﻿FH57,10940.9
﻿FH58,11000.0
﻿FH59,11000.0
﻿FH60,11000.0
﻿FH61,11000.0
﻿FH62,11000.0
﻿FH63,11000.0
﻿FH64,10993.2
﻿FH65,11000.0
﻿FH66,11000.0
﻿FH67,11000.0
﻿FH68,10500.2
﻿FH69,11000.0
﻿FH70,11000.0
﻿FH71,11000.0
﻿FH72,11000.0
﻿FH73,8764.6
﻿FH74,10758.6
﻿FI51,11000.0
﻿FI53,11000.0
﻿FI55,11000.0
﻿FI5A,11000.0
﻿FI5B,11000.0
﻿FI5C,11000.0
﻿FI5D,11000.0
﻿FI67,11000.0
﻿FI68,11000.0
﻿FI69,10460.0
﻿FI71,11000.0
﻿FI72,11000.0
﻿FI73,11000.0
﻿FI74,11000.0
﻿FI75,11000.0
﻿FI76,11000.0
﻿FI77,11000.0
﻿FI78,9834.2
﻿FJ01,1514.0
﻿FJ02,5366.1
﻿FJ03,150.0
﻿FJ04,3818.8
﻿FJ05,530.0
﻿FJ06,3687.4
﻿FJ07,4470.0
﻿FJ08,4730.0
﻿FJ11,0.0
﻿FJ12,5400.1
﻿FJ13,1589.9
﻿FJ14,2808.9
﻿FJ15,5190.5
﻿FJ16,5149.9
﻿FJ18,5500.0
﻿FJ19,3364.8
﻿FJ20,2131.2
﻿FK21,4307.8
﻿FK22,5352.2
﻿FK23,5500.0
﻿FK24,4860.8
﻿FK25,2540.0
﻿FK26,5054.1
﻿FK27,2581.5
﻿FK28,5500.0
﻿FK29,2900.0
﻿FK30,3500.8
﻿FK31,5170.7
﻿FK32,5500.0
﻿FK33,5383.4
﻿FK35,4723.8
﻿FK36,5500.0
﻿FK37,0.0
﻿FK38,0.0
﻿FK39,9.3
﻿FK40,5210.6
﻿FL01,4976.6
﻿FL02,5500.0
﻿FL03,4715.3
﻿FL04,3481.4
﻿FL05,5472.6
﻿FL06,257.6
﻿FL07,5189.7
﻿FL08,4930.0
﻿FL09,5452.2
﻿FL11,5500.0
﻿FL12,5417.5
﻿FL14,5382.4
﻿FL15,5312.7
﻿FM51,11000.0
﻿FM52,11000.0
﻿FM53,11000.0
