ROWNUM, X, Y, FEEDER
1,275870,2741180,EE21
2,276219.77899999998,2741410.4169999999,EE21
3,260319.94200000001,2754089.094,EF27
4,260293.497,2754288.9109999998,EF27
5,260291.766,2754320.5389999999,EF27
6,261986.878,2752758.5630000001,EF29
7,261893.33900000001,2752747.2429999998,EF29
8,262070.58600000001,2753043.4139999999,EF29
9,261515.655,2752668.4589999998,EF29
10,262194.82699999999,2752583.0800000001,EF29
11,261393.19899999999,2752766.77,EF29
12,262165.45400000003,2752617.4709999999,EF29
13,245560.15900000001,2746495.844,F201
14,245752.54800000001,2746097.9199999999,F201
15,246028.58499999999,2746441.8399999999,F201
16,245525.41200000001,2746345.449,F201
17,245442.856,2746774.8509999998,F201
18,245820.20800000001,2746019.9720000001,F201
19,245811.921,2746468.8930000002,F201
20,245702.11300000001,2746345.696,F201
21,245876.99799999999,2746147.0729999999,F201
22,245717.42499999999,2746142.1200000001,F201
23,245983.09700000001,2746195.0669999998,F201
24,245391.28899999999,2746737.7289999998,F201
25,245468.285,2746378.7089999998,F201
26,245775.89000000001,2746846.645,F201
27,245737.86199999999,2745367.1439999999,F201
28,245240,2746840,F201
29,245776.71900000001,2746469.1490000002,F201
30,245391.54199999999,2747006.0469999998,F201
31,246587.20800000001,2745718.9419999998,F201
32,245631.61499999999,2745309.1850000001,F201
33,245962,2746682,F201
34,246074.91500000001,2746374.3670000001,F201
35,245466.53700000001,2745524.909,F201
36,245778.182,2746685.977,F201
37,246138.117,2746338.423,F201
38,246276.98800000001,2745850.7620000001,F201
39,245660.18700000001,2746117.4920000001,F201
40,245693.71400000001,2746061.676,F201
41,246487.046,2745711.6030000001,F201
42,246990.639,2746503.7250000001,F201
43,245986.872,2745392.5159999998,F201
44,245858.43799999999,2745446.0759999999,F201
45,246071.00099999999,2745472.9980000001,F201
46,245510.27100000001,2745589.5189999999,F201
47,245745.139,2746263.9550000001,F201
48,245967.52799999999,2745521.2289999998,F201
49,245698.40599999999,2745525.4279999998,F201
50,246962.79800000001,2746435.727,F201
51,245595.81099999999,2746539.3870000001,F201
52,245686.16200000001,2745433.6949999998,F201
53,245674.86199999999,2745652.179,F201
54,245494.079,2746252.0589999999,F201
55,245588.853,2746137.9709999999,F201
56,246171.101,2746269.4950000001,F201
57,245776.00099999999,2745402.9989999998,F201
58,245451.43100000001,2746447.9739999999,F201
59,245592.728,2745313.4980000001,F201
60,245741.30799999999,2745591.8569999998,F201
61,245970.701,2745082.27,F201
62,245508.45000000001,2746677.1499999999,F201
63,245666.45800000001,2746619.5830000001,F201
64,245677.23300000001,2746474.1600000001,F201
65,245841.41899999999,2745921.5619999999,F201
66,246324.641,2745758.4849999999,F201
67,245672.35699999999,2746214.7080000001,F201
68,245774.946,2746520.7710000002,F201
69,245402.448,2746624.54,F201
70,245919.924,2746386.1600000001,F201
71,246064.27600000001,2746091.7930000001,F201
72,245957.93100000001,2746098.034,F201
73,245674.747,2746728.0299999998,F201
74,245943.04500000001,2746420.821,F201
75,245467.73999999999,2746264.9410000001,F201
76,248177.948,2744280.2420000001,F201
77,245580.503,2745667.71,F201
78,245489.997,2746195.2009999999,F201
79,246343.68799999999,2745851.9730000002,F201
80,245706.315,2746298.8369999998,F201
81,245592.05900000001,2745404.6349999998,F201
82,246104.109,2745462.7829999998,F201
83,246051.867,2745535.352,F201
84,246101.20999999999,2746264.281,F201
85,248053.696,2743834.1209999998,F202
86,248128.69099999999,2743753.6919999998,F202
87,245953.11199999999,2741736.9440000001,F203
88,245983,2741420,F203
89,245311.307,2741930.7799999998,F203
90,245450.17600000001,2741674.571,F203
91,245690.90299999999,2741879.0260000001,F203
92,246062.109,2741410.673,F203
93,246246.557,2741596.1699999999,F203
94,246153.64600000001,2741465.977,F203
95,245865.51699999999,2741917.1069999998,F203
96,245835.193,2741872.3960000002,F203
97,245667.541,2742217.9199999999,F203
98,245590.85200000001,2742150.2259999998,F203
99,245659.43100000001,2741725.736,F203
100,245764.321,2741238.2620000001,F203
101,245800,2742303.0610000002,F203
102,246163.098,2741358.5600000001,F203
103,245688.45699999999,2741522.8930000002,F203
104,245795.99100000001,2741811.7829999998,F203
105,245144.41,2741888.5759999999,F203
106,246198.79800000001,2741701.6970000002,F203
107,245848.20199999999,2741299.0929999999,F203
108,245671.49600000001,2741200.3650000002,F203
109,245867.46799999999,2742486.8229999999,F203
110,245364.04500000001,2741360.736,F203
111,245711.04999999999,2741952.9959999998,F203
112,245861.891,2742191.8990000002,F203
113,245928.37899999999,2741338,F203
114,245877.783,2741320.287,F203
115,245949.23999999999,2741292.1200000001,F203
116,245488.81599999999,2741768.0049999999,F203
117,245769.14300000001,2741326.9410000001,F203
118,245445.489,2741827.2069999999,F203
119,245836.283,2741170.0210000002,F203
120,245797.00399999999,2741728.784,F203
121,245865,2741642.2059999998,F203
122,245785.57500000001,2741415.7140000002,F203
123,245221.364,2742265.7459999998,F203
124,245594.57500000001,2742004.943,F203
125,245661.18299999999,2741428.7119999998,F203
126,245822,2742242,F203
127,245624.92499999999,2741346.608,F203
128,246044.08900000001,2742031.7740000002,F203
129,245941.10999999999,2741969.9010000001,F203
130,245105.397,2742241.8730000001,F203
