FEEDER,CAPACITY
﻿PA21,5256.8
﻿PA22,5081.9
﻿PA23,5070.0
﻿PA24,5486.8
﻿PA25,5500.0
﻿PA26,5500.0
﻿PA27,5098.5
﻿PA28,5406.6
﻿PA29,5454.2
﻿PA30,5452.6
﻿PB23,0.0
﻿PB24,5096.5
﻿PB25,5298.0
﻿PB26,5295.4
﻿PB27,0.0
﻿PC21,3300.3
﻿PC22,1999.6
﻿PC24,5313.8
﻿PC25,4986.1
﻿PC31,4545.0
﻿PC32,5500.0
﻿PC33,0.0
﻿PC34,5500.0
﻿PC35,5272.9
﻿PD21,5173.4
﻿PD22,4088.7
﻿PD23,3481.2
﻿PD24,4778.9
﻿PD25,4029.4
﻿PD26,5500.0
﻿PD27,5391.6
﻿PD28,5380.6
﻿PD29,5471.2
﻿PD30,5480.2
﻿PD31,5500.0
﻿PD32,5291.9
﻿PD33,5480.0
﻿PD34,5418.8
﻿PD35,4633.0
﻿PE21,5273.4
﻿PE22,3500.8
﻿PE23,4955.3
﻿PF21,0.0
﻿PF22,5500.0
﻿PF23,4151.2
﻿PF24,5500.0
﻿PG21,5500.0
﻿PG22,4579.4
﻿PG23,4193.6
﻿PG24,0.0
﻿PG25,4891.7
﻿PH21,2648.5
﻿PH22,0.0
﻿PH23,0.0
﻿PH24,0.0
﻿PH25,3475.2
﻿PH26,2271.7
﻿PH27,0.0
﻿PH28,5500.0
﻿PH29,5292.0
﻿PJ21,3050.4
﻿PJ22,0.0
﻿PJ23,5354.4
﻿PJ25,0.0
﻿PK22,2888.3
﻿PK24,4095.8
﻿PK25,5500.0
﻿PK26,4644.2
﻿PK28,5500.0
﻿PK29,3310.0
﻿PK30,5314.7
﻿PK32,3969.7
﻿PK35,5406.9
﻿PL45,1383.8
﻿PL46,5392.2
﻿PL47,5458.5
﻿PL48,4036.1
﻿PL49,5500.0
﻿PL51,10466.8
﻿PL52,10310.2
﻿PL53,11000.0
﻿PL54,10774.3
﻿PM21,5343.1
﻿PM22,0.0
﻿PM23,4890.1
﻿PM24,4277.5
﻿PM25,4954.5
﻿PM31,3464.6
﻿PM32,5304.2
﻿PM33,5500.0
﻿PM34,4516.2
﻿PM35,5500.0
﻿PM41,5301.1
﻿PM42,5500.0
﻿PM43,5500.0
﻿PM44,5212.9
﻿PM45,5500.0
﻿PN21,5500.0
﻿PN22,3754.0
﻿PN23,5346.0
﻿PN24,5104.9
﻿PN25,2990.0
﻿PN31,4748.9
﻿PN32,0.0
﻿PN33,2340.2
﻿PN34,2770.4
﻿PN35,5500.0
﻿PN41,5118.4
﻿PN42,1557.4
﻿PN43,4207.4
﻿PN44,3050.0
﻿PN45,1770.0
﻿PO21,0.0
﻿PO22,0.0
﻿PO31,0.0
﻿PO32,4875.0
﻿PO33,0.0
﻿PO34,0.0
﻿PP21,5420.0
﻿PP22,5482.1
﻿PP23,5468.6
﻿PP24,5500.0
﻿PP25,5467.5
﻿PP31,5466.5
﻿PP32,5264.3
﻿PP33,5412.3
﻿PP34,5441.9
﻿PP35,2220.0
﻿PP41,5480.8
﻿PP42,5191.3
﻿PP43,5500.0
﻿PP44,5485.9
﻿PP45,5130.4
﻿PP51,10995.2
﻿PP52,10545.9
﻿PP53,10974.9
﻿PP54,11000.0
﻿PP55,10503.7
﻿PQ21,522.1
﻿PQ24,4095.5
﻿PQ25,0.0
﻿PQ26,5500.0
﻿PQ29,4950.0
﻿PQ31,4325.3
﻿PQ32,4855.3
﻿PQ33,5466.6
﻿PQ34,5070.4
﻿PQ36,5500.0
﻿PQ37,2950.0
﻿PQ38,5500.0
﻿PQ39,370.0
﻿PQ40,3760.0
﻿PS21,5500.0
﻿PS22,5170.8
﻿PS23,5264.1
﻿PS24,5208.3
﻿PS25,5425.7
﻿PS26,5476.2
﻿PS27,5495.9
