FEEDER,CAPACITY
6A21,5350.2
6A22,5467.1
6A23,4904.4
6A24,5340.7
6A25,4529.9
6A31,4727.6
6A32,5024.3
6A33,4546.5
6A34,4913.4
6A35,5453.4
6A57,10990.3
6A66,10643.4
6A67,10980.4
6A69,10968.1
6E21,5286.3
6E22,3200.0
6E23,4530.0
6E24,5422.2
6E25,5200.6
6E26,2740.0
6E27,4280.0
6E28,2220.0
6E29,4645.5
6E30,5058.7
6E31,4080.0
6E32,5149.6
6E33,4576.9
6E34,3640.0
6E35,4118.6
6E36,3488.6
6E37,5367.3
6E38,5500.0
6E39,4349.5
6E40,5384.2
B221,4840.0
B222,3211.7
B223,5140.0
B224,4653.0
B225,5490.0
B226,4274.9
B227,3169.6
B229,4400.0
B230,5500.0
B231,4450.9
B232,5345.6
B233,4666.3
B234,4951.0
B235,3936.4
B236,5485.5
B237,4833.7
B238,5467.9
B239,5500.0
B240,5500.0
B521,4899.1
B522,4447.2
B523,3323.7
B524,5500.0
B525,5286.9
B526,4167.9
B527,4718.6
B528,4967.6
B529,3283.8
B530,5088.6
B531,4898.5
B532,4885.0
B533,4914.3
B534,5058.6
B535,5093.2
B536,5457.6
B537,4452.7
B538,1997.6
B539,4828.8
B540,5085.4
B621,5500.0
B622,5281.4
B623,5493.0
B624,5446.6
B625,5480.5
B631,5500.0
B632,4760.7
B633,5500.0
B634,5462.5
B635,5436.8
B659,10970.1
B665,10486.7
B666,10535.6
B667,9264.1
B668,10259.3
B731,5482.7
B732,5474.8
B733,5311.7
B734,3701.1
B735,5291.0
B736,5045.7
B737,4819.8
B738,5040.3
B739,5481.5
B740,5480.2
B755,10122.7
B756,10722.0
B757,10013.2
B758,10445.3
B759,10882.3
B765,2181.0
B766,10026.6
B767,7280.1
B768,11000.0
B769,10501.3
B821,4720.5
B822,0.0
B825,5500.0
B826,4729.3
B828,5134.1
B921,0.0
B922,2690.0
B923,5500.0
B924,4150.0
B925,5500.0
B931,4593.7
B932,5465.0
B933,1380.0
B934,5480.4
B935,5495.3
B955,10925.3
B956,10918.9
B957,10569.2
B958,10980.2
B959,10861.1
B966,8277.9
B967,10318.0
BA22,4952.3
BA23,4377.7
BA24,5020.8
BA27,5400.0
BA28,0.0
BA30,3850.0
BA31,5407.3
BA32,5470.0
BA34,5489.1
BA35,5482.4
BA36,4905.3
BA37,5466.3
BA39,5500.0
BA40,4968.1
BA41,3460.4
BA42,5283.1
BA43,5493.6
BA45,5494.4
BA46,5450.0
BB36,0.0
BB38,5500.0
BB39,723.0
BB40,4364.9
BB42,4627.9
BB43,5260.0
BB45,5500.0
BB46,4543.8
BC31,5459.7
BC32,2906.3
BC33,5413.0
BC34,5500.0
BC35,5500.0
BC36,5166.4
BC37,5419.3
BC38,5400.1
BC39,5377.5
BC41,5304.5
BC42,5500.0
BC43,3986.6
BC45,5480.8
BC46,5371.3
BD31,5500.0
BD32,5500.0
BD34,5500.0
BD35,5500.0
BD41,2434.1
BD42,0.0
BD43,5366.0
BD45,5268.6
BD46,0.0
BE31,4209.7
BE32,3410.7
BE33,3976.8
BE34,5105.3
BE35,4993.2
BE36,5227.0
BE37,5088.3
BE38,5400.2
BE39,3652.0
BE40,5469.9
BF31,4883.1
BF32,5500.0
BF33,4796.1
BF34,5476.8
BF36,5078.2
BF37,5500.0
BF38,0.0
BF39,0.0
BF40,5448.6
BG32,5320.8
BG33,0.0
BG34,0.0
BG35,4829.9
BG36,0.0
BG37,5343.9
BG38,4961.4
BH20,5489.1
BH21,3689.7
BH22,5038.8
BH23,4911.4
BH24,4851.7
BH25,3160.0
BH26,5445.4
BH27,5017.0
BH28,4911.2
BH29,5492.1
BH30,5442.0
BH31,5423.5
BH32,3406.1
BH33,3616.3
BH34,5338.5
BH35,5495.0
BH36,4792.7
BH37,5490.9
BH38,5356.2
BH39,5482.7
BH40,5471.0
BH41,5486.5
BH42,5473.5
BH43,4980.6
BI31,2991.1
BI32,4611.0
BI33,5018.0
BI34,5487.3
BI35,5319.0
BI36,5142.9
BI37,5463.3
BI38,5186.4
BI39,5486.0
BI40,5470.6
BI41,5196.2
BI42,5228.7
BI43,5491.3
BI45,2834.1
BI46,5490.3
BJ31,5500.0
BJ32,5338.9
BJ33,4748.9
BJ34,5468.5
BJ35,3619.8
BJ36,5000.2
BJ37,5249.3
BJ39,5500.0
BJ40,5451.4
BL21,4893.3
BL22,5451.4
BL23,4310.6
BL24,4569.7
BL25,5351.5
BL31,4552.3
BL32,5325.5
BL33,4461.0
BL34,5117.6
BL35,4576.8
BL36,2778.7
BL37,5500.0
BL38,5137.7
BL39,5447.4
BL40,5141.6
BL67,10958.7
BL68,11000.0
BL69,11000.0
BM21,5500.0
BM22,0.0
BM23,5500.0
BM24,5500.0
BM25,4016.3
BM26,2301.9
BM27,5217.8
BM28,5394.0
BM29,5462.4
BM30,0.0
BM31,5422.8
BM32,4714.0
BM33,0.0
BM34,4679.2
BM35,3192.6
BM36,2772.9
BM37,5500.0
BM38,5108.7
BM39,500.0
BM40,560.0
BN21,0.0
BN22,3823.1
BN23,4423.2
BN24,0.0
BN25,0.0
BN31,5285.0
BN32,4762.4
BN33,0.0
BN34,0.0
BN35,4588.0
BN36,3734.5
BN37,5416.7
BN38,900.0
BN39,3151.5
BN40,0.0
BN41,5480.2
BN42,4998.6
BN43,4481.7
BN45,0.0
BN46,5258.4
BO31,4602.2
BO32,5500.0
BO33,4147.1
BO34,5481.6
BO35,5465.5
BO36,5500.0
BO37,0.0
BO38,5348.2
BO39,4902.9
BO40,5385.6
BP31,5041.6
BP33,4386.0
BP35,5500.0
BP36,5500.0
BP37,5286.2
BP41,4272.8
BP42,5500.0
BP43,5500.0
BP45,4488.9
BP46,5500.0
BQ21,5012.7
BQ22,0.0
BQ23,4861.3
BQ24,5370.6
BQ25,4703.7
BQ26,5323.0
BQ27,5108.0
BQ28,5354.7
BQ29,5154.8
BQ30,5472.2
BQ31,5500.0
BQ32,5500.0
BQ34,4296.3
BQ35,5404.7
BQ36,5500.0
BQ37,5500.0
BQ38,5500.0
BQ39,4411.4
BQ40,5179.7
BR31,3311.3
BR32,5421.3
BR33,5496.2
BR34,4000.9
BR35,2641.5
BR36,2745.1
BR37,4863.8
BR38,0.0
BR39,5448.1
BR40,3589.0
BR41,3970.4
BR42,0.0
BR43,5500.0
BR45,5500.0
BR46,0.0
BS31,2387.2
BS32,0.0
BS33,5326.5
BS34,5005.7
BS35,5500.0
BS36,3294.1
BS37,5221.5
BS38,4243.2
BS39,3589.6
BS40,0.0
BS41,4939.8
BS42,5437.5
BS43,5000.2
BS45,5297.6
BS46,5480.2
BT31,4852.8
BT32,4022.1
BT33,4575.5
BT34,5024.7
BT35,4422.4
BT36,4590.1
BT37,4332.3
BT38,5500.0
BT39,4414.2
BT40,5310.6
BT41,5085.1
BT42,5159.2
BT43,5463.7
BT45,5285.5
BT46,4611.8
BU22,5500.0
BU25,5400.0
BU29,5500.0
BV21,5500.0
BV22,5385.8
BV23,5396.0
BV24,5355.4
BV25,4680.1
BV31,5112.4
BV32,4725.8
BV33,5290.7
BV34,5454.7
BV35,5382.4
BV36,5496.4
BV37,5193.9
BV38,5013.4
BV39,4697.6
BV40,4812.9
BV41,5489.8
BV42,5500.0
BV43,4971.2
BV45,4493.0
BV46,4944.4
BW31,4407.1
BW32,1942.9
BW33,0.0
BW34,5086.7
BW35,5464.9
BW36,4953.5
BW37,5500.0
BW38,0.0
BW39,5488.3
BW40,4906.2
BW41,5397.8
BW42,1062.5
BW43,5482.8
BW45,4465.1
BW46,4241.6
BX21,5322.3
BX22,2360.0
BX23,5500.0
BX24,5194.9
BX25,5120.0
BX31,5376.6
BX32,4089.4
BX33,4969.1
BX34,5274.8
BX35,5471.0
BX36,5059.0
BX37,4233.2
BX38,4339.7
BX39,4160.0
BX40,4476.1
BX41,4784.7
BX43,3170.0
BX45,4588.6
BX46,4909.8
BY36,5500.0
BY37,5500.0
BY38,5500.0
BZ31,5474.8
BZ32,3553.8
BZ33,0.0
BZ34,4092.7
BZ35,458.9
BZ36,5500.0
BZ37,5500.0
BZ38,5335.9
BZ39,2740.0
BZ40,5361.4
LA31,5251.5
LA32,5491.0
LA33,5479.4
LA34,5243.2
LA35,5064.8
LB31,5101.7
LB32,5500.0
LB33,5500.0
LB34,5500.0
LB35,5489.9
LB36,5328.8
LB37,5404.6
LB38,4327.6
LB39,5480.2
LB40,5474.9
LC31,5500.0
LC32,5500.0
LC33,5482.5
LC34,4950.4
LC35,5493.8
LC36,4701.9
LC37,5470.2
LC38,5494.9
LC39,5245.1
LC40,5500.0
LD59,11000.0
LD62,10990.3
LD63,10846.8
LD66,10992.0
LD67,10992.7
LD70,10994.8
LD71,10866.0
LD73,10757.7
LF31,5500.0
LF33,5500.0
LF36,5305.9
LF37,5428.8
LF38,4876.9
LF39,5125.1
LF40,5500.0
LF41,4423.0
LF42,5202.1
LF43,5470.8
LF44,5492.5
LF45,1060.0
LH31,5436.0
LH32,4604.9
LH33,4992.7
LH34,5285.4
LH35,5022.2
LH36,5363.0
LH37,5295.3
LH38,5436.8
LH39,4287.5
LH40,2750.0
LH41,1125.4
LH42,5491.6
LH43,5500.0
LH44,5069.3
LH45,5380.5
LJ31,3129.1
LJ32,3420.0
LJ33,5255.3
LJ34,1494.8
LJ35,4349.5
LJ36,5076.9
LJ37,5404.1
LJ38,5195.8
LJ39,4525.0
LJ40,5460.5
LJ41,5500.0
LJ42,5436.1
LJ43,5480.4
LJ44,3234.2
LJ45,2730.0
LK31,0.0
LK32,2523.8
LK33,2750.0
LK34,5340.2
LK35,3408.4
LK36,5500.0
LK37,0.0
LK38,4210.9
LK39,4245.4
LK40,4899.9
LK41,5005.5
LK42,5406.9
LK43,4650.8
LK44,5394.4
LK45,4497.6
LN31,2201.1
LN32,3495.9
LN33,1414.4
LN34,5140.0
LN35,5256.0
LN36,3115.0
LN37,4686.5
LN38,5458.9
LN39,3302.1
LN40,3991.5
LN41,1433.5
LN42,4966.7
LN43,4737.8
LN44,5116.2
LN45,3992.5
LR30,4524.5
LR31,5500.0
LR32,5401.7
LR33,5480.3
LR34,5447.4
LR35,5500.0
LR36,5491.8
LR37,4358.4
LR38,5400.9
LR39,5470.5
LR40,5458.6
LR41,4969.2
LR42,5197.6
LR43,4942.5
LR44,4871.7
LR45,4988.7
LR46,5394.4
LR47,5490.8
LR48,4984.9
LR49,5500.0
LS31,5500.0
LS32,5500.0
LS34,5500.0
LS36,1752.0
LS37,5500.0
LS38,5500.0
LS39,5500.0
LS40,5075.2
LS51,10229.1
LS52,11000.0
LS53,11000.0
LS54,11000.0
LS55,11000.0
LS57,11000.0
LS58,11000.0
LV31,5057.8
LV34,4068.6
LV35,0.0
LV38,5500.0
LV39,0.0
LV40,5500.0
LW30,5500.0
LW31,5267.8
LW32,5407.7
LW33,5500.0
LW34,4771.3
LW35,4738.0
LW36,5500.0
LW37,3090.9
LW38,4994.5
LW39,5500.0
LX31,0.0
LX32,5133.0
LX33,5500.0
LX34,5243.7
LX35,5500.0
LX36,5309.2
LX37,4900.5
LX38,0.0
LX39,5036.1
LX40,5489.7
LY31,5500.0
LY32,5209.3
LY33,5400.2
LY35,5337.2
LY36,4801.8
LY37,4521.8
LY38,5500.0
LY39,2520.0
LY40,3861.4
LY41,3726.3
LY43,0.0
LY44,4928.4
LY46,4661.8
LY47,5500.0
LY48,5340.1
LZ31,5500.0
LZ32,268.6
LZ33,0.0
LZ34,0.0
MA50,10948.5
MA51,10369.8
MA52,10896.7
MA53,10887.2
MA54,11000.0
MA55,11000.0
MA56,10983.4
MA57,11000.0
MA58,11000.0
MA59,10956.5
MA5A,9930.5
MA5B,11000.0
MA60,11000.0
MA61,10980.2
MA62,11000.0
MA63,10460.1
MA64,10995.2
MA65,11000.0
MA66,11000.0
MA67,10981.3
MA68,11000.0
MA69,9934.1
MA70,10850.9
MA71,0.0
MA72,9422.5
MA73,10739.7
MA74,10935.9
MA75,10961.1
MA76,10350.8
MA77,11000.0
MA78,10968.5
MA79,11000.0
MB61,10982.9
MB62,10964.0
MB63,10492.3
MB64,11000.0
MB65,10989.8
MB67,10984.4
MB68,0.0
MB69,10978.1
MB70,10911.1
MB71,10210.3
MB72,10969.4
MB73,10765.4
MB74,11000.0
MB75,11000.0
MB76,11000.0
MB77,11000.0
MB78,9517.1
MC60,11000.0
MC61,10973.4
MC62,9923.3
MC64,10447.9
MC65,10915.7
MC66,10980.4
MC67,10982.2
MC68,9816.5
MC69,10819.0
MC70,10919.4
MC71,11000.0
MC72,11000.0
MC73,10954.6
MC75,10397.8
MC76,10974.2
MC77,11000.0
MC78,8995.9
MC79,10279.0
MD50,10918.8
MD51,11000.0
MD52,11000.0
MD56,11000.0
MD57,10960.2
MD59,10717.0
MD5A,10561.6
MD60,10929.0
MD61,10970.2
MD62,10812.4
MD63,10990.7
MD64,10540.9
MD65,10968.8
MD66,10969.3
MD67,10664.6
MD68,10886.9
MD69,10965.1
MD70,10862.3
MD71,10985.4
MD72,11000.0
MD73,11000.0
MD75,11000.0
