ROWNUM, X, Y, FEEDER
1,169315.90700000001,2548413.3339999998,4A29
2,169371.50700000001,2548553.4959999998,4A29
3,169492.59899999999,2548809.4679999999,4A29
4,181328.83499999999,2508626.074,6A21
5,181241.06599999999,2508675.0899999999,6A21
6,180346.921,2508306.8700000001,6A21
7,181154.06899999999,2508480.8390000002,6A21
8,181272.57800000001,2508523.165,6A21
9,180548.57800000001,2508363.182,6A21
10,180719.27299999999,2508555.3700000001,6A21
11,181212.24900000001,2508700.0350000001,6A21
12,180369.68400000001,2507675.0150000001,6A21
13,181496.41200000001,2508491.2009999999,6A21
14,180371.84400000001,2508608.1379999998,6A21
15,181467.18799999999,2508689.8130000001,6A21
16,180851.46599999999,2508445.8530000001,6A21
17,180535.27900000001,2508537.5299999998,6A21
18,180890.54500000001,2508480.0759999999,6A21
19,180335.103,2508218.7379999999,6A21
20,180621.90299999999,2508750.2200000002,6A21
21,180510.81099999999,2508594.625,6A21
22,181344.29300000001,2508815.1379999998,6A21
23,181269.47200000001,2508473.2450000001,6A21
24,181783.29699999999,2508494.5070000002,6A21
25,181389.50099999999,2508737.8679999998,6A21
26,180592.32399999999,2508229.909,6A21
27,180495.764,2508596.4559999998,6A21
28,180428.299,2508041.9939999999,6A21
29,181465.122,2508710.3999999999,6A21
30,181548.584,2508554.818,6A21
31,180530.56200000001,2508013.8280000002,6A21
32,180380.231,2508529.4700000002,6A21
33,181085.486,2508564.551,6A21
34,180838.70600000001,2508518.423,6A21
35,180433.90100000001,2507719.4210000001,6A21
36,181576.25700000001,2508455.7940000002,6A21
37,181338.924,2508588.0449999999,6A21
38,180484.37100000001,2507812.6230000001,6A21
39,180645.77499999999,2508597.281,6A21
40,180661.68299999999,2508674.4240000001,6A21
41,181457.33600000001,2508815.2030000002,6A21
42,181364.51300000001,2508919.415,6A21
43,180701.88399999999,2507961.5950000002,6A21
44,181407.859,2508539.2170000002,6A21
45,181286.60200000001,2508896.7009999999,6A21
46,181161.11499999999,2508535.9840000002,6A21
47,180514.611,2508732.585,6A21
48,181650.73999999999,2508467.5449999999,6A21
49,180418.83300000001,2508354.318,6A21
50,180397.815,2508117.1090000002,6A21
51,181624.39300000001,2508382.8139999998,6A21
52,180594.277,2508444.003,6A21
53,180477,2508571.4440000001,6A21
54,181832.71299999999,2508590.1880000001,6A21
55,180432.842,2507440.6549999998,6A21
56,181018.65299999999,2508478.247,6A21
57,180948.47,2508550.6770000001,6A21
58,180622.27799999999,2508389.8560000001,6A21
59,180471.85500000001,2508427.469,6A21
60,180731.89300000001,2508494.3990000002,6A21
61,180689.06200000001,2508492.801,6A21
62,180550.97099999999,2507718.2749999999,6A21
63,180720.989,2508602.3399999999,6A22
64,180880.75399999999,2508543.7540000002,6A22
65,180937.32000000001,2508695.122,6A22
66,181409.40700000001,2508842.0630000001,6A22
67,180848.288,2508611.0210000002,6A22
68,181199.90400000001,2508757.9300000002,6A22
69,180982.65400000001,2508590.7620000001,6A22
70,180670.28899999999,2508700.6200000001,6A22
71,181397.677,2508836.2990000001,6A22
72,180776.83600000001,2508732.4759999998,6A22
73,180704.913,2508681.2790000001,6A22
74,180820.39999999999,2508711.3790000002,6A22
75,181233.57199999999,2508782.8339999998,6A22
76,181041.71799999999,2508756.7179999999,6A22
77,181072.93799999999,2508815.2719999999,6A22
78,181371.14000000001,2508592.1669999999,6A22
79,181114.073,2508611.898,6A22
80,181073.66099999999,2508634.3739999998,6A22
81,181292.29000000001,2508814.73,6A22
82,180326.359,2510220.0440000002,6A23
83,179971.103,2509646.3470000001,6A23
84,179526.52299999999,2510568.4019999998,6A23
85,180203.83300000001,2510317.6850000001,6A23
86,180078,2509906,6A23
87,180365.05100000001,2509563.3560000001,6A23
88,180414.25200000001,2509965.3930000002,6A23
89,180120.66200000001,2509816.111,6A23
90,180169.859,2509347.5529999998,6A23
91,180425.81599999999,2509305.1060000001,6A23
92,180335.579,2510047.4849999999,6A23
93,180448,2509171,6A23
94,180501.43700000001,2510043.449,6A23
95,180156.39000000001,2510020.9029999999,6A23
96,180329.932,2510304.469,6A23
97,180604.38099999999,2510480.2799999998,6A23
98,180417.33100000001,2510330.176,6A23
99,180770,2510290,6A23
100,180114.56,2509768.2689999999,6A23
101,180061.171,2509871.4580000001,6A23
102,179939.47500000001,2509307.5049999999,6A23
103,180583.52100000001,2510322.9199999999,6A23
104,180411.65900000001,2510864.236,6A23
105,180108.48699999999,2510940.2059999998,6A23
106,180482.685,2510715.0639999998,6A23
107,180438.63399999999,2510525.0350000001,6A23
108,180479.09099999999,2510438.6740000001,6A23
109,180172.29199999999,2508936.173,6A23
110,180580.54000000001,2510613.051,6A23
111,180370.25899999999,2510851.8859999999,6A23
112,180268.92300000001,2509573.0070000002,6A23
113,180598.94,2509985.5890000002,6A23
114,180147.25599999999,2509507.1499999999,6A23
115,179963.21100000001,2509705.8149999999,6A23
116,180240.435,2510251.6320000002,6A23
117,180808.845,2509393.4619999998,6A23
118,180369.59400000001,2509968.9559999998,6A23
119,180386.40100000001,2510735.1699999999,6A23
120,180337.739,2509439.909,6A23
121,180686.17000000001,2509339.3810000001,6A23
122,180242.785,2509619.2609999999,6A23
123,180184.00599999999,2511232.7230000002,6A23
124,180626.83199999999,2510355.7620000001,6A23
125,180352.236,2509327.9029999999,6A23
126,180124.04300000001,2510691.409,6A23
127,180658.04699999999,2510268.4029999999,6A23
128,180233.79000000001,2509886.9750000001,6A23
129,180113.15400000001,2511114.6540000001,6A23
130,180011.538,2509313.0359999998,6A23
131,180517.80900000001,2509286.4890000001,6A23
132,180840,2510290,6A23
