FEEDER,CAPACITY
CA31,5339.0
CA32,5500.0
CA33,5500.0
CA34,5095.9
CA35,4622.3
CA36,5500.0
CA37,5314.0
CA38,4744.1
CA39,5013.1
CA40,5500.0
CA41,5329.3
CA42,5175.3
CA43,5500.0
CA44,5042.5
CA45,4670.3
CB31,5500.0
CB32,5232.4
CB33,5351.0
CB34,5500.0
CB36,5215.4
CB37,4675.4
CB38,5500.0
CB39,5278.9
CB40,5500.0
CC31,5500.0
CC32,5500.0
CC33,5458.8
CC34,5500.0
CC35,5371.5
CC36,5500.0
CC37,5277.3
CC38,5001.8
CC39,5500.0
CC40,5500.0
CC42,5500.0
CC43,5500.0
CC44,5454.1
CC45,4804.1
CD31,4970.0
CD32,5005.3
CD33,4772.4
CD34,5500.0
CD35,5009.7
CE31,5470.4
CE32,5195.2
CE33,5452.9
CE34,5480.8
CE35,5500.0
CE36,5100.5
CE37,5485.6
CE38,5500.0
CE39,5480.0
CE40,5385.8
CF20,1050.0
CF21,5500.0
CF22,4713.3
CF23,5451.0
CF24,5500.0
CF25,5495.0
CF26,4877.1
CF27,5262.2
CF28,5442.4
CF29,5500.0
CF54,10989.0
CF57,11000.0
CF58,11000.0
CG32,5431.6
CG33,5500.0
CG34,5472.1
CH31,5372.2
CH32,5459.6
CH33,5500.0
CH34,5087.8
CH35,2830.0
CH36,5500.0
CH37,5500.0
CH38,4867.3
CH39,5392.2
CH40,4920.0
CI31,5278.9
CI32,5233.4
CI33,5500.0
CI34,5500.0
CI35,5480.2
CI36,5441.9
CI37,4752.3
CI38,5500.0
CI39,5500.0
CI40,5500.0
CJ31,4553.7
CJ34,5500.0
CJ35,5500.0
CJ36,5500.0
CJ37,5279.8
CJ40,5303.3
CK31,5500.0
CK32,5001.0
CK33,5500.0
CK34,5500.0
CK35,5500.0
CK36,4851.0
CK37,5500.0
CK38,4424.2
CK39,5500.0
CK40,5469.4
CL34,5041.4
CM20,5500.0
CM22,5470.0
CM23,5500.0
CM25,3502.5
CM26,5500.0
CM27,4863.7
CM28,1305.4
CM29,5500.0
CM42,5500.0
CM43,5496.7
CM44,5500.0
CM45,5160.0
CM46,5366.7
CM47,4754.2
CM48,5500.0
CM49,5500.0
CN31,4820.7
CN32,5248.4
CN33,5400.5
CN34,1587.1
CN35,5500.0
CN36,5428.6
CN37,5014.5
CN38,5500.0
CN39,5500.0
CN40,5500.0
CP31,5500.0
CP32,5500.0
CP33,5459.7
CP34,5500.0
CP35,4711.4
CP36,5500.0
CP37,5500.0
CP38,5423.8
CP39,5500.0
CP40,5483.5
CQ31,5500.0
CQ32,5027.5
CQ33,5500.0
CQ34,5500.0
CQ35,5121.1
CQ36,5500.0
CQ37,5500.0
CQ38,5500.0
CQ39,5500.0
CQ40,5468.3
CQ51,11000.0
CQ52,11000.0
CQ53,11000.0
CQ54,11000.0
CQ55,10911.2
CQ57,11000.0
CQ58,11000.0
CQ59,11000.0
CQ60,10330.2
CR31,5500.0
CR32,5500.0
CR33,2330.0
CR37,5500.0
CR38,5500.0
CR40,5500.0
CR41,4710.0
CR42,5500.0
CR46,5023.7
CR47,5500.0
CS31,5358.6
CS33,5403.0
CS40,5500.0
CS41,5500.0
CU31,5500.0
CU32,5281.7
CU33,5500.0
CU34,5500.0
CU35,5500.0
CV31,520.0
CV32,5096.1
CV33,1630.0
CV34,5402.3
CV35,5500.0
CV36,960.0
CV37,1810.0
CV38,5500.0
CV39,1630.0
CX31,4677.2
CX32,5233.0
CX33,2460.0
CX34,5325.8
CX35,5500.0
CX36,5018.9
CX37,5245.7
CX38,5300.5
CX39,5309.1
CX40,5500.0
CY31,5500.0
CY32,5080.5
CY33,5500.0
CY34,3400.0
CY35,5500.0
CY36,5500.0
CY37,5492.8
CY38,2500.0
CY39,5497.0
CY40,5500.0
CY41,5500.0
CY42,5500.0
CY43,5500.0
CY44,5075.3
CY45,5500.0
CZ21,5313.7
CZ22,5500.0
CZ23,5500.0
CZ24,5497.9
CZ25,5160.0
CZ26,5453.1
CZ27,5500.0
CZ28,5400.2
CZ29,5500.0
CZ30,5470.4
CZ54,11000.0
CZ56,11000.0
CZ57,10986.8
