ROWNUM, X, Y, FEEDER
1,324357.74400000001,2780522.5860000001,CA31
2,323797.23599999998,2780358.4780000001,CA31
3,323887.09100000001,2780321.3220000002,CA31
4,324030.43099999998,2780394.764,CA31
5,323933.55699999997,2780293.4879999999,CA31
6,324384.74200000003,2780466.5410000002,CA31
7,324275.011,2780931.5980000002,CA32
8,324693.576,2781433.3760000002,CA32
9,324434.33799999999,2781112.997,CA32
10,324387.15600000002,2781012.3999999999,CA32
11,324638.67300000001,2781415.7689999999,CA32
12,324808.97999999998,2781452.1320000002,CA32
13,324347.179,2780964.0630000001,CA32
14,324868.44699999999,2781468.6370000001,CA32
15,324600.65700000001,2781295.6260000002,CA32
16,324598.57900000003,2781305.784,CA32
17,324370.07000000001,2781183.361,CA32
18,324511.78700000001,2781113.0320000001,CA32
19,324254.07199999999,2780888.9279999998,CA32
20,324414.91700000002,2781063.2280000001,CA32
21,324888.22499999998,2781525.264,CA32
22,324973.10800000001,2781399.0070000002,CA32
23,324563.86800000002,2780504.784,CA33
24,324260.06,2780632.9440000001,CA33
25,324403.81400000001,2780853.6809999999,CA33
26,324449.84700000001,2780573.5350000001,CA33
27,324365.64600000001,2780911.7850000001,CA33
28,324320.72600000002,2780674.5079999999,CA33
29,324416.93300000002,2780994.9670000002,CA33
30,324374.61700000003,2780848.2170000002,CA33
31,324383.527,2780559.088,CA33
32,324411.44,2781034.9550000001,CA33
33,324355.56199999998,2780791.216,CA33
34,324507.429,2780976.0249999999,CA33
35,325459.71100000001,2780418.0759999999,CA34
36,325955.685,2780493.0950000002,CA34
37,324684.40899999999,2780474.0290000001,CA34
38,324608.076,2780511.9649999999,CA34
39,325872.391,2780435.8390000002,CA34
40,325870.99599999998,2780687.5320000001,CA34
41,324876.17200000002,2780461.8560000001,CA34
42,325361.19400000002,2780415.0780000002,CA34
43,324876.38299999997,2780500.8130000001,CA34
44,326018.45799999998,2780371.523,CA34
45,325944.84000000003,2780521.4610000001,CA34
46,325902.73100000003,2780727.6430000002,CA34
47,326009.799,2780431.4100000001,CA34
48,325231.951,2780404.2560000001,CA34
49,324923.71399999998,2780456.6150000002,CA34
50,324740.91999999998,2780436.213,CA34
51,325757.52600000001,2780737.236,CA34
52,326002.92300000001,2780759.5090000001,CA34
53,325677.114,2780454.7459999998,CA34
54,325546.06199999998,2780414.1830000002,CA34
55,326006.13699999999,2780669.4070000001,CA34
56,325880.75400000002,2780523.952,CA34
57,325999.88099999999,2780723.9330000002,CA34
58,325977.48800000001,2780646.7110000001,CA34
59,326044.565,2780533.0040000002,CA34
60,324307.77100000001,2780409.074,CA35
61,324272.364,2780428.0800000001,CA35
62,324531.152,2780265.4789999998,CA35
63,324428.14199999999,2780372.128,CA35
64,324175.72399999999,2780492.0970000001,CA35
65,324406.06699999998,2780370.1379999998,CA35
66,325013.49400000001,2780272.1239999998,CA36
67,324962.89500000002,2780287.5580000002,CA36
68,324659.96500000003,2780255.568,CA36
69,325576.53499999997,2780193.966,CA36
70,325584.16499999998,2780250.7680000002,CA36
71,324906.23700000002,2780352.6120000002,CA36
72,325388.64899999998,2780376.5249999999,CA36
73,324923.00799999997,2780150.0649999999,CA36
74,324773.40100000001,2780356.5959999999,CA36
75,325408.94099999999,2780361.7880000002,CA36
76,325138.46500000003,2780243.8459999999,CA36
77,324938.65299999999,2780332.5869999998,CA36
78,325260.17599999998,2780330.4810000001,CA36
79,325019.74200000003,2780322.0720000002,CA36
80,324884.97999999998,2780180.7050000001,CA36
81,324856.04200000002,2780217.5750000002,CA36
82,325176.40500000003,2780378.9580000001,CA36
83,325047.62599999999,2780155.7289999998,CA36
84,324659.83399999997,2780195.7540000002,CA36
85,325503.09000000003,2780305.8250000002,CA36
86,324586.54599999997,2780196.2680000002,CA37
87,324504.11499999999,2780327.895,CA37
88,324447.45600000001,2780516.02,CA37
89,324482.94300000003,2780424.5320000001,CA37
90,324026.09899999999,2780661.1600000001,CA37
91,324030.46899999998,2780448.014,CA37
92,324651.55300000001,2780105.4389999998,CA37
93,324633.85499999998,2780307.0660000001,CA37
94,323970.489,2780574.2349999999,CA37
95,324104.94099999999,2780526.5920000002,CA37
96,323972.63699999999,2780483.3089999999,CA37
97,324637.46000000002,2780168.3259999999,CA37
98,323918.99200000003,2780642.611,CA37
99,324698.44900000002,2780420.1770000001,CA37
100,324771.42700000003,2780297.9240000001,CA37
101,324543.99800000002,2780452.3659999999,CA37
102,324602.29599999997,2780290.9580000001,CA37
103,324076.22100000002,2780562.4720000001,CA37
104,324688.50199999998,2780194.8339999998,CA37
105,324837.62900000002,2780395.8840000001,CA37
106,323778.61200000002,2780623.1060000001,CA37
107,323888.424,2780559.966,CA37
108,324289.77100000001,2779742.3429999999,CA38
109,325785.98499999999,2779873.054,CA38
110,324532.41800000001,2780224.5929999999,CA38
111,324269.51299999998,2779814.304,CA38
112,325459.64799999999,2779684.3500000001,CA38
113,324397.81099999999,2779580.2880000002,CA38
114,325308.40100000001,2780128.318,CA38
115,324155.076,2779612.1499999999,CA38
116,326068.32699999999,2778941.3459999999,CA38
117,324782.04300000001,2780122.6919999998,CA38
118,324262.728,2779412.361,CA38
119,324383.424,2779712.7850000001,CA38
120,325048.08600000001,2780118.5389999999,CA38
121,325612.11499999999,2779979.818,CA38
122,324467.51400000002,2779744.7760000001,CA38
123,325733.57699999999,2779765.3139999998,CA38
124,326173.12900000002,2778991.6979999999,CA38
125,325129.63699999999,2780014.2689999999,CA38
126,325002.20799999998,2779787.9739999999,CA38
127,325027.18699999998,2779876.926,CA38
128,325459.53399999999,2779856.1970000002,CA38
129,324368.58899999998,2779854.4849999999,CA38
130,324734.408,2779501.9739999999,CA38
131,324248.50599999999,2779589.557,CA38
132,325030.46399999998,2779994.148,CA38
133,324205.53200000001,2779673.5040000002,CA38
134,324879.02299999999,2780122.6129999999,CA38
135,324596.53000000003,2779729.9139999999,CA38
136,324701.39399999997,2779919.4929999998,CA38
137,324601.88699999999,2779587.0920000002,CA38
138,324174.136,2779550.219,CA38
139,324424.45299999998,2779996.9440000001,CA38
140,325076.97399999999,2780042.2489999998,CA38
141,325233.51699999999,2780040.5,CA38
142,325420.49200000003,2780169.1839999999,CA38
143,324453.891,2779873.2760000001,CA38
144,324579.337,2780062.0890000002,CA38
145,325614.717,2779777.3139999998,CA38
146,324296.13099999999,2779917.9109999998,CA38
147,324898.05300000001,2779617.1349999998,CA38
148,324190.11599999998,2779474.227,CA38
149,324834.87400000001,2780062.3089999999,CA38
150,324547.67999999999,2779837.4449999998,CA38
151,324852.65500000003,2779501.1600000001,CA38
152,326034.31199999998,2779719.1120000002,CA38
153,324952.90399999998,2780044.1179999998,CA38
154,326233.95400000003,2778986.0129999998,CA38
155,324278.91499999998,2779911.2250000001,CA38
156,325528.48999999999,2779803.898,CA38
157,324855.73499999999,2779939.1439999999,CA38
158,324784.04399999999,2780041.0720000002,CA38
159,325586.21399999998,2779957.4360000002,CA38
160,325353.94400000002,2779987.3909999998,CA38
161,325452.277,2780020.2280000001,CA38
162,325579.40899999999,2780058.8119999999,CA38
163,324729.065,2779618.7459999998,CA38
164,324305.342,2779440.9350000001,CA38
165,326242.054,2779363.102,CA38
166,326291.02299999999,2779060.8500000001,CA38
167,324464.00599999999,2779573.2829999998,CA38
168,325647.92800000001,2779876.8339999998,CA38
169,326055.28899999999,2779674.8840000001,CA38
170,324928.85999999999,2780533.1159999999,CA39
171,324948.94,2780822.9610000001,CA39
172,325106.359,2780524.1940000001,CA39
173,325068.52500000002,2780959.77,CA39
174,325249.58299999998,2780736.8330000001,CA39
175,324711.81400000001,2780843.52,CA39
176,324745.74300000002,2780482.7969999998,CA39
177,324718.08899999998,2780644.9750000001,CA39
178,325050.23200000002,2780843.2689999999,CA39
179,324483.26699999999,2780723.5780000002,CA39
180,324986.72899999999,2780654.639,CA39
181,324744.16200000001,2780578.1710000001,CA39
182,324813.527,2780996.523,CA39
183,325011.929,2780738.5180000002,CA39
184,324504.63,2780723.6970000002,CA39
185,325260.09399999998,2780489.5529999998,CA39
186,324825.04599999997,2780546.9190000002,CA39
187,325177.24400000001,2780397,CA39
188,325179.80099999998,2780703.1370000001,CA39
189,324761.56699999998,2781034.3990000002,CA39
190,325096.03999999998,2780611.29,CA39
191,324698.71799999999,2780827.7519999999,CA39
192,325279.04800000001,2780639.5210000002,CA39
193,325141.82199999999,2780511.2220000001,CA39
194,324505.33600000001,2780810.2250000001,CA39
195,325024.935,2780773.3689999999,CA39
196,325211.087,2780667.727,CA39
197,324732.53600000002,2780709.0809999998,CA39
198,324855.94500000001,2780662.5460000001,CA39
199,324791.092,2780987.9240000001,CA39
200,324675.91800000001,2780760.8110000002,CA39
201,325038.44400000002,2780406.0890000002,CA39
202,324972.74599999998,2780410.4240000001,CA39
203,325257.804,2780796.2459999998,CA39
204,324690.29499999998,2780446.4279999998,CA39
205,325217.61099999998,2780582.7620000001,CA39
206,325353.56699999998,2780794.3160000001,CA39
207,324831.96399999998,2780499.943,CA39
208,324231.342,2780463.3700000001,CA40
209,323730.32299999997,2780594.6860000002,CA40
210,323815.62400000001,2780435.2439999999,CA40
211,324157.27399999998,2780410.7069999999,CA40
212,323787.05900000001,2780476.3810000001,CA40
213,324238.17300000001,2780511.625,CA40
214,323884.27100000001,2780278.9240000001,CA40
215,323917.413,2780501.6850000001,CA40
216,323868.783,2780539.4640000002,CA40
217,323870.29200000002,2780381.9010000001,CA40
218,323780.58199999999,2780577.6800000002,CA40
219,324393.41600000003,2780448.9959999998,CA40
220,324153.95500000002,2780395.9190000002,CA40
221,323918.62699999998,2780258.344,CA40
222,324142.02799999999,2780506.2779999999,CA40
223,323954.29200000002,2780373.6680000001,CA40
224,323672.86300000001,2780562.5150000001,CA40
225,326097.78700000001,2780603.8859999999,CA41
226,325994.978,2780332.3330000001,CA41
227,326390.47600000002,2780283.5410000002,CA41
228,325839.07500000001,2780366.9920000001,CA41
229,325941.95500000002,2780236.9389999998,CA41
230,326310.52000000002,2780355.284,CA41
231,326137.76500000001,2780680.6009999998,CA41
232,326350.95500000002,2780470,CA41
233,326462.21999999997,2780311.2829999998,CA41
234,326573.652,2780331.0499999998,CA41
235,326066.07699999999,2780322.7459999998,CA41
236,326083.799,2780544.0550000002,CA41
237,326445.55200000003,2780254.6779999998,CA41
238,326305,2780457.4810000001,CA41
239,325694.20000000001,2780395.611,CA41
240,326258.902,2780384.9569999999,CA41
241,326267.78200000001,2780684.9700000002,CA41
242,326283.78000000003,2780599.8029999998,CA41
243,326153.478,2780553.4169999999,CA41
244,325941.16499999998,2780121.219,CA41
245,326207.75300000003,2780488.3590000002,CA41
246,326302.24800000002,2780601.412,CA41
247,326185.18300000002,2780351.3760000002,CA41
248,326075.522,2780243.7510000002,CA41
249,326038.59600000002,2780440.5380000002,CA41
250,325771.71999999997,2780337.6970000002,CA41
251,325898.99200000003,2780270.8489999999,CA41
252,325816.17999999999,2780252.037,CA42
253,326638.223,2780492.2110000001,CA42
254,326166.63299999997,2780182.5729999999,CA42
255,324683.25,2780390.9109999998,CA42
256,326728.10100000002,2780980.9939999999,CA42
257,326511.353,2780607.767,CA42
258,326570,2780250,CA42
259,325810.52100000001,2780378.1320000002,CA42
260,326687.87,2780352.017,CA42
261,326776.57799999998,2780323.5980000002,CA42
262,326063.57400000002,2780279.534,CA42
263,324619.277,2780401.0320000001,CA42
264,326590.53700000001,2780796.0159999998,CA42
265,326359.34899999999,2780394.1669999999,CA42
266,326591.951,2780638.3840000001,CA42
267,326824.62599999999,2780496.3829999999,CA42
268,326558.408,2780588.9929999998,CA42
269,326158.75099999999,2780291.3259999999,CA42
270,326817.56,2780911.216,CA42
271,326484.43300000002,2780274.1570000001,CA42
272,326708.53700000001,2780779.0819999999,CA42
273,326640.88799999998,2780751.1749999998,CA42
274,326658.90600000002,2780267.0060000001,CA42
275,326787.26899999997,2780508.9130000002,CA42
276,326608.45699999999,2780804.1200000001,CA42
277,326511.13299999997,2780104.5320000001,CA42
278,326573.96100000001,2780407.628,CA42
279,326474.103,2780562.8560000001,CA42
280,326837.94300000003,2780823.2659999998,CA42
281,326784.31099999999,2780234.8050000002,CA42
282,326667.28600000002,2780956.034,CA42
283,326217.00699999998,2780277.6609999998,CA42
284,326076.24699999997,2780333.7949999999,CA42
285,326795.33600000001,2780687.227,CA42
286,326609.88699999999,2780352.6209999998,CA42
287,326515.23800000001,2780068.0890000002,CA42
288,326624.52899999998,2780588.3259999999,CA42
289,326692.74800000002,2780657.6899999999,CA42
290,326205.61700000003,2780246.1860000002,CA42
291,326834.315,2780385.764,CA42
292,324063.364,2780303.8089999999,CA43
293,324201.48100000003,2780386.5240000002,CA43
294,324264.12199999997,2780412.4249999998,CA43
295,324089.17099999997,2780436.7069999999,CA43
296,324016.52500000002,2780288.2880000002,CA43
297,324129.94099999999,2780410.5819999999,CA43
298,324313.76400000002,2780351.8620000002,CA43
299,324146.78000000003,2780365.8859999999,CA43
300,324675.85499999998,2781057.122,CA44
301,324482,2780929,CA44
302,325210.76199999999,2781381.2829999998,CA44
303,324720.11099999998,2781219.3879999998,CA44
304,324610.22100000002,2781274.7140000002,CA44
305,324933.53899999999,2781435.6060000001,CA44
306,324474.91200000001,2781088.0720000002,CA44
307,325028.88500000001,2781133.3679999998,CA44
308,325140.22999999998,2781409.091,CA44
309,325163.50199999998,2781389.4199999999,CA44
310,324249.98300000001,2780709.875,CA44
311,324761.913,2781350.8160000001,CA44
312,324608.65500000003,2781162.5049999999,CA44
313,324575.83100000001,2781136.3369999998,CA44
314,324945.91899999999,2781182.5260000001,CA44
315,324579.462,2780943.395,CA44
316,324851.96000000002,2781263.787,CA44
317,324665.81300000002,2781222.4739999999,CA44
318,324627.70400000003,2780926.8309999998,CA44
319,324984.61300000001,2781012.4950000001,CA44
320,324923.82699999999,2781232.3300000001,CA44
321,325039.89299999998,2781058.5860000001,CA44
322,324819.66899999999,2781318.5520000001,CA44
323,324994.40600000002,2781319.1540000001,CA44
324,325057.141,2781329.8050000002,CA44
325,324446.28200000001,2781120.523,CA44
326,324769.05599999998,2781433.4610000001,CA44
327,325257.413,2781443.5780000002,CA44
328,324729.30900000001,2781046.8790000002,CA44
329,324527.52000000002,2781033.4470000002,CA44
330,324899.06,2781406.5839999998,CA44
331,324361.49400000001,2780646.909,CA45
332,325758.76199999999,2780862.9339999999,CA45
333,325679.80699999997,2780752.165,CA45
334,325305.10700000002,2780842.7609999999,CA45
335,325483.478,2780859.8339999998,CA45
336,324605.60100000002,2780620.5329999998,CA45
337,325702.94900000002,2780652.861,CA45
338,325871.15399999998,2780823.9100000001,CA45
339,325405.64199999999,2780663.5299999998,CA45
340,325407.52899999998,2781018.3119999999,CA45
341,325021.076,2781014.173,CA45
342,324570.15000000002,2780636.9980000001,CA45
343,324472.29999999999,2780684.7239999999,CA45
344,325335.929,2781015.9219999998,CA45
345,325324.90100000001,2780963.5529999998,CA45
346,324669.20799999998,2780572.213,CA45
347,325174.35399999999,2780997.8339999998,CA45
348,325571.90399999998,2780734.9870000002,CA45
349,325531.549,2780893.3829999999,CA45
350,325631.27000000002,2780894.0010000002,CA45
351,325410.18900000001,2780618.6009999998,CA45
352,325613.06599999999,2780647.4330000002,CA45
353,325409.47600000002,2780572.6170000001,CA45
354,325706.59899999999,2780837.5499999998,CA45
355,325497.00799999997,2780701.747,CA45
356,325586.17300000001,2780618.5699999998,CA45
357,324442.69199999998,2780707.673,CA45
358,327017.22399999999,2782958.8730000001,CB31
359,327216.09600000002,2781945.02,CB32
360,325868.57500000001,2781242.4870000002,CB32
361,327076.33799999999,2782008.5759999999,CB32
362,325654.74300000002,2780518.3990000002,CB32
363,325695.44,2780451.7170000002,CB32
364,326293.87699999998,2781404.4270000001,CB32
365,326202.533,2781933.5780000002,CB32
366,326327.95199999999,2781642.0079999999,CB32
367,325063.636,2780463.1000000001,CB32
368,326331.03000000003,2781535.2540000002,CB32
369,328233.21100000001,2781964.429,CB32
370,325968.783,2781924.2080000001,CB32
371,326301.75699999998,2781801.909,CB32
372,326225.31400000001,2781910.0240000002,CB32
373,326092.33299999998,2782507.9780000001,CB32
374,326273.391,2782073.068,CB32
375,326664.59100000001,2782206.591,CB32
376,325355.68599999999,2780493.9739999999,CB32
377,326377.36099999998,2781739.1830000002,CB32
378,327023.51699999999,2781795.7719999999,CB32
379,327068.53700000001,2782195.5249999999,CB32
380,326774.45799999998,2782128.446,CB32
381,326132.77799999999,2782165.3530000001,CB32
382,327644.56599999999,2781926.6869999999,CB32
383,326058.81699999998,2782396.1860000002,CB32
384,325905.989,2781562.8539999998,CB32
385,326192.29700000002,2782505.1680000001,CB32
386,326132.66600000003,2782006.378,CB32
387,325993.08100000001,2782220.6179999998,CB32
388,327025.66800000001,2781982.7719999999,CB32
389,327797.30900000001,2782168.6889999998,CB32
390,327622.68400000001,2782129.4470000002,CB32
391,325308.22700000001,2780500.7579999999,CB32
392,326863.47899999999,2782140.0150000001,CB32
393,326949.10399999999,2782069.1680000001,CB32
394,325503.37199999997,2780501.037,CB32
395,325936.15600000002,2782111.378,CB32
396,325743.99400000001,2781164.736,CB32
397,326297.84499999997,2782225.8930000002,CB32
398,326190.68900000001,2782407.767,CB32
399,325991.45799999998,2782441.5109999999,CB32
400,326010.55900000001,2782246.48,CB32
401,325287.11700000003,2780525.5929999999,CB32
402,326006.40000000002,2782094.1660000002,CB32
403,326688.75400000002,2782144.3280000002,CB32
404,326070.00199999998,2782184.3139999998,CB32
405,325536.43900000001,2780563.5630000001,CB32
406,327413.35200000001,2782073.2390000001,CB32
407,326905.28700000001,2782620.8100000001,CB32
408,325612.80099999998,2781459.48,CB32
