FEEDER,CAPACITY
U651,10997.0
U652,10901.2
U653,9525.4
U654,11000.0
U656,11000.0
U657,10971.0
U658,11000.0
U661,10842.4
U662,11000.0
U663,11000.0
U664,10560.1
U665,11000.0
U666,11000.0
U667,10349.9
U668,11000.0
UA22,1144.4
UA24,5500.0
UA26,5500.0
UA27,5500.0
UA28,5500.0
UB21,4947.8
UB22,0.0
UB23,0.0
UB24,1356.4
UB25,5427.4
UB26,3701.6
UB27,2549.8
UB28,0.0
UB29,2120.0
UB30,0.0
UB31,0.0
UB32,0.0
UB33,0.0
UB34,5376.1
UB35,0.0
UC01,0.0
UC02,0.0
UC03,4783.8
UD21,0.0
UD22,0.0
UD23,644.7
UD24,0.0
UD25,0.0
UD26,0.0
UD27,4556.9
UD28,0.0
UD29,2591.1
UD30,0.0
UD51,1199.6
UD52,10928.0
UE21,2490.3
UE22,4245.8
UE23,1726.1
UE24,4390.0
UE25,5500.0
UE26,1560.0
UE27,4315.5
UE28,5425.9
UE29,4640.0
UE30,4645.4
UE31,0.0
UE32,5247.7
UE33,0.0
UE34,0.0
UE35,0.0
UF21,0.0
UF22,4435.6
UF23,4409.0
UF24,0.0
UF25,0.0
UF26,4498.5
UF27,0.0
UF28,4879.8
UF29,0.0
UF30,0.0
UF31,2925.8
UF32,0.0
UF33,5189.4
UF34,4319.1
UF35,5500.0
UH21,4922.3
UH22,4669.1
UH23,4776.5
UH24,4226.3
UH25,0.0
UH26,628.7
UH27,1168.4
UH28,0.0
UH29,4542.1
UH30,3896.6
UH51,0.0
UH52,9034.4
UH53,0.0
UI01,5086.3
UI02,5500.0
UI04,0.0
UI05,4980.1
UI06,0.0
UI11,5128.1
UI12,3963.5
UI13,5434.9
UI14,3763.9
UI58,11000.0
UI59,3651.3
UI60,11000.0
UI66,10307.0
UI67,10592.6
UI68,9343.8
UI69,10795.8
UI70,10965.5
UJ21,0.0
UJ22,0.0
UJ23,0.0
UJ24,3394.0
UJ25,0.0
UJ26,3240.0
UJ27,1798.0
UJ28,0.0
UJ29,1450.0
UJ30,4510.0
UK21,4645.6
UK22,5400.2
UK23,2650.6
UK24,3599.3
UK25,0.0
UK31,0.0
UK32,1414.9
UK33,0.0
UK34,496.4
UK51,9857.1
UK52,10825.6
UK53,1000.3
UK54,1000.3
UL01,5472.5
UL02,5500.0
UL03,3225.5
UL04,5440.3
UL05,5244.1
UL11,5438.0
UL12,5377.8
UL13,3294.1
UL14,5313.5
UL15,5464.2
UL56,11000.0
UL57,10614.0
UL58,9939.7
UL59,10895.0
UL60,8963.4
UL66,10577.4
UL67,10853.5
UL68,10811.2
UL69,717.6
UL70,10800.9
UM51,10639.3
UM52,10046.8
UM53,10813.2
UM54,11000.0
UM61,10411.8
UM62,11000.0
UM63,10988.8
UN01,4120.1
UN02,0.0
UN03,0.0
UN04,4394.1
UN05,0.0
UN11,0.0
UN12,4933.0
UN13,4861.3
UN14,3874.0
UN15,2170.0
UN56,10481.4
UN58,9659.3
UN59,10324.9
UN60,11000.0
UN66,11000.0
UN67,10672.9
UN68,9957.5
UN69,9848.3
UN70,8954.6
UO21,0.0
UO22,3107.7
UO23,0.0
UO24,5246.6
UO25,5295.9
UO26,5461.0
UO27,0.0
UO28,1080.0
UO29,3310.0
UO30,1820.0
UO31,5346.4
UO32,4618.5
UO33,1730.0
UO34,5407.0
UO35,2956.7
UO51,10905.7
UO52,10721.5
UO53,10818.6
UO54,6000.0
UP21,0.0
UP22,2780.4
UP23,0.0
UP24,4153.8
UP25,0.0
UP26,4300.1
UP27,3100.0
UP28,0.0
UP29,1382.5
UP30,2394.2
UQ21,5305.4
UQ22,3800.0
UQ23,4892.0
UQ24,3897.2
UQ25,5452.6
UQ26,4935.8
UQ27,5500.0
UQ28,1237.8
UQ29,5188.7
UQ30,2158.5
UQ31,3821.5
UQ32,5132.7
UQ33,0.0
UQ34,5500.0
UR21,4755.1
UR22,4420.3
