ROWNUM, X, Y, FEEDER
﻿1,246333.94200000001,2732878.7149999999,F301
﻿2,246431.70800000001,2733522.6529999999,F301
﻿3,246593.41099999999,2733540.1260000002,F301
﻿4,246466.65299999999,2733009.2220000001,F301
﻿5,250028.72399999999,2726920.7919999999,F305
﻿6,251125.609,2726143.5929999999,F305
﻿7,250072.79199999999,2726870.3330000001,F305
﻿8,249939.894,2726982.6910000001,F305
﻿9,240929.18299999999,2731378.051,F306
﻿10,241579.636,2731115.8760000002,F306
﻿11,241523.514,2731435.1439999999,F306
﻿12,241232.788,2731506.0329999998,F306
﻿13,240846.47399999999,2731422.7420000001,F306
﻿14,241620.64300000001,2731197.108,F306
﻿15,241057,2731554,F306
﻿16,240978.796,2731453.182,F306
﻿17,241405.52499999999,2731363.5699999998,F306
﻿18,241253.296,2731495.8859999999,F306
﻿19,241348.45499999999,2731473.7910000002,F306
﻿20,241378.37899999999,2731606.8569999998,F306
﻿21,240744.10399999999,2731422.878,F306
﻿22,241023.02900000001,2731360.7930000001,F306
﻿23,241292.98000000001,2731349.2960000001,F306
﻿24,241606.50899999999,2731271.1660000002,F306
﻿25,241087.084,2731412.5800000001,F306
﻿26,241127.78099999999,2731448.1009999998,F306
﻿27,241344.16500000001,2731386.8960000002,F306
﻿28,242296.16500000001,2730420.503,F309
﻿29,242637.23999999999,2730297.3309999998,F309
﻿30,242932.00599999999,2731073.6060000001,F309
﻿31,242227.603,2730899.8059999999,F309
﻿32,242020.95300000001,2730902.7779999999,F309
﻿33,241875.82000000001,2731104.7779999999,F309
﻿34,244304.23000000001,2731535.5970000001,F309
﻿35,242937.342,2730521.8909999998,F309
﻿36,242222.30900000001,2731009.5460000001,F309
﻿37,244539.58199999999,2730988.8760000002,F309
﻿38,242713.71299999999,2730813.8569999998,F309
﻿39,244603.527,2730714.6469999999,F309
﻿40,242922.26699999999,2730988.1800000002,F309
﻿41,242968.06,2730295.5060000001,F309
﻿42,242540.16099999999,2730686.8360000001,F309
﻿43,244758.17499999999,2730684.8629999999,F309
﻿44,244139.87400000001,2731926.0010000002,F309
﻿45,241703.60500000001,2730846.2829999998,F309
﻿46,244827.33600000001,2731117.415,F309
﻿47,244710.033,2730589.8629999999,F309
﻿48,245753.01699999999,2730857.872,F309
﻿49,243863.12700000001,2731776.423,F309
﻿50,244848.679,2730510.3229999999,F309
﻿51,242798.5,2730321.7059999998,F309
﻿52,244380.71100000001,2730938.361,F309
﻿53,242714.34,2730676.6090000002,F309
﻿54,242039.614,2730581.6860000002,F309
﻿55,242467.704,2730612.3319999999,F309
﻿56,242101.71100000001,2730684.6269999999,F309
﻿57,243822.704,2731944.0970000001,F309
﻿58,241483.42600000001,2730931.7510000002,F309
﻿59,245889.11499999999,2730904.5460000001,F309
﻿60,243579.05300000001,2731984.5860000001,F309
﻿61,242630.75899999999,2730925.398,F309
﻿62,242613.73300000001,2731214.0600000001,F309
﻿63,242141.60999999999,2730951.969,F309
﻿64,242797.08300000001,2730211.1129999999,F309
﻿65,244881.56599999999,2730667.7039999999,F309
﻿66,244459.38699999999,2730724.7059999998,F309
﻿67,244877.497,2731232.1290000002,F309
﻿68,243895.492,2731497.892,F309
﻿69,243061.95800000001,2730660.6540000001,F309
﻿70,244754.927,2731055.4780000001,F309
﻿71,242011.217,2730704.4219999998,F309
﻿72,244707.90599999999,2730788.9730000002,F309
﻿73,244513.73999999999,2731300.6179999998,F309
﻿74,244098.91699999999,2731899.2560000001,F309
﻿75,241898.302,2731032.3760000002,F309
﻿76,242298.54000000001,2730835.051,F309
﻿77,244591.59,2731212.156,F309
﻿78,242206.17300000001,2730377.1400000001,F309
﻿79,242740.609,2731109.2889999999,F309
﻿80,244755.242,2731175.196,F309
﻿81,244641.06099999999,2730656.966,F309
﻿82,244161.53700000001,2731625.747,F309
﻿83,241008.31400000001,2731035.8089999999,F309
﻿84,242704.84400000001,2731161.2390000001,F309
﻿85,244290.21100000001,2730926.9470000002,F309
﻿86,244690.231,2731064.8849999998,F309
﻿87,243063.367,2730447.7140000002,F309
﻿88,244674.69,2731135.6740000001,F309
﻿89,245966.54999999999,2730975.514,F309
﻿90,242375.17300000001,2730472.798,F309
﻿91,244562.38,2731434.094,F309
﻿92,244923.42300000001,2731203.8999999999,F309
﻿93,244880.83199999999,2731004.7680000002,F309
﻿94,242261.70199999999,2730347.8560000001,F309
﻿95,241356.603,2730974.8059999999,F309
﻿96,241968.91399999999,2730785.2149999999,F309
﻿97,244913.372,2730809.9300000002,F309
﻿98,243639.128,2731898.7629999998,F309
﻿99,244586.90299999999,2731092.4130000002,F309
﻿100,244368.42499999999,2730691.1000000001,F309
﻿101,242317.685,2730548.5529999998,F309
﻿102,243125.15599999999,2730620.6320000002,F309
﻿103,243048.36300000001,2730557.6340000001,F309
﻿104,242192.367,2730412.8859999999,F309
﻿105,244908.17199999999,2731155.889,F309
﻿106,244437.00599999999,2730633.3169999998,F309
﻿107,243195.53,2730491.1430000002,F309
﻿108,244515.66099999999,2730726.6609999998,F309
﻿109,241578.693,2730904.966,F309
﻿110,243135.049,2730511.3399999999,F309
﻿111,242030.22399999999,2730820.7969999998,F309
﻿112,245737.348,2730995.6809999999,F309
﻿113,243155.193,2730729.6809999999,F309
﻿114,242041.29399999999,2731088.8190000001,F309
﻿115,241949.63200000001,2731108.4309999999,F309
﻿116,242792.003,2731075.9909999999,F309
﻿117,244343.571,2731003.9739999999,F309
﻿118,242512.04000000001,2730280.5180000002,F309
﻿119,242552.21299999999,2730174.2570000002,F309
﻿120,244377.41800000001,2731328.5959999999,F309
﻿121,242352.66,2731080.7370000002,F309
﻿122,242824.26999999999,2730877.1379999998,F309
﻿123,242312.96299999999,2730686.7450000001,F309
﻿124,244448.44,2731105.5019999999,F309
﻿125,242970.56400000001,2730898.3530000001,F309
﻿126,242602.21799999999,2731078.8829999999,F309
﻿127,245731.99799999999,2731220.6719999998,F310
﻿128,245355.83799999999,2731073.105,F310
﻿129,245594.41,2731095.1880000001,F310
﻿130,245472.09700000001,2731083.5920000002,F310
﻿131,245623.40700000001,2731193.7200000002,F310
﻿132,245414.74900000001,2731091.1499999999,F310
﻿133,245660.201,2731135.551,F310
﻿134,245299.38800000001,2730981.2599999998,F310
﻿135,245171.886,2731015.8089999999,F310
﻿136,245351.64000000001,2731107.6150000002,F310
﻿137,245721.10200000001,2731199.0040000002,F310
﻿138,245080.89499999999,2731007.7749999999,F310
﻿139,246548.64999999999,2731077.79,F315
﻿140,246582.557,2731066.7390000001,F315
﻿141,246759.44099999999,2730812.5260000001,F315
﻿142,246316.40599999999,2731114.4300000002,F315
﻿143,246736.50099999999,2730373.676,F315
﻿144,246671.04000000001,2730881.5090000001,F315
﻿145,246588.10699999999,2730107.6189999999,F316
﻿146,245681.283,2730957.0019999999,F316
﻿147,245837.842,2730623.2960000001,F316
﻿148,246220.283,2730639.6060000001,F316
﻿149,245591.171,2729436.193,F316
﻿150,246435.86600000001,2730335.0010000002,F316
﻿151,245317.90299999999,2730891.0419999999,F316
﻿152,245456.54199999999,2730881.5460000001,F316
﻿153,245949.84299999999,2730892.5189999999,F316
﻿154,245887.15599999999,2730831.5980000002,F316
﻿155,245958.19500000001,2730527.412,F316
﻿156,245550.35999999999,2728717.693,F319
﻿157,245839.908,2728680.7940000002,F319
﻿158,245541.69099999999,2730684.9040000001,F319
﻿159,247546.38500000001,2728965.9879999999,F319
﻿160,247699.288,2728835.7250000001,F319
﻿161,246065.11300000001,2729557.8879999998,F319
﻿162,245918.85399999999,2728669.5359999998,F319
﻿163,245375.891,2728352.4559999998,F319
﻿164,245860.41899999999,2729074.602,F319
﻿165,247098.80300000001,2729507.253,F319
﻿166,246479.304,2729374.466,F319
﻿167,245180.258,2728416.554,F319
﻿168,245711.59899999999,2730364.719,F319
﻿169,245831.18100000001,2730134.6009999998,F319
﻿170,246958.94200000001,2729163.1460000002,F319
﻿171,245630.451,2730558.8059999999,F319
﻿172,246080.15599999999,2729279.7519999999,F319
﻿173,245321.52100000001,2728169.2039999999,F319
﻿174,247127.685,2728899.7310000001,F319
﻿175,247434.74400000001,2728977.4879999999,F319
﻿176,245605.50700000001,2728909.4569999999,F319
﻿177,246040.26500000001,2729416.7110000001,F319
﻿178,245918.28700000001,2729488.8599999999,F319
﻿179,245284.90400000001,2728478.3790000002,F319
﻿180,245985.78899999999,2729170.4709999999,F319
﻿181,245563.86600000001,2728153.0449999999,F319
﻿182,245670.32000000001,2729275.1099999999,F319
﻿183,246146.06200000001,2729236.827,F319
﻿184,246971.739,2729300.6880000001,F319
﻿185,245088.552,2731050.1690000002,F319
﻿186,245460.82399999999,2728466.8900000001,F319
﻿187,246573.644,2729185.6579999998,F319
﻿188,245820.97,2729330.7510000002,F319
﻿189,247362.5,2728853.4210000001,F319
﻿190,245382.908,2728258.713,F319
﻿191,245841.90700000001,2729771.8670000001,F319
﻿192,246486.38800000001,2729595.9240000001,F319
﻿193,245539.804,2728671.4709999999,F319
﻿194,245919.58300000001,2728551.3360000001,F319
﻿195,245527.37,2728041.165,F319
﻿196,246126.14799999999,2729478.6060000001,F319
﻿197,245688.11799999999,2729398.6940000001,F319
﻿198,246984.39000000001,2728949.301,F319
﻿199,245963.46100000001,2729687.8939999999,F319
﻿200,245751.03,2729969.3100000001,F319
﻿201,245693.52299999999,2730465.3859999999,F319
﻿202,245523.546,2728284.0559999999,F319
﻿203,246292.76999999999,2729561.6400000001,F319
﻿204,245558.85200000001,2730766.091,F319
﻿205,245686.36900000001,2728563.5460000001,F319
﻿206,245198.408,2728370.3420000002,F319
﻿207,245739.255,2729893.2740000002,F319
﻿208,245704.10000000001,2729638.9410000001,F319
﻿209,246736.13,2729186.1439999999,F319
﻿210,245734.12400000001,2729039.6239999998,F319
﻿211,247125.10800000001,2729279.9419999998,F319
﻿212,247345.69699999999,2728982.3390000002,F319
﻿213,246666.45499999999,2729457.798,F319
﻿214,245495.58300000001,2731104.5120000001,F319
﻿215,245827.40400000001,2729512.5830000001,F319
﻿216,246718.51000000001,2729636.9180000001,F319
﻿217,245429.22500000001,2728249.9500000002,F319
﻿218,245247.03,2731051.2409999999,F319
﻿219,245604.80100000001,2731069.1230000001,F319
﻿220,247323.01699999999,2728762.1499999999,F319
﻿221,245709.32199999999,2729476.9369999999,F319
﻿222,245959.685,2729564.6499999999,F319
﻿223,245519.02299999999,2729048.8360000001,F319
﻿224,247011.00899999999,2729455.2289999998,F319
﻿225,245765.40700000001,2728763.2050000001,F319
﻿226,246614.70699999999,2729606.2179999999,F319
﻿227,246169.87100000001,2729504.6570000001,F319
﻿228,245646.601,2730639.5389999999,F319
﻿229,247030.39600000001,2729270.9100000001,F319
﻿230,247080.924,2729039.6150000002,F319
﻿231,245510.40400000001,2728557.9139999999,F319
﻿232,245433.72200000001,2728375.1069999998,F319
﻿233,245400.19099999999,2728094.122,F319
﻿234,246292.24900000001,2729437.423,F319
﻿235,246082.21100000001,2728735.7429999998,F319
﻿236,245646.36499999999,2729037.0580000002,F319
﻿237,245408.95800000001,2728041.4569999999,F319
﻿238,247159.245,2729150.4139999999,F319
﻿239,243019.46599999999,2733594.7340000002,F320
﻿240,245584.76999999999,2733399.1129999999,F320
﻿241,245984.19399999999,2732537.5,F320
﻿242,246169.927,2732541.1329999999,F320
﻿243,243533.42600000001,2733121.9190000002,F320
﻿244,245143.52600000001,2731650.156,F320
﻿245,244841.24299999999,2732466.6869999999,F320
﻿246,243368.603,2733441.977,F320
﻿247,245282.24100000001,2731554.4920000001,F320
﻿248,245702.88800000001,2733553.2039999999,F320
﻿249,245119.92499999999,2731407.6299999999,F320
﻿250,245205.02100000001,2731663.1290000002,F320
﻿251,245326.16200000001,2732650.6880000001,F320
﻿252,245626.546,2733502.5959999999,F320
﻿253,243574.93299999999,2733435.4040000001,F320
﻿254,243805.76500000001,2733857.8459999999,F320
﻿255,246259.49900000001,2733892.557,F320
﻿256,246044.90299999999,2733138.5490000001,F320
﻿257,245778.72399999999,2732233.1269999999,F320
﻿258,244177.155,2733077.71,F320
﻿259,245073.54199999999,2732845.7519999999,F320
﻿260,244074.92300000001,2733060.057,F320
﻿261,245522.285,2732150.0520000001,F320
﻿262,245277.34700000001,2732591.4909999999,F320
﻿263,245211.739,2732758.4780000001,F320
﻿264,243864.64999999999,2733757.2949999999,F320
﻿265,244437.80799999999,2732786.0720000002,F320
﻿266,245085.96299999999,2733496.27,F320
﻿267,244928.636,2732136.716,F320
﻿268,244881.226,2732954.8999999999,F320
﻿269,244637.47700000001,2732949.1869999999,F320
﻿270,243369.38399999999,2733008.1170000001,F320
﻿271,245707.50700000001,2732608.6910000001,F320
﻿272,243965.30100000001,2733179.3050000002,F320
﻿273,244867.288,2732575.7239999999,F320
﻿274,245229.98199999999,2731989.608,F320
﻿275,245771.239,2732557.2760000001,F320
﻿276,244954.663,2732909.3139999998,F320
﻿277,245468.402,2732965.3810000001,F320
﻿278,243229.791,2732981.2620000001,F320
﻿279,244652.576,2733200.9900000002,F320
﻿280,244669.62700000001,2733283.699,F320
﻿281,243461.68700000001,2733105.051,F320
﻿282,245885.527,2733552.102,F320
﻿283,245065.867,2732126.8909999998,F320
﻿284,245957.723,2733482.162,F320
﻿285,245608.82500000001,2732939.4270000001,F320
﻿286,246222.37599999999,2733931.2170000002,F320
﻿287,245519.01999999999,2732291.0780000002,F320
﻿288,245340.32199999999,2732272.4130000002,F320
﻿289,243834.71299999999,2733177.0010000002,F320
﻿290,246275.867,2732794.699,F320
﻿291,245894.288,2733741.6630000002,F320
﻿292,246510.087,2734044.0690000001,F320
﻿293,245897.70600000001,2732586.7940000002,F320
﻿294,245601.78,2733198.906,F320
﻿295,245378.587,2733554.264,F320
﻿296,244898.12299999999,2732681.622,F320
﻿297,246713.03899999999,2733810.327,F320
