FEEDER,CAPACITY
AA22,4083.3
AA23,4796.8
AA24,656.6
AA25,4639.2
AA26,4985.8
AA28,5304.2
AA29,4762.7
AA30,5401.0
AA31,4620.0
AA32,3720.0
AB24,5000.1
AB26,5416.0
AB29,0.0
AB30,5406.4
AB35,4746.1
AB36,5500.0
AB37,5500.0
AB38,4428.0
AB39,4695.0
AB40,5233.9
AB52,10506.3
AB53,11000.0
AB54,10819.4
AB56,10993.0
AB57,9260.9
AC22,5470.1
AC23,5392.9
AC24,5321.4
AC31,5500.0
AC32,5459.6
AC52,9464.7
AC53,9776.1
AC54,10062.8
AD32,2775.9
AD33,5008.7
AD34,4769.6
AD35,5500.0
AD36,5500.0
AD37,5194.4
AD38,5500.0
AD39,5500.0
AD51,10153.2
AD52,10746.4
AD53,9982.0
AD54,8759.2
AE21,1140.0
AE22,5483.8
AE23,5417.5
AE24,4480.0
AE25,5396.6
AE26,2325.6
AE27,3110.0
AE28,3651.9
AE29,4985.7
AE30,4988.8
AE31,4505.0
AE32,5480.5
AE34,5170.2
AE35,4459.1
AE36,5486.2
AE38,5500.0
AE39,5500.0
AE40,5500.0
AF21,0.0
AF22,4440.1
AF23,4979.3
AF24,4295.1
AF25,5073.6
AF26,5319.4
AF27,5207.0
AF28,4867.3
AF29,5269.2
AF30,5000.1
AF31,3405.8
AF32,5455.3
AF33,4578.4
AF34,4312.2
AF35,2250.0
AG21,5461.2
AG22,4933.1
AG23,5419.2
AG24,5427.7
AG25,5177.0
AG26,5065.3
AG27,5471.0
AG28,5338.8
AG29,4595.0
AG30,4679.2
AG31,5466.1
AG32,4459.0
AG33,5500.0
AG34,0.0
AG35,5358.2
AG36,5124.0
AG37,4985.2
AG38,5011.8
AG39,5347.7
AG40,5346.4
AH21,5300.4
AH22,5265.5
AH23,0.0
AH24,4036.5
AH25,5369.2
AH26,4928.0
AH27,4904.8
AH28,0.0
AH29,4231.1
AH30,0.0
AH31,5429.6
AH32,4990.9
AH33,4818.9
AH34,5247.7
AH35,3163.7
AI21,4989.6
AI22,1420.0
AI23,5000.0
AI24,990.0
AI26,4681.5
AI27,3150.0
AI28,5344.8
AI29,2010.0
AJ21,2710.0
AJ22,5500.0
AJ23,5408.0
AJ24,5337.5
AJ25,5500.0
AJ28,0.0
AJ29,0.0
AJ30,1430.0
AK21,2260.0
AK22,0.0
AK23,0.0
AK24,5361.1
AK25,1940.2
AK26,1090.0
AM21,0.0
AM22,5321.5
AM23,2490.0
AM24,4026.1
AM25,2160.0
AM26,5108.4
AM27,480.0
AM28,2700.0
AM29,3838.1
AM30,4680.0
AM31,5269.0
AM32,5200.4
AM33,5113.5
AM34,4885.3
AM35,2700.0
AM36,2240.0
AM37,1000.0
AM38,3220.0
AM39,5077.7
AM40,5248.4
AN21,5361.0
AN22,5380.1
AN23,5341.5
AN24,5484.4
AN25,5314.1
AP21,5384.7
AP22,5400.1
AP23,5228.6
AP24,3698.2
AP25,5158.3
AP27,5406.9
AP28,5391.9
AP29,5287.9
AP30,2880.0
AP31,5431.8
AP32,4929.8
AP33,5500.0
AP34,5227.2
AP35,5428.2
AQ21,5155.0
AQ22,4911.9
AQ23,4849.5
AQ24,0.0
AQ25,5500.0
AQ26,4941.7
AQ27,5070.0
AQ28,330.0
AQ29,5065.3
AQ30,5463.4
AQ31,2580.0
AQ32,5491.7
AQ33,4672.4
AQ34,5479.2
AQ35,0.0
AR21,5304.2
AR22,3812.2
AR23,2230.0
AR24,541.7
AR25,5400.2
AR26,0.0
AR27,5372.7
AR28,5156.6
AR29,5500.0
AR30,5500.0
AR31,2813.9
AR32,4891.6
AR33,4606.6
AR34,5488.0
AR35,5500.0
AR36,2827.9
AR37,4874.8
AR38,5485.3
AR39,5400.8
AR40,4509.8
AR51,11000.0
AR56,11000.0
AS21,0.0
AS22,0.0
AS23,5417.5
AS24,1190.0
AS25,0.0
AS26,0.0
AS27,170.0
AS28,5400.2
AS29,5481.9
AS30,5365.9
AT21,5376.9
AT22,5500.0
AT23,5414.3
AT24,0.0
AT25,5500.0
AT26,5400.0
AU21,291.7
AU22,5492.3
AU23,0.0
AU24,4639.1
AU25,2783.6
AU26,4980.5
AU27,5164.7
AU28,5500.0
AU29,0.0
AU30,0.0
AV35,5358.5
AV36,4846.9
AV37,0.0
AV38,5500.0
AV39,5489.2
AV40,4737.4
AV41,5073.9
AV42,2410.0
AV43,5349.3
AV45,5250.3
AV46,0.0
AV47,5451.5
AV48,0.0
AV49,0.0
AV51,10986.5
AV52,11000.0
AW21,0.0
AW22,0.0
AW23,2830.5
AW24,3780.0
AW25,3608.5
AW26,5336.9
AW27,0.0
AW28,4755.9
AW29,5348.2
AW30,4397.5
AW31,460.0
AW32,1899.9
AW33,1990.0
AW34,3660.0
AW35,580.0
AX31,5500.0
AX33,4757.0
AX34,5343.7
AX36,5109.5
AX39,2672.1
AX40,3517.0
AY25,1730.0
AY26,0.0
AY28,550.0
AY29,440.0
AY30,3179.1
AY31,3606.6
AY32,4961.8
AY33,230.0
AY34,4594.2
AY35,4730.0
AY38,2250.0
AY39,4902.1
AY40,0.0
AY51,10555.8
AY52,10986.1
