FEEDER,CAPACITY
﻿5A21,4978.3
﻿5A22,4846.2
﻿5A23,5000.0
﻿5A24,4912.6
﻿5A25,5000.0
﻿5A26,4628.2
﻿5A27,4962.8
﻿5A28,5000.0
﻿5A29,4900.8
﻿5A30,4692.5
﻿5A31,5000.0
﻿5A32,5000.0
﻿5A33,5000.0
﻿5A34,5000.0
﻿5A36,5000.0
﻿5A38,4982.3
﻿5A39,5000.0
﻿5A40,5000.0
﻿5A73,10000.0
﻿5A76,9980.8
﻿5A77,10000.0
﻿5A78,9972.4
﻿5B21,5000.0
﻿5B22,4936.0
﻿5B23,4855.5
﻿5B24,3790.0
﻿5B25,5000.0
﻿5B26,4992.8
﻿5C21,5000.0
﻿5C22,5000.0
﻿5C23,5000.0
﻿5C24,5000.0
﻿5C25,5000.0
﻿5C26,5000.0
﻿5C27,4910.9
﻿5C28,5000.0
﻿5C29,5000.0
﻿5C30,5000.0
﻿5C31,5000.0
﻿5C32,5000.0
﻿5C33,5000.0
﻿5C34,5000.0
﻿5C35,4982.4
﻿5C36,5000.0
﻿5C37,5000.0
﻿5C38,5000.0
﻿5C39,4787.8
﻿5C40,4349.2
﻿5C71,10000.0
﻿5C74,10000.0
﻿5C76,10000.0
﻿5C78,9500.8
﻿5D21,4958.2
﻿5D22,5000.0
﻿5D23,4900.2
﻿5D24,4605.0
﻿5D25,4944.9
﻿5D27,5000.0
﻿5D28,4961.9
﻿5D29,4984.8
﻿5D30,5000.0
﻿5D31,5000.0
﻿5D32,5000.0
﻿5D33,4979.1
﻿5D34,4783.6
﻿5D36,5000.0
﻿5D37,5000.0
﻿5D38,4929.0
﻿5D39,4888.4
﻿5D40,5000.0
﻿5D71,10000.0
﻿5D77,9581.9
﻿5D78,9879.1
﻿5E22,5000.0
﻿5E23,0.0
﻿5E26,5000.0
﻿5E27,5000.0
﻿5E31,5000.0
﻿5E33,4944.5
﻿5E37,5000.0
﻿5E38,5000.0
﻿5E71,9975.5
﻿5E72,10000.0
﻿5E76,8846.7
﻿5E77,9898.0
﻿5F51,9996.3
﻿5F52,10000.0
﻿5F53,10000.0
﻿5F54,10000.0
﻿5F56,9743.6
﻿5F57,9964.3
﻿5F58,9540.6
﻿5F61,9994.0
﻿5F62,8950.4
﻿5F63,9861.8
﻿5F64,9837.2
﻿5F66,10000.0
﻿5F67,10000.0
﻿5F68,9108.9
﻿5F71,10000.0
﻿5F72,9692.8
﻿5F73,10000.0
﻿5F74,9658.8
﻿5F75,10000.0
﻿5F76,9858.6
﻿5F77,9495.2
﻿5F78,9852.4
﻿5G21,3540.0
﻿5G22,3000.2
﻿5G23,4650.3
﻿5G24,3440.0
﻿5G31,3365.6
﻿5G32,5000.0
﻿5I41,4990.8
﻿5I42,4996.3
﻿5I43,5000.0
﻿5I44,1730.0
﻿5I45,5000.0
﻿5I46,5000.0
﻿5I47,5000.0
﻿5I48,5000.0
﻿5I49,4900.5
﻿5I51,9984.2
﻿5I53,10000.0
﻿5I54,9919.4
﻿5I55,10000.0
﻿5I56,9968.1
﻿5I57,10000.0
﻿5I58,9951.6
﻿5I61,9950.6
﻿5I64,10000.0
﻿5I65,9995.6
﻿5I66,10000.0
﻿5I67,10000.0
﻿5I68,9974.3
﻿CV31,5000.0
﻿CV33,5000.0
﻿CV36,5000.0
﻿CV39,5000.0
﻿TN21,5000.0
﻿TN31,4980.8
﻿TN32,4731.5
﻿TN33,4920.0
﻿TN34,5000.0
﻿TN35,5000.0
﻿TN62,9907.7
﻿TN63,10000.0
﻿TN64,10000.0
﻿TN65,10000.0
﻿TN71,10000.0
﻿TN72,8143.5
﻿TN73,10000.0
﻿TN74,10000.0
﻿TN75,10000.0
﻿TN76,10000.0
﻿TN77,9868.8
﻿TN78,9930.4
﻿W220,5000.0
﻿W221,5000.0
﻿W222,5000.0
﻿W223,4995.9
﻿W224,4984.5
﻿W225,5000.0
﻿W226,5000.0
﻿W227,5000.0
﻿W228,4841.6
﻿W229,5000.0
﻿W250,10000.0
﻿W251,10000.0
﻿W252,9991.0
﻿W253,10000.0
﻿W255,9716.1
﻿W256,10000.0
﻿W257,10000.0
﻿W258,9973.2
﻿W260,10000.0
﻿W261,10000.0
﻿W262,10000.0
﻿W265,9634.4
﻿W266,10000.0
﻿W267,10000.0
﻿W268,10000.0
﻿W350,10000.0
﻿W351,10000.0
﻿W352,10000.0
﻿W353,9988.1
﻿W354,10000.0
﻿W355,10000.0
﻿W356,9914.2
﻿W357,10000.0
﻿W35A,9852.2
﻿W35B,10000.0
﻿W35C,9802.6
﻿W35D,10000.0
﻿W360,10000.0
﻿W361,9950.0
﻿W362,9996.4
﻿W363,10000.0
﻿W364,9989.2
﻿W365,10000.0
﻿W367,9930.0
﻿W36D,9955.0
﻿W370,10000.0
﻿W371,10000.0
﻿W372,9989.2
﻿W373,9901.0
﻿W374,10000.0
﻿W375,10000.0
﻿W421,4842.4
