ROWNUM, X, Y, FEEDER
﻿1,288380.90500000003,2760136.5600000001,5A21
﻿2,288148.85999999999,2760087.338,5A21
﻿3,288431.549,2760157.1000000001,5A21
﻿4,288300.61200000002,2760803.9449999998,5A21
﻿5,288180.114,2760273.5550000002,5A21
﻿6,288095.77100000001,2760203.142,5A21
﻿7,288329.038,2760021.0290000001,5A21
﻿8,288292.84899999999,2760963.6290000002,5A21
﻿9,288463.283,2760076.3319999999,5A21
﻿10,288279.79800000001,2760720.889,5A21
﻿11,288241.90700000001,2760060.764,5A21
﻿12,288426.03600000002,2760227.781,5A21
﻿13,288335.00900000002,2760237.77,5A21
﻿14,288877.87900000002,2759446.2570000002,5A22
﻿15,288996.04599999997,2759745.625,5A22
﻿16,288651.89899999998,2759549.0970000001,5A22
﻿17,288735.88699999999,2759586.3110000002,5A22
﻿18,288070.88799999998,2759571.3730000001,5A22
﻿19,289427.20299999998,2760053.199,5A22
﻿20,289350.38299999997,2759986.8960000002,5A22
﻿21,288591.88900000002,2759745.477,5A22
﻿22,288536.64399999997,2759913.9810000001,5A22
﻿23,288866.40399999998,2759962.4759999998,5A22
﻿24,287913.56699999998,2759622.4939999999,5A22
﻿25,288375.52000000002,2759554.656,5A22
﻿26,288339.45699999999,2759684.5120000001,5A22
﻿27,289250.78700000001,2760161.9249999998,5A22
﻿28,288559.37800000003,2759893.9569999999,5A22
﻿29,289128.53600000002,2759877.0989999999,5A22
﻿30,288809.48300000001,2759680.8679999998,5A22
﻿31,289067.33000000002,2760009.9500000002,5A22
﻿32,288909.158,2759857.5240000002,5A22
﻿33,288963.20400000003,2759696.969,5A22
﻿34,288141.99699999997,2759749.9479999999,5A22
﻿35,288714.42300000001,2759774.8110000002,5A22
﻿36,288670.01899999997,2759694.0989999999,5A22
﻿37,288134.08000000002,2759602.4169999999,5A22
﻿38,289179.245,2760166.7059999998,5A22
﻿39,289024.62199999997,2759630.4100000001,5A22
﻿40,289146.10600000003,2759964.395,5A22
﻿41,288874.61700000003,2759736.4500000002,5A22
