FEEDER,CAPACITY
﻿BG21,0.0
﻿BG22,0.0
﻿NA01,5207.3
﻿NA02,5493.4
﻿NA03,5184.8
﻿NA04,5482.0
﻿NA05,0.0
﻿NA06,5433.0
﻿NA07,5493.2
﻿NA08,4969.9
﻿NA09,5489.2
﻿NA10,1780.0
﻿NA11,4632.7
﻿NA12,5492.8
﻿NA13,5487.4
﻿NA14,5459.7
﻿NA15,5342.5
﻿NA16,4864.6
﻿NA17,5035.6
﻿NA18,5118.4
﻿NA19,4686.9
﻿NA20,4235.5
﻿NA51,10395.8
﻿NA52,0.0
﻿NA54,10724.9
﻿NA55,10569.6
﻿NA56,11000.0
﻿NA57,10217.7
﻿NA58,10975.7
﻿NA61,10837.2
﻿NA62,5327.1
﻿NA63,9153.3
﻿NA64,10844.6
﻿NA65,11000.0
﻿NA66,11000.0
﻿NA68,9774.5
﻿NB21,5435.0
﻿NB22,0.0
﻿NB23,3063.3
﻿NB24,4940.0
﻿NB25,3998.9
﻿NB26,5500.0
﻿NB27,5263.4
﻿NB28,5205.7
﻿NB29,4795.8
﻿NB30,0.0
﻿NB31,3949.3
﻿NB32,5500.0
﻿NB33,5131.6
﻿NB34,2650.0
﻿NB35,4170.0
﻿NB36,4343.9
﻿NB37,5100.2
﻿NB38,5466.1
﻿NB39,5483.3
﻿NB40,5491.6
﻿NB52,0.0
﻿NB53,10745.2
﻿NB54,11000.0
﻿NB55,11000.0
﻿NB57,11000.0
﻿NB58,11000.0
﻿NC21,5500.0
﻿NC22,0.0
﻿NC23,0.0
﻿NC25,1078.6
﻿NC26,5250.5
﻿NC27,2298.0
﻿NC28,0.0
﻿NC29,0.0
﻿NC30,524.9
﻿NC31,0.0
﻿NC32,2422.5
﻿NC34,0.0
﻿NC35,0.0
﻿ND21,0.0
﻿ND22,0.0
﻿ND23,5088.5
﻿ND24,0.0
﻿ND25,0.0
﻿ND26,4218.7
﻿ND27,0.0
﻿ND28,300.0
﻿ND29,3828.8
﻿ND30,3765.2
﻿NE26,0.0
﻿NE27,0.0
﻿NE28,2822.1
﻿NE29,4104.2
﻿NE30,0.0
﻿NE31,0.0
﻿NE32,0.0
﻿NE33,827.0
﻿NE34,138.9
﻿NE35,5361.9
﻿NF21,0.0
﻿NF22,4728.9
﻿NF23,4524.0
﻿NF24,4.6
﻿NF25,2636.8
﻿NF26,797.4
﻿NF27,880.4
﻿NF28,0.0
﻿NF29,3128.7
﻿NF30,0.0
﻿NF32,0.0
﻿NF33,0.0
﻿NF34,0.0
﻿NF35,0.0
﻿NG21,0.0
﻿NG22,0.0
﻿NG23,5000.2
﻿NG25,1377.9
﻿NG26,0.0
﻿NG27,0.0
﻿NG28,1685.0
﻿NG29,4903.0
﻿NG30,2765.2
﻿NH21,5467.4
﻿NH22,1290.0
﻿NH23,279.9
﻿NH24,0.0
﻿NH25,0.0
﻿NH26,0.0
﻿NH28,760.0
﻿NH29,0.0
﻿NH30,2990.0
﻿NI21,0.0
﻿NI22,2143.3
﻿NI23,5500.0
﻿NI24,5500.0
﻿NI25,5500.0
﻿NI26,5500.0
﻿NI31,2370.0
﻿NI32,5447.4
﻿NI33,1690.0
﻿NI34,0.0
﻿NI35,5030.0
﻿NI36,942.1
﻿NI37,4700.0
﻿NI38,5341.6
﻿NI42,3840.0
﻿NI43,3240.0
﻿NI44,0.0
﻿NI45,140.0
﻿NJ21,5490.2
﻿NJ22,0.0
﻿NJ23,0.0
﻿NJ24,5500.0
﻿NJ25,0.0
﻿NJ26,0.0
﻿NJ27,5409.3
﻿NJ28,0.0
﻿NJ29,0.0
﻿NJ30,0.0
﻿NL21,4695.6
﻿NL22,5326.2
﻿NL23,699.0
﻿NL24,0.0
﻿NL25,0.0
﻿NL26,391.0
﻿NL27,0.0
﻿NL28,0.0
﻿NL29,4722.2
﻿NL30,0.0
﻿NL31,520.0
﻿NL32,4030.8
﻿NL33,4964.3
﻿NL34,2653.7
﻿NL35,2759.8
﻿NM21,5206.1
﻿NM22,957.6
﻿NM23,0.0
﻿NM24,0.0
﻿NM25,0.0
﻿NM26,4756.8
﻿NM27,4067.9
﻿NM28,0.0
﻿NM29,5500.0
﻿NM30,3138.0
﻿NM31,5500.0
﻿NM32,4489.4
﻿NM33,5028.0
﻿NM34,4741.5
﻿NM35,2103.8
﻿NN21,3574.4
﻿NN22,3661.6
﻿NN23,0.0
﻿NN24,3810.0
﻿NN25,1507.4
﻿NN26,5482.5
﻿NN27,0.0
﻿NN28,0.0
﻿NN29,5113.2
﻿NN30,3166.9
﻿NN31,5500.0
﻿NN34,5500.0
﻿NN35,5500.0
﻿NO21,0.0
﻿NO22,0.0
﻿NO23,5145.3
﻿NO24,5307.0
﻿NO25,1860.0
﻿NO26,0.0
﻿NO27,1821.8
﻿NO28,5167.2
﻿NO29,5434.8
﻿NO30,0.0
﻿NO31,3782.7
﻿NO32,5299.2
﻿NO33,837.4
﻿NO34,5224.8
﻿NO35,0.0
﻿NO36,0.0
﻿NO37,0.0
﻿NO38,2509.0
﻿NO39,3412.7
﻿NP21,2049.8
﻿NP22,5084.4
﻿NP23,5329.0
﻿NP24,5255.1
﻿NP25,4265.3
﻿NP26,5066.6
﻿NP27,5411.7
﻿NP28,5179.5
﻿NP29,5469.3
﻿NP30,0.0
﻿NQ21,0.0
﻿NQ22,0.0
﻿NQ23,722.4
﻿NQ24,0.0
﻿NQ25,0.0
﻿NQ31,0.0
﻿NQ32,0.0
﻿NQ33,518.7
﻿NQ34,0.0
﻿NQ35,0.0
﻿NQ36,0.0
﻿NQ37,0.0
﻿NQ38,1762.7
﻿NQ39,0.0
﻿NQ40,0.0
﻿NR21,2791.1
﻿NR22,0.0
﻿NR23,0.0
﻿NR24,0.0
﻿NR25,1271.4
﻿NR26,0.0
﻿NR27,1047.6
﻿NR28,0.0
﻿NR29,0.0
﻿NR30,0.0
﻿NS21,0.0
﻿NS22,0.0
﻿NS23,0.0
﻿NS24,0.0
﻿NS25,0.0
﻿NS26,247.7
﻿NS27,2863.0
﻿NS28,0.0
﻿NS29,0.0
﻿NS30,0.0
﻿NT21,2017.7
﻿NT22,264.2
﻿NT23,0.0
﻿NT24,3877.1
﻿NT25,4608.3
﻿NT26,3176.2
﻿NT27,0.0
﻿NT28,0.0
﻿NT29,3907.5
﻿NT30,0.0
﻿NT31,2054.8
﻿NT32,2935.3
﻿NT33,5030.2
﻿NT34,5500.0
﻿NT35,4630.1
﻿NU21,0.0
﻿NU22,4592.6
﻿NU23,5500.0
﻿NU24,5353.6
﻿NU25,4222.6
﻿NU26,0.0
