ROWNUM, X, Y, FEEDER
﻿1,202332.08499999999,2525667.4109999998,BD42
﻿2,202294.092,2525630.1230000001,BD42
﻿3,202349.10699999999,2525699.27,BD42
﻿4,206350.78,2526705.7289999998,BG21
﻿5,207069.91699999999,2525016.4330000002,BG21
﻿6,206808.01999999999,2526372.2250000001,BG21
﻿7,207794.98699999999,2525284.736,BG21
﻿8,204447.67600000001,2524144.9709999999,BG21
﻿9,206970.413,2525355.8289999999,BG21
﻿10,207777.50200000001,2525463.7599999998,BG21
﻿11,208573.86199999999,2527654.7409999999,BG21
﻿12,207233.155,2525718.1430000002,BG21
﻿13,206451.698,2525680.0860000001,BG21
﻿14,206110,2526540,BG21
﻿15,206580,2525290,BG21
﻿16,208388.696,2526850.79,BG21
﻿17,208166.68100000001,2528164.4109999998,BG21
﻿18,206954.44,2525805.8289999999,BG21
﻿19,206248.723,2525333,BG21
﻿20,209017.31700000001,2525949.0329999998,BG21
﻿21,208151.908,2525206.9040000001,BG21
﻿22,207608.878,2526130.0869999998,BG21
﻿23,208147.717,2525425.4350000001,BG21
﻿24,205519.606,2525277.9330000002,BG21
﻿25,208216.92300000001,2526598.7039999999,BG21
﻿26,209135.712,2525762.7239999999,BG21
﻿27,209351.18400000001,2526030.514,BG21
﻿28,206333.497,2525854.5430000001,BG21
﻿29,205031.087,2524633.6200000001,BG21
﻿30,207832.43400000001,2526807.429,BG21
﻿31,206562.29800000001,2524846.943,BG21
﻿32,206715.29699999999,2525541.3990000002,BG21
﻿33,206993.06899999999,2525472.2289999998,BG21
﻿34,207453.405,2525648.415,BG21
﻿35,207841.35399999999,2527939.6860000002,BG21
﻿36,207819.44099999999,2526998.182,BG21
﻿37,207126.878,2524983.534,BG21
﻿38,207773.41899999999,2525168.7740000002,BG21
﻿39,207641.39799999999,2525259.5019999999,BG21
﻿40,207371.88500000001,2525654.6320000002,BG21
﻿41,207841.054,2526040.1710000001,BG21
﻿42,206678.231,2525966.7710000002,BG21
﻿43,208675.72500000001,2526277.2859999998,BG21
﻿44,207801.68900000001,2526708.267,BG21
﻿45,205235.965,2524899.8130000001,BG21
﻿46,204701.13099999999,2524231.6830000002,BG21
﻿47,207225.82800000001,2527352.1120000002,BG21
﻿48,205694.68400000001,2525492.6570000001,BG21
﻿49,208775.81099999999,2528005.7429999998,BG21
﻿50,209742.375,2526322.852,BG21
﻿51,207938.33499999999,2527311.4019999998,BG21
﻿52,208385.89799999999,2528070.827,BG21
﻿53,207587.671,2526767.9389999998,BG21
