FEEDER,CAPACITY
3A21,5425.3
3A22,5416.7
3A23,5494.8
3A24,5080.5
3A25,5054.0
3A26,5137.6
3A27,5132.3
3A28,5346.9
3A29,4610.0
3A31,4615.2
3A32,5470.7
3A33,5489.5
3A34,5260.3
3A35,4834.8
3A36,5400.1
3A37,5100.0
3A38,5140.0
3B21,3604.5
3B22,4218.4
3B23,4337.4
3B24,0.0
3B25,4936.6
3B26,0.0
3B31,5392.5
3B32,5354.3
3B33,5500.0
3B34,5414.7
3B35,2564.4
3B36,4567.5
3C21,4329.2
3C22,3150.0
3C23,4681.5
3C24,5441.8
3C25,5473.5
3C31,5089.4
3C32,5500.0
3C33,4360.0
3C34,1025.2
3C35,4939.8
3C60,11000.0
3C61,8500.3
3C63,11000.0
3C70,8684.9
3C72,9527.4
3C73,7138.8
3D20,4502.2
3D21,5365.6
3D22,5500.0
3D23,527.1
3D24,5471.2
3D25,4454.9
3D27,5208.4
3D28,4675.6
3D29,5500.0
3D61,8761.3
3D62,10439.4
3D63,11000.0
3D64,11000.0
3D65,9695.6
3D66,9501.1
3D67,10977.3
3D68,10170.0
3D72,10762.0
3D73,10652.9
3D74,10725.5
3D75,10464.9
3D76,10789.8
3D77,10862.2
3D78,8087.8
3E21,5500.0
3E22,5500.0
AD31,5381.1
AD40,4921.0
AE33,5387.6
AE37,4920.0
G221,5278.9
G222,5500.0
G223,3945.6
G224,5190.2
G225,5229.2
G231,4215.8
G232,5480.5
G233,5338.7
G234,5401.0
G235,5483.5
G241,5500.0
G242,5500.0
G243,5272.8
G244,5086.9
G245,5428.2
G351,10991.2
G352,10991.7
G353,9312.8
G354,10876.1
G355,11000.0
G356,10957.9
G357,9865.7
G358,11000.0
G361,10691.4
G362,10591.8
G363,10991.2
G364,10962.1
G365,10366.9
G366,11000.0
G367,10985.5
G368,11000.0
G371,10707.3
G372,10419.9
G373,10590.7
G374,10943.8
G375,10479.4
G376,11000.0
G377,10985.2
G378,9601.5
G431,5405.3
G432,5471.3
G433,5361.6
G434,5175.1
G435,5483.2
G441,5500.0
G442,5500.0
G443,3491.2
G444,5480.2
G445,5406.5
G461,9242.7
G462,10990.5
G463,10970.9
G464,11000.0
G465,10913.8
G471,9451.7
G472,10227.7
G473,10918.1
G474,10970.1
G525,4749.5
G526,5458.7
G527,5413.5
G528,0.0
G529,4587.1
G535,5500.0
G536,4961.9
G537,5500.0
G538,4943.2
G539,4199.5
G550,8012.2
G551,9489.4
G552,6551.1
G553,10859.4
G554,8249.4
G560,9829.6
G561,3944.1
G564,2977.3
G720,5301.5
G721,2850.0
G722,4868.8
G723,2165.9
G724,5406.0
G725,4240.0
G726,4905.3
G727,0.0
G728,5469.4
G729,4843.8
G730,5337.8
G731,5275.2
G732,2330.0
G733,3114.2
G735,5320.4
G736,3080.0
G737,4649.6
G738,1460.0
G921,5500.0
G922,4561.0
G923,5302.1
G924,5351.9
G925,5500.0
G926,5500.0
G927,5468.3
G928,5091.3
G929,4872.1
G931,4760.0
G932,5500.0
G933,5471.3
G934,5138.6
G935,3829.2
