ROWNUM, X, Y, FEEDER
1,203595.492,2678155.841,3A21
2,202989.239,2680558.3990000002,3A21
3,203175.932,2677889.3700000001,3A21
4,203590.005,2681440.6179999998,3A21
5,202861.41,2679983.6009999998,3A21
6,203869.698,2678989.9819999998,3A21
7,202839.046,2680840.3840000001,3A21
8,203101.22700000001,2680666.841,3A21
9,204065.598,2678523.389,3A21
10,203305.05600000001,2681704.906,3A21
11,203079.29000000001,2678978.4870000002,3A21
12,204108.742,2678873.7349999999,3A21
13,203153.48000000001,2678896.1809999999,3A21
14,203829.33100000001,2678786.0210000002,3A21
15,202817.065,2680016.861,3A21
16,203246.72700000001,2679243.818,3A21
17,203156.535,2678960.8489999999,3A21
18,203122.54500000001,2677962.2910000002,3A21
19,203088.98499999999,2680949.4530000002,3A21
20,202866.78400000001,2679160.7170000002,3A21
21,203056.04999999999,2681473.1030000001,3A21
22,203642.459,2681450.2200000002,3A21
23,202865.48499999999,2680738.6179999998,3A21
24,202910.68900000001,2679369.895,3A21
25,203202.04399999999,2679673.1269999999,3A21
26,203259.12100000001,2679841.6690000002,3A21
27,203159.837,2679109.852,3A21
28,203790.829,2678937.9399999999,3A21
29,203486.01999999999,2678163.7919999999,3A21
30,203015.70499999999,2679288.358,3A21
31,203860.46400000001,2679061.6430000002,3A21
32,203360.516,2681567.736,3A21
33,204011.67300000001,2678155.906,3A21
34,203236.50700000001,2677968.9500000002,3A21
35,202992.67999999999,2680784.2990000001,3A21
36,203023.622,2679471.5860000001,3A21
37,203286.283,2678006.9419999998,3A21
38,202906.07000000001,2679603.2820000001,3A21
39,204449.424,2678582.0260000001,3A21
40,203013.647,2679201.9169999999,3A21
41,203168.12899999999,2678056.8300000001,3A21
42,203117.66200000001,2681425.9890000001,3A21
43,203287.38399999999,2681111.7340000002,3A21
44,203660.823,2678920.6779999998,3A21
45,202916.024,2681108.5830000001,3A21
46,204064.91099999999,2678672.628,3A21
47,203351.47099999999,2677997.6230000001,3A21
48,203443.45000000001,2678093.3760000002,3A21
49,203112.78,2680654.2999999998,3A21
50,203287.128,2681280.9070000001,3A21
51,203044.97899999999,2680763.7999999998,3A21
52,203294.54800000001,2681377.3029999998,3A21
53,203161.114,2681119.8480000002,3A21
54,203052.80900000001,2678791.5469999998,3A21
55,203061.88200000001,2679305.4449999998,3A21
56,202846.174,2680105.9950000001,3A21
57,203208.633,2678995,3A21
58,202997.59400000001,2681311.5240000002,3A21
59,203009.397,2679764.4399999999,3A21
60,202917.43700000001,2680203.4789999998,3A21
61,204106.223,2678344.5150000001,3A21
62,203325.356,2681274.4989999998,3A21
63,203118.848,2680844.7000000002,3A21
64,203073.484,2678626.7489999998,3A21
65,203874.12899999999,2678623.6579999998,3A21
66,203124.07199999999,2680132.966,3A21
67,204085.19899999999,2678504.2689999999,3A21
68,204236.23699999999,2678638.9300000002,3A21
69,203879.29300000001,2678585.5989999999,3A21
70,204060.60699999999,2678309.4449999998,3A21
71,202793.59899999999,2679946.145,3A21
72,204492.815,2677899.9679999999,3A21
73,203312.516,2681171.628,3A21
74,203795.66399999999,2678834.446,3A21
75,202945.79300000001,2679310.0320000001,3A21
76,202792.85699999999,2679540.4550000001,3A21
77,203547.05499999999,2681536.963,3A21
78,202700.13,2679617.216,3A21
79,204057.40100000001,2678733.3599999999,3A21
80,202734.234,2679740.1519999998,3A21
81,203026.92800000001,2680550.4670000002,3A21
82,203043.60699999999,2679866.8369999998,3A21
83,203134.826,2681764.6179999998,3A21
84,203324.476,2680123.9569999999,3A21
85,203798.27100000001,2678057.0460000001,3A21
86,203063.43299999999,2679945.912,3A21
87,203332.226,2678064.6099999999,3A21
88,203676.05799999999,2678219.949,3A21
89,203018.951,2678594.1209999998,3A21
90,203071.522,2677955.7480000001,3A21
91,203909.02600000001,2678265.0580000002,3A21
92,202975.51999999999,2680395.662,3A21
93,203033.55799999999,2681381.9890000001,3A21
