FEEDER,CAPACITY
﻿4A11,4580.0
﻿4A12,5245.4
﻿4A13,5174.0
﻿4A14,5028.8
﻿4A15,2715.5
﻿4A16,3849.3
﻿4A17,5136.3
﻿4A18,4202.0
﻿4A19,4120.0
﻿4A20,3660.0
﻿4A21,5396.8
﻿4A22,1950.0
﻿4A23,4219.6
﻿4A24,5478.8
﻿4A25,5119.8
﻿4A26,4499.0
﻿4A27,5278.3
﻿4A28,5310.0
﻿4A29,5201.5
﻿4A30,4892.0
﻿4D51,9268.0
﻿4D52,6485.8
﻿4D53,5753.2
﻿4D54,9890.0
﻿4D55,9071.3
﻿4D56,10344.1
﻿4D57,8659.4
﻿4D61,1915.9
﻿4D62,9573.9
﻿4D63,9612.3
﻿4D64,6867.6
﻿4D65,9923.5
﻿4D66,6508.7
﻿4D67,9677.4
﻿4E11,0.0
﻿4E12,3430.0
﻿4E13,4647.2
﻿4E14,5480.3
﻿4E15,1896.4
﻿4E16,3844.4
﻿4E17,5500.0
﻿4E18,2100.0
﻿4E20,4748.1
﻿4K61,4119.4
﻿4K62,11000.0
﻿4K63,11000.0
﻿4K64,10388.5
﻿4K65,10902.4
﻿4K66,10681.2
﻿4K67,8312.8
﻿4K71,8249.9
﻿4K72,3907.0
﻿4K73,11000.0
﻿4K74,10533.2
﻿4K75,8955.6
﻿4K76,9914.3
﻿4K77,11000.0
﻿4K78,10500.2
﻿BN21,4950.4
﻿BN40,4600.7
﻿K216,520.0
﻿K217,2880.0
﻿K218,4490.0
﻿K219,5422.7
﻿K220,0.0
﻿K221,0.0
﻿K222,1952.2
﻿K223,0.0
﻿K224,5478.9
﻿K225,3492.4
﻿K251,10000.8
﻿K252,7659.6
﻿K253,10977.0
﻿K254,8629.0
﻿K261,10038.7
﻿K262,9901.8
﻿K263,11000.0
﻿K264,10970.1
﻿K265,11000.0
﻿K266,11000.0
﻿K267,9976.6
﻿K268,11000.0
﻿K271,10928.7
﻿K272,10972.9
﻿K273,10900.9
﻿K274,10503.4
﻿K275,9515.6
﻿K276,11000.0
﻿K277,11000.0
﻿K278,7709.9
﻿K27A,10786.2
﻿K27B,6613.6
﻿K27C,9032.0
﻿K27D,10032.7
﻿K311,5362.0
﻿K312,2807.7
﻿K313,0.0
﻿K314,2280.0
﻿K316,3925.4
﻿K317,5500.0
﻿K318,0.0
﻿K319,4983.2
﻿K320,0.0
﻿K323,0.0
﻿K324,0.0
﻿K325,0.0
﻿K328,5361.5
﻿K329,0.0
﻿K330,0.0
﻿K363,9501.6
﻿K364,7028.3
﻿K367,9685.2
﻿K371,9462.9
﻿K373,8215.7
﻿K375,8188.7
﻿K376,10429.3
﻿K377,10569.7
﻿K411,5500.0
﻿K412,3440.0
﻿K413,5400.3
﻿K414,4474.3
﻿K415,5158.0
﻿K416,5500.0
﻿K417,5480.2
﻿K418,5339.7
﻿K419,5158.7
﻿K420,3720.0
﻿K421,5022.1
﻿K422,5492.7
﻿K423,5480.2
﻿K424,5460.8
﻿K425,4559.8
﻿K426,5076.3
﻿K428,5500.0
﻿K429,1010.0
﻿K430,5371.7
﻿K461,7662.5
﻿K462,11000.0
﻿K463,10687.2
﻿K464,0.0
﻿K465,0.0
﻿K466,8243.3
﻿K468,10327.2
﻿K471,10920.2
﻿K472,11000.0
﻿K473,10120.6
﻿K474,10525.3
﻿K475,11000.0
﻿K476,11000.0
﻿K477,0.0
﻿K478,11000.0
﻿K611,4841.8
﻿K612,5450.0
﻿K613,0.0
﻿K614,5113.3
﻿K615,0.0
﻿K621,4361.0
﻿K622,0.0
﻿K623,3540.0
﻿K624,3660.0
﻿K625,4956.6
﻿K631,5303.1
﻿K632,2019.6
﻿K633,0.0
﻿K634,3250.0
﻿K635,5495.3
﻿K641,0.0
﻿K642,5000.3
﻿K644,2970.0
﻿K645,0.0
﻿K811,4856.5
﻿K812,1420.0
﻿K813,1910.0
﻿K814,5500.0
﻿K815,0.0
﻿K821,5020.0
﻿K822,3874.7
﻿K823,1900.0
﻿K824,3023.4
﻿K825,3240.6
﻿K831,1320.0
﻿K832,5500.0
﻿K833,4764.4
﻿K834,1060.0
﻿K835,3791.4
﻿K841,0.0
﻿K842,5500.0
﻿K843,1860.0
﻿K844,5377.2
﻿K845,4104.9
﻿K861,10512.1
﻿K862,10989.0
﻿K863,2628.7
