ROWNUM, X, Y, FEEDER
﻿1,168855.79999999999,2550810.0869999998,4A11
﻿2,169061.06299999999,2550673.71,4A11
﻿3,170355.52499999999,2551774.7289999998,4A11
﻿4,169229.717,2550973.2689999999,4A11
﻿5,169377.20999999999,2551083.4929999998,4A11
﻿6,168900.78899999999,2550818.5800000001,4A11
﻿7,168948.851,2551620.0639999998,4A11
﻿8,169196.09299999999,2550129.1060000001,4A11
﻿9,169284.89499999999,2550992.477,4A11
﻿10,169022.649,2551285.8709999998,4A11
﻿11,169334.163,2551441.9780000001,4A11
﻿12,169190.193,2551091.2250000001,4A11
﻿13,169611,2550509,4A11
﻿14,169293.00200000001,2550517.2659999998,4A11
﻿15,170379.78,2551161.2769999998,4A11
﻿16,168963.51800000001,2550701.7889999999,4A11
﻿17,169124.89000000001,2551202.5989999999,4A11
﻿18,169141.95699999999,2551431.1880000001,4A11
﻿19,169239.802,2551162.6009999998,4A11
﻿20,169115.20499999999,2550946.702,4A11
﻿21,169137.70800000001,2550566.8670000001,4A11
﻿22,169489.916,2551453.9130000002,4A11
﻿23,169573.856,2550502.0750000002,4A11
﻿24,169218.44699999999,2551023.3990000002,4A11
﻿25,169524.50399999999,2551463.7990000001,4A11
﻿26,169474.875,2550590.0109999999,4A11
﻿27,169212.285,2551416.5070000002,4A11
﻿28,169324.60699999999,2550515.5839999998,4A11
﻿29,170408.337,2551220.9049999998,4A11
﻿30,169297.636,2550596.6899999999,4A11
﻿31,169154.791,2550387.7990000001,4A11
﻿32,169458.78099999999,2550550.7409999999,4A11
﻿33,169317.79000000001,2551334.4010000001,4A11
﻿34,170412.65599999999,2550834.0120000001,4A11
﻿35,169143.82500000001,2550252.659,4A11
﻿36,168998.27600000001,2551171.5619999999,4A11
﻿37,169158.84899999999,2550673.4709999999,4A11
﻿38,169139.77299999999,2551662.327,4A11
﻿39,169293.66,2551628.6150000002,4A11
﻿40,169038.06599999999,2551616.5959999999,4A11
﻿41,169327.171,2550088.213,4A11
﻿42,169094.94099999999,2551383.6800000002,4A11
﻿43,169071.23300000001,2551593.341,4A11
﻿44,169191.15599999999,2550020.9580000001,4A11
﻿45,169045.902,2550864.3390000002,4A11
﻿46,170364.58199999999,2550908.9559999998,4A11
﻿47,169234.54199999999,2551239.1839999999,4A11
﻿48,169223.45300000001,2550104.2340000002,4A11
﻿49,169065.399,2550782.523,4A11
﻿50,169281.58100000001,2550635.2110000001,4A11
﻿51,168989.07699999999,2551254.8799999999,4A11
﻿52,169163.326,2550731.9509999999,4A11
﻿53,169143.27299999999,2550450.8450000002,4A11
﻿54,169092.91699999999,2550968.2829999998,4A11
﻿55,169273.89199999999,2551528.5860000001,4A11
﻿56,169160.503,2551134.1299999999,4A11
﻿57,168996.83100000001,2550612.0610000002,4A11
﻿58,169242.30499999999,2550086.2439999999,4A11
﻿59,170377.98999999999,2551231.2820000001,4A11
﻿60,169134.217,2550815.0959999999,4A11
﻿61,169299.951,2550228.3169999998,4A11
﻿62,169323.861,2550467.1039999998,4A11
﻿63,169636.18799999999,2550470.4819999998,4A11
﻿64,169078.74400000001,2549990.3930000002,4A11
﻿65,169133.45499999999,2551590.7250000001,4A11
﻿66,169269.79000000001,2550467.0359999998,4A11
﻿67,169216.09700000001,2551350.0320000001,4A11
﻿68,167822.38,2552435.1170000001,4A12
﻿69,167885.927,2551686.608,4A12
﻿70,168503.261,2551675.3659999999,4A12
﻿71,169818.19699999999,2551048.4980000001,4A12
﻿72,168007.40299999999,2551542.7450000001,4A12
﻿73,167970.47899999999,2551504.196,4A12
﻿74,167813.399,2551961.676,4A12
﻿75,167953.44099999999,2551919.7230000002,4A12
﻿76,167877.601,2551585.0559999999,4A12
﻿77,168157.49799999999,2552125.9890000001,4A12
﻿78,168431.64300000001,2552264.514,4A12
﻿79,168300.50099999999,2552015.7659999998,4A12
﻿80,168249.55499999999,2551907.5649999999,4A12
﻿81,167181.54800000001,2551905.3650000002,4A12
﻿82,167988.32000000001,2552186.3050000002,4A12
﻿83,167975.29500000001,2551917.5129999998,4A12
﻿84,167486.26500000001,2551670.2080000001,4A12
﻿85,167665.73199999999,2552339.699,4A12
﻿86,167832.59299999999,2551819.2999999998,4A12
﻿87,168436.334,2552307.0359999998,4A12
﻿88,167743.611,2552454.6000000001,4A12
﻿89,167444.95199999999,2551751.1460000002,4A12
﻿90,169950.98999999999,2550455.9550000001,4A12
﻿91,169766.77499999999,2551859.568,4A12
﻿92,168493.11300000001,2552191.8760000002,4A12
﻿93,169480.807,2551808.4419999998,4A12
﻿94,167560.33199999999,2551706.0669999998,4A12
﻿95,167693.26699999999,2551732.5750000002,4A12
﻿96,169922.69,2550572.9640000002,4A12
﻿97,168312.889,2552066.0490000001,4A12
﻿98,167919.82800000001,2551703.9389999998,4A12
﻿99,168037.73699999999,2551808.4929999998,4A12
﻿100,168105.908,2551841.8560000001,4A12
﻿101,168091.889,2551988.5120000001,4A12
﻿102,167539.48800000001,2551685.2579999999,4A12
﻿103,167916.56400000001,2552009.273,4A12
﻿104,168575.74900000001,2552248.9509999999,4A12
﻿105,167943.43599999999,2551714.7850000001,4A12
﻿106,168169.799,2551952.2230000002,4A12
﻿107,168102.04500000001,2552032.7009999999,4A12
﻿108,167974.682,2552212.1170000001,4A12
﻿109,167316.495,2551812.4130000002,4A12
﻿110,167668.79199999999,2552416.0070000002,4A12
﻿111,168033.04800000001,2551641.699,4A12
﻿112,167752.215,2551808.9750000001,4A12
﻿113,168333.73999999999,2551773.1090000002,4A12
﻿114,168543.66099999999,2551683.3050000002,4A12
﻿115,168032.57399999999,2551703.2009999999,4A12
﻿116,168627.54000000001,2551769.2450000001,4A12
﻿117,167809.08799999999,2552008.6570000001,4A12
﻿118,167759.31899999999,2552086.818,4A12
﻿119,167542.71799999999,2552279.7379999999,4A12
﻿120,167218.67999999999,2551875.898,4A12
﻿121,167885.405,2551754.4879999999,4A12
﻿122,168447.163,2551949.9330000002,4A12
