FEEDER,CAPACITY
﻿CE34,5000.0
﻿SA31,5500.0
﻿SA33,5500.0
﻿SA34,5500.0
﻿SA35,5500.0
﻿SA37,5385.3
﻿SA38,5500.0
﻿SA39,5491.4
﻿SB31,5500.0
﻿SC31,5500.0
﻿SC32,5500.0
﻿SC33,5990.0
﻿SC34,5500.0
﻿SC35,5500.0
﻿SC36,5500.0
﻿SC37,5500.0
﻿SC38,5500.0
﻿SC39,5500.0
﻿SC40,5500.0
﻿SC41,5500.0
﻿SC42,5500.0
﻿SC43,5500.0
﻿SC44,5500.0
﻿SC45,5500.0
﻿SD31,5500.0
﻿SD32,5500.0
﻿SD33,5500.0
﻿SD34,5500.0
﻿SD35,5500.0
﻿SD36,3780.0
﻿SD37,5500.0
﻿SD38,5500.0
﻿SD39,5500.0
﻿SE31,5500.0
﻿SE32,5500.0
﻿SE33,5500.0
﻿SE34,5500.0
﻿SE35,5500.0
﻿SE36,5500.0
﻿SE37,5500.0
﻿SE38,5500.0
﻿SE39,5500.0
﻿SE41,5500.0
﻿SE42,5500.0
﻿SG51,10994.8
﻿SG52,11000.0
﻿SG53,10502.2
﻿SG54,10991.6
﻿SG55,11000.0
﻿SG56,11000.0
﻿SG59,11000.0
﻿SG60,10783.0
﻿SG61,10789.8
﻿SG62,11000.0
﻿SG63,10762.4
﻿SG64,11000.0
﻿SH31,5500.0
﻿SH32,5500.0
﻿SH33,5500.0
﻿SH34,5500.0
﻿SH35,5500.0
﻿SH36,5500.0
﻿SH37,5112.4
﻿SH38,5500.0
﻿SH39,5500.0
﻿SH40,5500.0
﻿SJ51,10980.8
﻿SJ52,11000.0
﻿SJ53,10912.6
﻿SJ54,11000.0
﻿SJ55,11000.0
﻿SJ56,11000.0
﻿SJ57,11000.0
﻿SJ58,11000.0
﻿SJ59,11000.0
﻿SJ60,10749.7
﻿SJ62,11000.0
﻿SJ63,11000.0
﻿SJ64,11000.0
﻿SJ65,11000.0
﻿SJ66,11000.0
﻿SJ67,11000.0
﻿SJ68,11000.0
﻿SL51,11000.0
﻿SL52,11000.0
﻿SL53,11000.0
﻿SL54,11000.0
﻿SL55,11000.0
﻿SL56,11000.0
﻿SL57,10653.5
﻿SL58,10873.6
﻿SL59,11000.0
﻿SL60,10796.7
﻿SL61,11000.0
﻿SL62,11000.0
﻿SL63,10815.7
﻿SL64,10974.7
﻿SL65,11000.0
﻿SL66,11000.0
﻿SL67,11000.0
﻿SL68,10548.6
﻿SM31,5500.0
﻿SM32,5500.0
﻿SM34,5500.0
﻿SM35,5500.0
﻿SM36,5500.0
﻿SM38,4980.2
﻿SM39,5500.0
﻿SM40,5500.0
﻿SM61,10943.3
﻿SM62,11000.0
﻿SM63,11000.0
﻿SM64,11000.0
﻿SM65,10904.4
﻿SM66,11000.0
﻿SM67,10954.6
﻿SM68,11000.0
﻿SM69,10980.4
﻿SM70,11000.0
﻿SM71,11000.0
﻿SM72,11000.0
﻿SM73,11000.0
﻿SM74,10615.0
﻿SM75,10882.9
﻿SM76,10910.1
﻿SM77,11000.0
﻿SM78,11000.0
﻿SN31,5500.0
﻿SN32,5500.0
﻿SN33,5500.0
﻿SN34,5500.0
﻿SN36,5500.0
﻿SN37,5500.0
﻿SN38,5500.0
﻿SN39,5500.0
﻿SN40,5500.0
﻿SN51,10689.1
﻿SN52,10829.7
﻿SN53,11000.0
﻿SP51,11000.0
﻿SP52,11000.0
﻿SP53,10857.4
﻿SP54,11000.0
﻿SP55,11000.0
﻿SP56,11000.0
﻿SP57,11000.0
﻿SP58,11000.0
﻿SP61,11000.0
﻿SP62,10869.8
﻿SP63,11000.0
﻿SP64,10751.1
﻿SP65,11000.0
﻿SP66,11000.0
﻿SP67,11000.0
﻿SP68,11000.0
﻿SP69,11000.0
﻿SP70,11000.0
﻿SP72,10904.8
﻿SP75,11000.0
﻿SP76,11000.0
﻿SP77,11000.0
﻿SP78,11000.0
﻿SP79,11000.0
﻿SP7A,11000.0
﻿SP7B,10957.8
﻿SP7C,10971.1
﻿SQ51,10988.7
﻿SQ53,11000.0
﻿SQ54,10936.6
﻿SQ55,11000.0
﻿SQ56,11000.0
﻿SQ57,10980.2
﻿SQ58,10652.8
﻿SQ59,11000.0
﻿SR61,10870.7
﻿SR62,11000.0
﻿SR63,11000.0
﻿SR64,10974.1
﻿SR65,10981.1
﻿SR66,11000.0
﻿SR67,11000.0
﻿SR68,11000.0
﻿SR69,10553.5
