ROWNUM, X, Y, FEEDER
﻿1,311098.46999999997,2771148.3319999999,CQ56
﻿2,311355.13900000002,2771020.3420000002,CQ56
﻿3,311273.84899999999,2771012.9180000001,CQ56
﻿4,311390.39000000001,2770990.2420000001,CQ56
﻿5,307626.78899999999,2786040.324,CX40
﻿6,307464.89899999998,2786062.3399999999,CX40
﻿7,300764.10100000002,2774147.2620000001,SA31
﻿8,301837.989,2774766.9309999999,SA31
﻿9,302370.57400000002,2774625.8160000001,SA31
﻿10,301739.484,2774797.2030000002,SA31
﻿11,301828.92800000001,2774881.966,SA31
﻿12,301652.05099999998,2774907.236,SA31
﻿13,301610.48499999999,2774865.838,SA31
﻿14,300733.08500000002,2773996.0320000001,SA33
﻿15,300727.79100000003,2774034.6340000001,SA33
﻿16,300582.05699999997,2773827.9759999998,SA33
﻿17,300650.25699999998,2773830.196,SA33
﻿18,301026.96100000001,2773629.3769999999,SA33
﻿19,300661.03499999997,2774006.068,SA33
﻿20,300552.79300000001,2774014.1839999999,SA33
﻿21,301487.13,2772651.5320000001,SA34
﻿22,301297.413,2773630.7949999999,SA34
﻿23,301633.51899999997,2772558.2349999999,SA34
﻿24,301283.14199999999,2773586.5389999999,SA34
﻿25,301568.11099999998,2772777.548,SA34
﻿26,301629.65899999999,2772628.9569999999,SA34
﻿27,301755.48200000002,2773647.7030000002,SA34
﻿28,301549.00199999998,2772652.9780000001,SA34
﻿29,301605.473,2772775.5129999998,SA34
﻿30,301640.09899999999,2772473.4709999999,SA34
﻿31,301434.484,2773690.6209999998,SA34
﻿32,301598.505,2773654.8220000002,SA34
﻿33,301105.65500000003,2773342.9219999998,SA35
﻿34,301256.26400000002,2773933.3280000002,SA35
﻿35,301203.57500000001,2773454.1060000001,SA35
﻿36,301116.353,2773204.3560000001,SA35
﻿37,301101.31199999998,2774040.716,SA35
﻿38,300980.70500000002,2774190.057,SA35
﻿39,300970.71100000001,2773959.3339999998,SA35
﻿40,300787.64600000001,2773944.7850000001,SA35
﻿41,301095.08100000001,2773349.5389999999,SA35
﻿42,300871.48700000002,2774210.8930000002,SA35
﻿43,300982.09700000001,2774262.3199999998,SA35
﻿44,301154.09999999998,2773460.3969999999,SA35
﻿45,301077.27399999998,2773595.1609999998,SA35
﻿46,300777.359,2773874.821,SA35
﻿47,301082.71899999998,2773935.0320000001,SA35
﻿48,301088.33199999999,2773252.3560000001,SA35
﻿49,299554.25699999998,2776246.6770000001,SA36
﻿50,300453.41600000003,2775567.9610000001,SA36
﻿51,300894.64600000001,2774908.1850000001,SA36
﻿52,300696.12599999999,2774984.5109999999,SA36
﻿53,300384.19699999999,2775241.426,SA36
﻿54,300424.54499999998,2775356.8390000002,SA36
﻿55,300361.32000000001,2775241.6439999999,SA36
﻿56,300827.59999999998,2774878.9870000002,SA36
﻿57,300288.467,2775399.0240000002,SA36
﻿58,300443.527,2774990.9649999999,SA36
﻿59,300430.00599999999,2775097.2450000001,SA36
﻿60,300529.39600000001,2775227.4720000001,SA36
﻿61,300721.48800000001,2774904.8799999999,SA36
﻿62,300307.24900000001,2775420.861,SA36
﻿63,300755.83100000001,2774761.8999999999,SA36
﻿64,300669.67800000001,2775016.2110000001,SA36
﻿65,300536.41600000003,2774931.7779999999,SA36
﻿66,300695.53999999998,2774810.4780000001,SA36
﻿67,300764.10100000002,2774147.2620000001,SA36
﻿68,300474.09700000001,2775457.6189999999,SA36
﻿69,300321.95199999999,2775528.3859999999,SA36
﻿70,300614.82500000001,2775103.0970000001,SA36
﻿71,300252.97399999999,2775482.8029999998,SA36
﻿72,300834.31599999999,2775092.0249999999,SA36
﻿73,300513.201,2775071.3489999999,SA36
﻿74,300676.16700000002,2774899.5729999999,SA36
﻿75,300585.10100000002,2774826.8530000001,SA36
﻿76,301038.64199999999,2774893.5350000001,SA36
﻿77,300286.77299999999,2775546.7680000002,SA36
﻿78,300479.14199999999,2775173.6850000001,SA36
﻿79,300564.261,2775168.9720000001,SA36
﻿80,300526.79200000002,2775459.77,SA36
﻿81,300336.20799999998,2775298.5630000001,SA36
