FEEDER,CAPACITY
﻿QA21,5303.1
﻿QA22,5484.0
﻿QA23,4501.2
﻿QA24,4747.1
﻿QA25,4889.4
﻿QA26,5086.7
﻿QA27,5136.8
﻿QA28,5452.6
﻿QA29,4707.6
﻿QA30,3280.8
﻿QA31,5263.6
﻿QA32,5432.5
﻿QA33,4764.4
﻿QA34,5432.5
﻿QA35,4889.9
﻿QA36,5434.5
﻿QA37,4015.5
﻿QA38,910.0
﻿QA39,5411.8
﻿QB21,0.0
﻿QB22,0.0
﻿QB23,4837.0
﻿QB24,5423.5
﻿QB25,5162.8
﻿QB26,4084.9
﻿QB27,0.0
﻿QC21,0.0
﻿QC22,0.0
﻿QC23,4385.8
﻿QE21,0.0
﻿QE22,0.0
﻿QE23,0.0
﻿QE25,5349.3
﻿QE26,3100.0
﻿QE27,4802.4
﻿QE29,2220.0
﻿QE40,4850.0
﻿QE41,5000.0
﻿QE42,4232.1
﻿QE43,4304.9
﻿QE44,0.0
﻿QE45,120.0
﻿QE46,0.0
﻿QE47,4150.0
﻿QE48,0.0
﻿QG11,0.0
﻿QG12,1517.9
﻿QG22,4071.3
﻿QG23,1980.0
﻿QH21,811.2
﻿QH23,5139.6
﻿QI11,0.0
﻿QI12,3653.9
﻿QI13,0.0
﻿QI14,4512.0
﻿QI15,1070.0
﻿QI21,4884.5
﻿QI22,5480.2
﻿QI23,0.0
﻿QI24,0.0
﻿QI25,0.0
﻿QJ11,5290.1
﻿QJ12,5465.7
﻿QJ13,5055.7
﻿QJ14,5339.8
﻿QJ15,5474.6
﻿QJ16,4737.1
﻿QJ21,0.0
﻿QJ22,5500.0
﻿QJ23,4823.3
﻿QJ24,0.0
﻿QJ25,5418.9
﻿QJ26,5500.0
﻿QK11,5242.2
﻿QK12,2316.8
﻿QK21,5023.6
﻿QK24,5205.7
﻿QM11,4032.4
﻿QM12,0.0
﻿QM13,4638.2
﻿QM21,0.0
﻿QM24,5492.1
﻿QN11,5207.4
﻿QN12,5179.3
﻿QN13,0.0
﻿QN21,4226.9
﻿QN22,5500.0
﻿QN24,0.0
