ROWNUM, X, Y, FEEDER
1,273055.03600000002,2559581.929,PJ22
2,276443.00900000002,2554973.2080000001,PJ22
3,276551.18300000002,2555120.3629999999,PJ22
4,273179.62199999997,2559263.0690000001,PJ22
5,276371.81599999999,2555963.4249999998,PJ22
6,273097.00099999999,2559136.0290000001,PJ22
7,271935.80300000001,2559958.6200000001,PJ25
8,271787.98800000001,2559834.5780000002,PJ25
9,272319.04100000003,2559727.6060000001,PJ25
10,272322.598,2559908.0989999999,PJ25
11,272230.897,2559901.7590000001,PJ25
12,272037.78000000003,2559739.7820000001,PJ25
13,271310.54399999999,2560293.3659999999,PJ25
14,272168.05300000001,2559929.8450000002,PJ25
15,270963.326,2560438.7080000001,PJ25
16,271505.35800000001,2560235.9270000001,PJ25
17,272428.821,2559933.7480000001,PJ25
18,271609.31900000002,2560032.554,PJ25
19,265195.11200000002,2517399.5380000002,QA21
20,264817.44500000001,2517571.8730000001,QA21
21,265092.886,2517623.054,QA21
22,265117.14600000001,2517505.4789999998,QA21
23,264541.185,2517803.6039999998,QA21
24,264681.58600000001,2517596.5,QA21
25,265194.86800000002,2517680.963,QA21
26,265123.02399999998,2517744.307,QA21
27,264763.071,2517571.1069999998,QA21
28,265179.19300000003,2517486.3650000002,QA21
29,265048.53399999999,2517292.2769999998,QA21
30,265250.25900000002,2517646.7850000001,QA21
31,265241.47600000002,2517427.202,QA21
32,265086.52299999999,2517381.1579999998,QA21
33,264973.103,2517548.6159999999,QA21
34,264587.533,2517697.7059999998,QA21
35,264654.30099999998,2517646.8160000001,QA21
36,265225.43199999997,2517356.2820000001,QA21
37,265345.092,2517496.9640000002,QA21
38,265035.20799999998,2517490.1400000001,QA21
39,263695.31199999998,2517760.8139999998,QA22
40,263870.685,2517600.3640000001,QA22
41,264380.80599999998,2517202.2650000001,QA22
42,263912.728,2517809.1370000001,QA22
43,264075.59899999999,2517294.6699999999,QA22
44,263812.04599999997,2517767.094,QA22
45,264287.99200000003,2517151.648,QA22
46,264371.96100000001,2517177.5210000002,QA22
47,263811.01699999999,2517941.6439999999,QA22
48,264253.14299999998,2517374.4270000001,QA22
49,263993.65600000002,2517405.8960000002,QA22
50,263773.451,2517757.7379999999,QA22
51,263937.99099999998,2517557.7620000001,QA22
52,264208.68099999998,2517233.7799999998,QA22
53,263755.01199999999,2517840.247,QA22
54,264073.27799999999,2517426.5260000001,QA22
55,263820.10100000002,2518192.9730000002,QA23
56,263412.255,2519212.0299999998,QA23
57,263685.34999999998,2518394.5750000002,QA23
58,263396.24200000003,2518403.7390000001,QA23
59,263544.36599999998,2518266.3640000001,QA23
60,263441.66999999998,2519335.378,QA23
61,263190.90000000002,2519030.2650000001,QA23
62,263247.875,2518756.4700000002,QA23
63,263507.397,2518635.835,QA23
64,263039.935,2519089.0019999999,QA23
65,263450.75699999998,2518892.682,QA23
66,263541.49099999998,2518422.5860000001,QA23
67,263486.15600000002,2518325.2850000001,QA23
68,262988.283,2518990.7940000002,QA23
69,262972.73200000002,2519056.8799999999,QA23
70,263329.647,2518656.4739999999,QA23
71,263260.05800000002,2518572.0090000001,QA23
72,263423.86099999998,2518489.4130000002,QA23
73,263374.57799999998,2518821.2560000001,QA23
74,263233.32199999999,2518829.3700000001,QA23
75,263403.26899999997,2518580.0070000002,QA23
76,263309.66999999998,2518928.8319999999,QA23
77,263334.69699999999,2519264.6379999998,QA23
78,263362.24300000002,2519149.9610000001,QA23
79,263856.18400000001,2518164.6970000002,QA23
80,263486.58299999998,2518284.8390000002,QA23
81,263662.64199999999,2518272.1630000002,QA23
82,263658.70799999998,2518405.639,QA23
83,263738.33500000002,2518205.4920000001,QA23
84,263174.53600000002,2518976.1749999998,QA23
85,263459.35999999999,2518542.5389999999,QA23
86,263453.75,2519529.8530000001,QA23
87,263247.86499999999,2518944.3339999998,QA23
88,263931.87400000001,2518006.4670000002,QA23
89,263737.15999999997,2518464.8930000002,QA23
90,263125.47899999999,2518878.1529999999,QA23
91,263752.58799999999,2518313.264,QA23
92,263392.201,2518269.077,QA24
93,262490.10499999998,2518752.719,QA24
94,263288.049,2518318.6170000001,QA24
95,262942.72600000002,2518730.6680000001,QA24
96,263197.81300000002,2518795.8829999999,QA24
97,262670.52000000002,2518632.858,QA24
98,262511.44799999997,2518610.9539999999,QA24
99,262542.56699999998,2518720.2889999999,QA24
100,263281.25,2518080.946,QA24
101,261961.87899999999,2518924.7790000001,QA24
102,262024.041,2518885.4559999998,QA24
103,262979.76899999997,2518590.8429999999,QA24
104,262403.10999999999,2518894.9309999999,QA24
105,263566.58100000001,2518008.122,QA24
106,263115.65700000001,2518486.0639999998,QA24
