FEEDER,CAPACITY
﻿E221,5500.0
﻿E222,5229.2
﻿E223,5165.9
﻿E224,0.0
﻿E225,3344.8
﻿E227,5500.0
﻿E228,1934.3
﻿E229,5334.2
﻿E230,5410.2
﻿E251,6476.0
﻿E254,8569.7
﻿E261,7041.2
﻿E262,7026.1
﻿E264,6107.9
﻿E352,10740.0
﻿E353,11000.0
﻿E354,633.8
﻿E355,11000.0
﻿E356,10248.8
﻿E357,0.0
﻿E358,8796.4
﻿E362,10296.7
﻿E363,11000.0
﻿E364,6845.8
﻿E365,11000.0
﻿E366,9074.5
﻿E367,11000.0
﻿E368,11000.0
﻿E421,5500.0
﻿E422,5409.1
﻿E423,4359.4
﻿E425,5500.0
﻿E426,5486.8
﻿E427,5235.4
﻿E428,5367.8
﻿E429,0.0
﻿E430,5430.0
﻿E431,5500.0
﻿E432,5369.2
﻿E433,4216.6
﻿E435,5370.0
﻿E436,5486.1
﻿E437,5500.0
﻿E439,3070.0
﻿E440,0.0
﻿E521,5356.2
﻿E522,4840.0
﻿E523,5455.7
﻿E524,5500.0
﻿E525,4733.6
﻿E526,5500.0
﻿E527,5500.0
﻿E528,5462.8
﻿E529,5494.0
﻿E530,5486.5
﻿E561,11000.0
﻿E562,10939.3
﻿E563,11000.0
﻿E565,11000.0
﻿E566,11000.0
﻿E567,11000.0
﻿E568,11000.0
﻿E569,11000.0
﻿E570,11000.0
﻿E721,5500.0
﻿E722,1938.4
﻿E725,5500.0
﻿E726,5325.5
﻿E727,5500.0
﻿E728,4992.9
﻿E729,5135.6
﻿E730,3320.0
﻿E751,11000.0
﻿E752,11000.0
﻿E753,11000.0
﻿E754,11000.0
﻿E755,11000.0
﻿E756,11000.0
﻿E757,11000.0
﻿EA21,5500.0
﻿EA22,5500.0
﻿EA24,5500.0
﻿EA26,5446.9
﻿EA27,5500.0
﻿EA28,5500.0
﻿EA29,5491.0
﻿EA30,5410.2
﻿EA32,5500.0
﻿EA33,5500.0
﻿EA34,5480.4
﻿EA36,5500.0
﻿EA37,5500.0
﻿EA38,5500.0
﻿EA39,5500.0
﻿EA40,5500.0
﻿EA61,11000.0
﻿EA62,10139.8
﻿EA63,10832.9
﻿EA64,10862.6
﻿EA65,11000.0
﻿EA71,11000.0
﻿EA72,11000.0
﻿EA73,11000.0
﻿EA74,9904.5
﻿EA75,8470.4
﻿EB21,5500.0
﻿EB22,5500.0
﻿EB23,5500.0
﻿EB25,5500.0
﻿EB26,5500.0
﻿EB27,5397.0
﻿EB28,5500.0
﻿EB29,4999.7
﻿EB30,5500.0
﻿EB31,5500.0
﻿EB32,5296.8
﻿EB33,5500.0
﻿EB34,5500.0
﻿EB35,5500.0
﻿EB36,5500.0
﻿EC21,5500.0
﻿EC22,5468.3
﻿EC25,5500.0
﻿EC26,5500.0
﻿EC28,0.0
﻿EC29,5500.0
﻿EC30,5464.8
﻿EC31,5500.0
﻿EC32,5500.0
﻿EC33,5487.7
﻿EC34,5177.0
﻿EC35,4378.8
﻿EC36,5500.0
﻿ED21,5220.7
﻿ED22,5500.0
﻿ED23,4981.3
﻿ED24,5500.0
﻿ED29,2673.2
﻿ED30,5500.0
﻿ED31,4950.7
﻿ED32,5402.2
﻿ED37,5500.0
﻿ED38,5447.1
﻿ED39,5486.2
﻿ED40,5500.0
﻿ED51,10016.5
﻿ED52,10990.2
﻿ED53,10960.4
﻿ED54,11000.0
﻿ED55,11000.0
﻿ED56,11000.0
﻿ED58,10374.2
﻿ED59,10924.8
﻿ED60,10020.1
﻿ED61,11000.0
﻿ED62,10258.6
﻿EE21,5250.6
﻿EE22,5880.0
﻿EF21,4571.3
﻿EF22,5470.2
﻿EF23,5293.8
﻿EF25,4196.2
﻿EF26,5480.4
﻿EF27,5139.7
﻿EF28,4846.6
﻿EF29,1977.8
﻿EF30,4567.6
﻿EF31,5500.0
﻿EF51,10521.9
﻿EF52,10901.8
﻿EF53,9235.7
﻿EF54,10900.2
﻿EF55,10970.4
﻿EF61,7890.0
﻿EF62,11000.0
﻿EF63,11000.0
﻿EF64,11000.0
﻿EF65,10398.1
﻿EF71,11000.0
﻿EF72,11000.0
﻿EF73,0.0
﻿EF74,10498.6
﻿EF75,10974.9
﻿EF76,9670.6
﻿EF77,10920.1
﻿EF78,11000.0
﻿EG21,5303.2
﻿EG22,5500.0
﻿EG23,5490.6
﻿EG25,4708.2
﻿EG26,5463.1
﻿EG27,5415.7
﻿EG28,3500.3
﻿EG29,5351.4
﻿EG30,5332.8
﻿EG31,5449.3
﻿EH21,5410.8
﻿EH22,5472.9
﻿EH25,4874.5
﻿EH26,0.0
﻿EH27,5480.2
﻿EH28,5500.0
﻿EH29,4769.0
﻿EH30,4569.4
﻿EH31,5385.1
﻿EI21,5400.0
﻿EI22,5413.3
﻿EI23,5500.0
﻿EI25,5500.0
﻿EI26,5460.6
﻿EI27,5500.0
﻿EI28,5500.0
﻿EI29,5444.1
﻿EI30,5500.0
﻿EI31,4465.8
﻿EI32,5448.8
﻿EI33,5500.0
﻿EI34,5500.0
﻿EI35,5344.7
﻿EI36,4817.2
﻿EI37,5118.8
﻿EI38,5500.0
﻿EI39,5500.0
﻿EI40,5460.0
﻿EI41,5500.0
﻿EJ21,5500.0
﻿EJ22,5434.2
﻿EJ23,3386.4
﻿EJ25,5160.0
﻿EJ26,5368.0
﻿EJ27,5480.5
﻿EJ30,5343.2
﻿EJ31,5482.2
﻿EJ32,5288.9
﻿EJ33,5500.0
﻿EJ34,5450.8
﻿EJ35,5500.0
﻿EK21,5402.2
﻿EK22,3855.7
﻿EK23,5036.9
﻿EK26,5414.6
﻿EK27,5500.0
﻿EK28,4101.2
﻿EK29,3844.7
﻿EK30,5405.5
﻿EK31,5500.0
﻿EL21,4838.7
﻿EL22,4832.8
﻿EL23,5453.2
﻿EL24,5484.3
﻿EL25,4731.8
