ROWNUM, X, Y, FEEDER
1,284114.98499999999,2775136.6159999999,5B22
2,283884.69799999997,2775044.5860000001,5B22
3,284529.05599999998,2779106.0129999998,5B26
4,284840.913,2779125.2209999999,5B26
5,284646.83799999999,2778883.4109999998,5B26
6,285339.34600000002,2779279.2940000002,5B26
7,288897.467,2767859.273,5C71
8,282904.152,2761263.77,5D23
9,285105.67999999999,2749948.3029999998,5D38
10,285038.65399999998,2750067.3169999998,5D38
11,284985.47700000001,2749787.409,5D38
12,285798.18099999998,2772026.5120000001,5F51
13,286090.44,2771632.4479999999,5F51
14,285792.83899999998,2771858.6230000001,5F51
15,285913.42099999997,2771807.2590000001,5F51
16,286054.696,2771760.5159999998,5F51
17,285829.45199999999,2771997.7779999999,5F51
18,285901.77000000002,2771748.324,5F51
19,285676.815,2772136.2960000001,5F51
20,286029.228,2771819.3679999998,5F51
21,285828.08500000002,2771880.2179999999,5F51
22,285871.20000000001,2771772.821,5F51
23,285791.89399999997,2771970.8739999998,5F51
24,285725.63,2772100.5809999998,5F51
25,285824.70000000001,2771993.0380000002,5F51
26,285908.21299999999,2771105.446,5F52
27,285222.66399999999,2772622.8130000001,5F53
28,285854.05699999997,2772806.1099999999,5F53
29,285682.89199999999,2772718.5899999999,5F53
30,285753.14299999998,2772668.1600000001,5F53
31,285167.45000000001,2772582.202,5F53
32,285948.53200000001,2772846.8760000002,5F53
33,286125.80499999999,2773149.4410000001,5F53
34,285205.33299999998,2772556.9500000002,5F53
35,285415.73100000003,2772808.6549999998,5F53
36,285880.30200000003,2772905.8489999999,5F53
37,285949.54200000002,2772717.5520000001,5F53
38,285165.25699999998,2772454.807,5F53
39,285659.033,2772909.8339999998,5F53
40,285803.09299999999,2772646.324,5F53
41,285471.33799999999,2772974.824,5F53
42,286270.522,2773067.9589999998,5F53
43,285695.91399999999,2772689.7009999999,5F53
44,285783.86700000003,2772734.023,5F53
45,285544.93800000002,2772907.8250000002,5F53
46,285584.538,2773038.0669999998,5F53
47,285904.43699999998,2772720.233,5F53
48,285635.99800000002,2772860.0550000002,5F53
49,285876.83299999998,2772725.1940000001,5F53
50,286317.82400000002,2771687.1510000001,5F56
51,286704.59399999998,2771842.4279999998,5F56
52,286370.95000000001,2771501.7340000002,5F56
53,286488.89500000002,2771971.6549999998,5F56
54,286615.446,2772133.3939999999,5F56
55,286525.36200000002,2771640.9100000001,5F56
56,286875.74099999998,2771993.9040000001,5F56
57,286734.54599999997,2772143.6809999999,5F56
58,286487.60399999999,2771773.98,5F56
59,287091.92300000001,2771882.9389999998,5F56
60,286826.929,2772032.2179999999,5F56
61,286756.58199999999,2771783.7990000001,5F56
62,286433.04999999999,2771669.7480000001,5F56
