FEEDER,CAPACITY
DA21,5500.0
DA22,5466.8
DA23,5169.5
DA24,5500.0
DA25,4505.9
DA26,5097.9
DA27,5500.0
DA28,0.0
DA29,4744.2
DA30,5459.9
DA31,5500.0
DA32,4712.0
DA33,4746.4
DA34,4920.8
DA35,4042.1
DC21,5321.1
DC22,5192.1
DC23,5480.3
DC24,3280.0
DC25,5321.8
DC26,5344.2
DC27,5391.9
DC28,4846.0
DC29,4383.7
DC30,5492.1
DD21,4380.0
DD22,5401.7
DD23,5178.5
DD24,5500.0
DD25,5199.3
DD26,5463.5
DD27,4899.9
DD28,5500.0
DD29,4730.2
DD30,3570.0
DD31,5077.8
DD32,2991.6
DD33,3494.1
DD34,5500.0
DD35,1810.0
DE21,0.0
DE22,5071.0
DE24,5441.0
DE26,3926.2
DE27,0.0
DE28,0.0
DE29,0.0
DF21,5230.0
DF22,5092.1
DG21,5135.8
DG22,3549.7
DG23,3037.3
DG24,4785.1
DG25,4041.1
DG26,3100.3
DG27,4558.7
DG28,4791.3
DG29,4937.7
DG30,5430.0
DG31,4111.6
DG32,4574.5
DG33,4562.0
DG34,2380.5
DG35,2372.9
DH21,5453.9
DH22,0.0
DH23,5500.0
DH24,4902.0
DI21,5117.0
DI22,4750.0
DI23,4440.0
DI24,5452.0
DI25,4650.9
DI26,5494.9
DI27,5310.4
DI28,3330.0
DI29,4952.8
DI30,3550.0
DI31,4262.6
DI32,3830.0
DI33,5489.1
DI34,4882.3
DI35,5296.8
DK10,2560.0
DK11,890.0
DK12,4148.9
DK13,5500.0
DK14,5084.5
DK15,4915.4
DK16,4290.0
DK17,3502.1
DK18,2060.0
DK19,4810.5
DK20,5500.0
DK51,6603.5
DK52,8118.0
DK53,11000.0
DK56,0.0
DK57,6081.9
DK58,11000.0
DK61,0.0
DK62,8493.3
DK63,0.0
DK66,4063.5
DK67,4364.4
DL11,5281.9
DL12,5500.0
DL13,5201.2
DL14,4998.1
DL15,0.0
DL21,4655.1
DL22,5152.8
DL23,5094.1
DL24,4646.5
DL25,4458.2
DL51,11000.0
DL52,10681.8
DL53,10716.5
DL61,11000.0
DL62,10977.8
DL63,10992.1
DM11,5045.7
DM12,3508.5
DM13,5463.8
DM14,5157.7
DM15,4331.8
DM21,0.0
DM22,5271.1
DM23,5305.6
DM24,4734.3
DM25,5332.0
DM51,10940.4
DM52,10983.2
DM53,8390.0
DM54,11000.0
DM61,10985.0
DM62,10993.1
DM63,10918.6
DP21,5019.6
DP22,4850.3
DP23,4248.4
DP24,5500.0
DP25,5430.1
DP26,5469.6
DP27,4986.4
DP28,5000.5
DP29,4952.6
DP30,5209.6
DQ11,5273.6
DQ12,4436.7
DQ13,4698.8
DQ14,880.0
DQ15,2530.0
DQ16,5029.4
DQ17,3879.4
DQ18,3660.0
DQ19,5239.3
DQ20,5281.8
DQ21,3518.8
DQ22,5431.3
DQ23,4947.5
DQ24,4588.3
DQ25,3960.0
DQ26,2020.0
DQ27,4178.4
DQ28,5230.0
DQ29,5091.1
DQ30,5122.6
DT11,4987.7
DT12,5215.3
DT13,5500.0
DT14,5163.3
DT15,5500.0
DT21,3979.3
DT22,5500.0
DT23,5500.0
DT24,5472.7
DT25,730.0
DT53,10494.3
DT63,11000.0
