ROWNUM, X, Y, FEEDER
﻿1,325615.96100000001,2739408.6090000002,DA21
﻿2,325425.58299999998,2739572.8829999999,DA21
﻿3,325399.71600000001,2739447.4100000001,DA21
﻿4,325569.47600000002,2739323.0329999998,DA21
﻿5,325558.03100000002,2739512.9019999998,DA21
﻿6,325598.76500000001,2739427.395,DA21
﻿7,325387.21600000001,2739397.713,DA21
﻿8,325446.74099999998,2739474.9819999998,DA21
﻿9,327466.68199999997,2740485.2030000002,DA22
﻿10,326646.701,2740082.014,DA22
﻿11,328091.57400000002,2740978.858,DA22
﻿12,326821.00199999998,2739974.0920000002,DA22
﻿13,327761.38199999998,2740615.9759999998,DA22
﻿14,328320.39799999999,2741137.2220000001,DA22
﻿15,328880.98700000002,2741477.2370000002,DA22
﻿16,328450.201,2741462.5959999999,DA22
﻿17,328617.18300000002,2741604.3709999998,DA22
﻿18,328120.65299999999,2740709.6869999999,DA22
﻿19,328763.24400000001,2741442.7719999999,DA22
﻿20,327119.35200000001,2740668.4750000001,DA22
﻿21,326276.47399999999,2739398.6690000002,DA22
﻿22,326440.32400000002,2739440.341,DA22
﻿23,328079.53100000002,2740146.9739999999,DA22
﻿24,327687.20899999997,2740795.3840000001,DA22
﻿25,328173.84700000001,2740502.9019999998,DA22
﻿26,328309.06900000002,2741089.5010000002,DA22
﻿27,327791.79100000003,2740562.8459999999,DA22
﻿28,328401.66100000002,2741054.622,DA22
﻿29,328573.03499999997,2741366.6970000002,DA22
﻿30,327133.26199999999,2740548.2009999999,DA22
﻿31,328601.53000000003,2741386.5649999999,DA22
﻿32,328318.23300000001,2741425.648,DA22
﻿33,327060.79499999998,2740502.7030000002,DA22
﻿34,327818.5,2740858.4130000002,DA22
﻿35,326504.37599999999,2739631.9909999999,DA22
﻿36,327736.84899999999,2741140.3900000001,DA22
﻿37,327616.01799999998,2740513.1570000001,DA22
﻿38,328353.50900000002,2741220.7790000001,DA22
﻿39,327320.10700000002,2740543.7579999999,DA22
﻿40,326578.147,2739514.486,DA22
﻿41,326361.67800000001,2739435.898,DA22
﻿42,326288.62800000003,2739729.8250000002,DA22
﻿43,326265.98800000001,2739396.0800000001,DA22
﻿44,328929.46100000001,2741420.676,DA22
﻿45,326774.359,2739679.1680000001,DA22
﻿46,328418.75099999999,2741382.7059999998,DA22
﻿47,327293.88699999999,2740713.7790000001,DA22
﻿48,327014.77000000002,2740472.1940000001,DA22
﻿49,328185.44199999998,2740190.014,DA22
﻿50,328137.51899999997,2740364.0469999998,DA22
﻿51,327561.66399999999,2740514.307,DA22
﻿52,327501.20500000002,2740298.1699999999,DA22
﻿53,328657.59999999998,2741498.3130000001,DA22
﻿54,326409.69900000002,2739719.3259999999,DA22
﻿55,327663.94900000002,2740901.0249999999,DA22
﻿56,327950,2740113.7999999998,DA22
﻿57,328347.78399999999,2740993.4219999998,DA22
﻿58,326409.01299999998,2739395.0580000002,DA22
﻿59,327272.81199999998,2740502.2220000001,DA22
﻿60,328391.01000000001,2741347.7930000001,DA22
﻿61,328222.03999999998,2741235.807,DA22
﻿62,327666.891,2741270.4180000001,DA22
﻿63,327799.90700000001,2740984.4350000001,DA22
﻿64,326815.63799999998,2739670.4180000001,DA22
﻿65,328249.34700000001,2740912.8089999999,DA22
﻿66,328165.49800000002,2740982.9389999998,DA22
﻿67,326351.408,2739358.9270000001,DA22
﻿68,327947.39399999997,2741288.298,DA22
﻿69,326172.17200000002,2739543.9279999998,DA22
﻿70,327988.67700000003,2740395.8760000002,DA22
﻿71,326532.96999999997,2739354.6839999999,DA22
﻿72,328325.23300000001,2740752.264,DA22
﻿73,326169.97600000002,2739722.3939999999,DA22
﻿74,327891.08000000002,2740680.537,DA22
﻿75,326071.103,2739509.8480000002,DA22
﻿76,328580.978,2741472.2409999999,DA22
﻿77,328246.37,2740771.5989999999,DA22
﻿78,327453.51899999997,2740687.6260000002,DA22
﻿79,328728.38799999998,2741521.9559999998,DA22
﻿80,326597.571,2739526.8119999999,DA22
﻿81,328117.74699999997,2740261.517,DA22
﻿82,328905.62099999998,2741530.5690000001,DA22
﻿83,326301.18800000002,2739744.6430000002,DA22
﻿84,326633.239,2739655.2030000002,DA22
﻿85,328021.212,2739944.7540000002,DA22
﻿86,326527.32699999999,2739717.7239999999,DA22
﻿87,328128.864,2740841.4300000002,DA22
﻿88,326389.978,2739685.483,DA22
﻿89,328014.033,2740676.0520000001,DA22
﻿90,326704.44300000003,2740196.952,DA22
﻿91,328040.13,2740413.798,DA22
﻿92,326431.67999999999,2739644.48,DA22
﻿93,326206.09399999998,2739653.1869999999,DA22
﻿94,328581.07699999999,2741523.4550000001,DA22
﻿95,327058.90100000001,2739924.7940000002,DA22
﻿96,326569.75799999997,2739469.9819999998,DA22
﻿97,326464.88299999997,2739517.165,DA22
﻿98,327599.31300000002,2740767.267,DA22
﻿99,327237.18099999998,2740492.2340000002,DA22
﻿100,326317.33500000002,2739549.2259999998,DA22
﻿101,328241.12300000002,2740856.9550000001,DA22
﻿102,326258.72999999998,2739545.7080000001,DA22
﻿103,326627.69099999999,2739736.7450000001,DA22
﻿104,327946.603,2741332.8670000001,DA22
﻿105,327138.04499999998,2740472.2760000001,DA22
﻿106,327451.88500000001,2740775.878,DA22
﻿107,327408.38400000002,2740510.017,DA22
﻿108,326143.03100000002,2739478.8459999999,DA22
﻿109,324505.19,2741393.7200000002,DA23
﻿110,324694.5,2741001.25,DA23
﻿111,324740.77100000001,2741622.8689999999,DA23
﻿112,325385.73300000001,2740799.3420000002,DA23
﻿113,325385.76000000001,2740682.7119999998,DA23
﻿114,325779.21999999997,2740363.4550000001,DA23
﻿115,326044.81300000002,2740248.534,DA23
﻿116,325911.43599999999,2740721.9939999999,DA23
﻿117,325261.723,2740890.8139999998,DA23
﻿118,325984.74699999997,2740334.662,DA23
﻿119,325282.185,2740656.7599999998,DA23
﻿120,324686.62400000001,2740939.4670000002,DA23
﻿121,325633.717,2740528.1779999998,DA23
﻿122,326099.37300000002,2740395.5150000001,DA23
﻿123,326138.85100000002,2740582.4219999998,DA23
﻿124,324771.723,2740915.4640000002,DA23
﻿125,324953.27399999998,2741050.8599999999,DA23
﻿126,325972.80599999998,2740597.0269999998,DA23
﻿127,325032.266,2740889.2220000001,DA23
﻿128,324455.83799999999,2741434.1970000002,DA23
﻿129,326160.815,2740251.1060000001,DA23
﻿130,324845.14299999998,2741753.4130000002,DA23
﻿131,325624.55800000002,2740437.1189999999,DA23
﻿132,325413.98800000001,2740722.1170000001,DA23
﻿133,325052.68400000001,2741132.122,DA23
﻿134,324679.65600000002,2741550.2880000002,DA23
﻿135,325072.53999999998,2740980.199,DA23
﻿136,325573.53000000003,2740509.5750000002,DA23
﻿137,325684.74699999997,2740370.8990000002,DA23
﻿138,326230.94199999998,2740183.4750000001,DA23
﻿139,325146.21100000001,2740604.2969999998,DA23
﻿140,324747.64000000001,2741330.5890000002,DA23
﻿141,324864.91700000002,2741301.5690000001,DA23
﻿142,324551.50199999998,2740664.0920000002,DA23
﻿143,324909.61700000003,2741133.781,DA23
﻿144,324858.79700000002,2741272.108,DA23
﻿145,324670.15000000002,2741255.7030000002,DA23
﻿146,325168.85200000001,2740911.1490000002,DA23
﻿147,325779.95500000002,2740437.906,DA23
﻿148,325749.25400000002,2740682.5780000002,DA23
﻿149,325967.995,2740593.6320000002,DA23
﻿150,325154.65600000002,2740709.8990000002,DA23
﻿151,326138.72700000001,2740175.1230000001,DA23
﻿152,325903.386,2740260.6400000001,DA23
﻿153,324852.761,2741164.9959999998,DA23
﻿154,324868.29100000003,2741024.3689999999,DA23
﻿155,326120.18599999999,2740331.6710000001,DA23
﻿156,324574.20199999999,2741445.0830000001,DA23
﻿157,325010.58199999999,2741025.5649999999,DA23
﻿158,325050.83500000002,2740593.5649999999,DA23
﻿159,325845.27000000002,2740393.0980000002,DA23
﻿160,325664.64500000002,2740651.608,DA23
﻿161,325803.67300000001,2740783.3130000001,DA23
﻿162,324775.53100000002,2741111.1320000002,DA23
﻿163,325438.80200000003,2740652.5499999998,DA23
﻿164,325827.72700000001,2740449.7400000002,DA23
﻿165,324753.04200000002,2741204.7089999998,DA23
﻿166,326124.79399999999,2740613.8110000002,DA23
﻿167,326018.60200000001,2740666.8059999999,DA23
﻿168,326012.77399999998,2740554.6669999999,DA23
﻿169,324651.39600000001,2740878,DA23
﻿170,324635.886,2740758.2429999998,DA23
﻿171,324706.48599999998,2741063.3459999999,DA23
﻿172,325840.47100000002,2740674.9640000002,DA23
﻿173,325545.92599999998,2740473.1000000001,DA23
﻿174,325574.40100000001,2740622.895,DA23
﻿175,324606.48700000002,2741315.392,DA23
﻿176,325678.38900000002,2739407.0869999998,DA24
﻿177,325264.76699999999,2739274.588,DA24
﻿178,325554.66899999999,2739262.4279999998,DA24
﻿179,325445.81300000002,2739264.659,DA24
﻿180,325269.82400000002,2739329.2009999999,DA24
﻿181,325627.902,2739271.378,DA24
