FEEDER,CAPACITY
﻿XA21,0.0
﻿XA22,3554.7
﻿XA23,3759.8
﻿XA24,4091.8
﻿XA25,4988.3
﻿XA26,0.0
﻿XA27,0.0
﻿XA28,0.0
﻿XA29,3728.0
﻿XA30,4380.9
﻿XB21,0.0
﻿XB22,2181.8
﻿XB23,1840.0
﻿XB24,3876.9
﻿XB25,4672.9
﻿XB26,4901.2
﻿XB27,2742.8
﻿XB28,5000.0
﻿XB29,4447.0
﻿XB30,5000.0
﻿XB51,10000.0
﻿XB52,9805.9
﻿XB53,8744.1
﻿XB54,8945.7
﻿XB55,9687.9
﻿XB56,8687.5
﻿XB57,8055.2
﻿XB58,9550.9
﻿XB59,9173.3
﻿XB60,7515.6
﻿XC21,4625.9
﻿XC22,0.0
﻿XC23,4002.3
﻿XC24,4235.0
﻿XC25,3614.4
﻿XC26,4193.6
﻿XC27,2955.8
﻿XC28,0.0
﻿XC29,5000.0
﻿XC30,0.0
﻿XC31,0.0
﻿XC32,0.0
﻿XC33,0.0
﻿XC34,5000.0
﻿XC35,4701.6
﻿XD21,3488.6
﻿XD22,1087.0
﻿XD23,4500.2
﻿XD24,0.0
﻿XD25,0.0
﻿XD26,0.0
﻿XD27,0.0
﻿XD28,0.0
﻿XD29,996.6
﻿XD30,3914.5
﻿XD31,1281.0
﻿XD32,0.0
﻿XD33,0.0
﻿XD34,0.0
﻿XD35,0.0
﻿XE21,0.0
﻿XE22,3010.0
﻿XE23,0.0
﻿XE24,851.8
﻿XE25,0.0
﻿XE26,0.0
﻿XE27,0.0
﻿XE28,125.6
﻿XE29,0.0
﻿XE30,0.0
﻿XE31,0.0
﻿XE32,0.0
﻿XE33,1687.1
﻿XE34,0.0
﻿XE35,4851.7
﻿XF21,0.0
﻿XF22,3896.6
﻿XF23,0.0
﻿XF24,0.0
﻿XF25,1821.8
﻿XF26,0.0
﻿XF27,0.0
﻿XF28,0.0
﻿XF29,0.0
﻿XF30,0.0
﻿XG21,0.0
﻿XG22,0.0
﻿XG23,4319.6
﻿XG24,0.0
﻿XG25,3745.4
﻿XG31,0.0
﻿XG32,4663.3
﻿XG33,4486.7
﻿XG34,4637.9
﻿XG35,3249.6
﻿XH21,1808.8
﻿XH22,0.0
﻿XH23,0.0
﻿XH24,0.0
﻿XH25,0.0
﻿XH26,0.0
﻿XH27,0.0
﻿XH28,0.0
﻿XH29,0.0
﻿XH30,0.0
﻿XH31,0.0
﻿XH32,0.0
﻿XI21,5000.0
﻿XI22,5000.0
﻿XI23,5000.0
﻿XI24,0.0
﻿XI25,0.0
﻿XI26,0.0
﻿XI27,0.0
﻿XI28,0.0
﻿XI29,5000.0
﻿XI30,5000.0
﻿XJ21,0.0
﻿XJ22,4039.8
﻿XJ23,4773.1
﻿XJ24,4474.9
﻿XJ25,4851.3
﻿XJ26,0.0
﻿XJ27,4443.8
﻿XJ28,4774.8
﻿XJ29,4940.6
﻿XJ30,3900.0
﻿XJ51,10000.0
﻿XJ53,9383.3
﻿XJ54,9915.6
﻿XJ55,9984.4
﻿XJ56,9971.1
﻿XJ58,10000.0
﻿XJ59,9699.9
﻿XJ60,9671.9
﻿XK21,5000.0
﻿XK22,5000.0
﻿XK23,5000.0
﻿XK24,5000.0
﻿XK25,4933.5
﻿XK26,4806.4
﻿XK27,5000.0
﻿XK28,5000.0
﻿XK29,5000.0
﻿XK30,5000.0
﻿XL21,5000.0
﻿XL22,4236.8
﻿XL23,4890.7
﻿XL26,2910.0
﻿XL27,4909.2
﻿XL28,4707.1
﻿XL29,2716.9
﻿XL30,0.0
﻿XL61,10000.0
﻿XL62,9000.8
﻿XL63,9500.9
﻿XL64,8469.0
﻿XL65,9744.5
﻿XL66,10000.0
﻿XL68,9259.2
﻿XL71,8873.1
﻿XL72,7268.3
﻿XL73,10000.0
﻿XL74,10000.0
﻿XL75,10000.0
﻿XL76,9001.6
﻿XL77,2104.8
﻿XL78,8000.4
﻿XM21,1482.6
﻿XM22,168.2
﻿XM23,0.0
﻿XM24,0.0
﻿XM25,0.0
﻿XN62,9571.3
﻿XN63,9152.3
﻿XN64,9162.8
﻿XN65,4570.0
﻿XN66,9255.0
﻿XN67,5846.0
﻿XN68,5945.7
﻿XN71,9626.7
﻿XN72,7265.6
﻿XN73,9702.8
﻿XN74,7197.1
﻿XN75,9870.3
﻿XN76,10000.0
﻿XN78,8464.7
﻿XO31,0.0
﻿XO32,0.0
﻿XO33,0.0
﻿XO34,2662.3
﻿XO35,4788.2
﻿XO36,0.0
﻿XO37,0.0
﻿XO38,3110.0
﻿XO39,1540.0
﻿XO40,0.0
﻿XO61,10000.0
﻿XO62,10000.0
﻿XO63,10000.0
﻿XO64,9900.8
﻿XO65,6179.6
﻿XO71,10000.0
﻿XO72,10000.0
﻿XO75,7924.3
﻿XP21,5000.0
﻿XP22,0.0
﻿XP23,2156.1
﻿XP24,0.0
﻿XP25,5000.0
﻿XP26,0.0
﻿XP27,380.0
﻿XP28,0.0
﻿XP29,2135.5
﻿XP30,0.0
﻿XP31,0.0
﻿XP32,2954.9
﻿XP33,0.0
﻿XP34,0.0
﻿XP35,0.0
﻿XP36,0.0
﻿XP37,5000.0
﻿XP38,0.0
﻿XP39,2005.3
﻿XP40,0.0
﻿XQ21,0.0
﻿XQ22,0.0
﻿XQ23,1991.8
﻿XQ24,4900.6
﻿XQ25,0.0
﻿XQ26,1434.9
﻿XQ27,2239.3
﻿XQ28,0.0
﻿XQ29,0.0
﻿XQ30,0.0
﻿XQ31,4189.9
﻿XQ32,2.0
